date,average,ticker,industry
1990-06,1.871,RIO,Materials
1990-07,1.896,RIO,Materials
1990-08,1.819,RIO,Materials
1990-09,1.526,RIO,Materials
1990-10,1.556,RIO,Materials
1990-11,1.595,RIO,Materials
1990-12,1.653,RIO,Materials
1991-01,1.576,RIO,Materials
1991-02,1.821,RIO,Materials
1991-03,1.882,RIO,Materials
1991-04,1.904,RIO,Materials
1991-05,1.822,RIO,Materials
1991-06,1.799,RIO,Materials
1991-07,1.881,RIO,Materials
1991-08,1.955,RIO,Materials
1991-09,1.936,RIO,Materials
1991-10,1.93,RIO,Materials
1991-11,1.913,RIO,Materials
1991-12,1.739,RIO,Materials
1992-01,1.862,RIO,Materials
1992-02,1.886,RIO,Materials
1992-03,1.939,RIO,Materials
1992-04,2.131,RIO,Materials
1992-05,2.392,RIO,Materials
1992-06,2.34,RIO,Materials
1992-07,2.232,RIO,Materials
1992-08,2.139,RIO,Materials
1992-09,2.176,RIO,Materials
1992-10,2.104,RIO,Materials
1992-11,1.998,RIO,Materials
1992-12,2.129,RIO,Materials
1993-01,2.118,RIO,Materials
1993-02,2.01,RIO,Materials
1993-03,2.116,RIO,Materials
1993-04,2.195,RIO,Materials
1993-05,2.143,RIO,Materials
1993-06,2.2,RIO,Materials
1993-07,2.244,RIO,Materials
1993-08,2.292,RIO,Materials
1993-09,2.356,RIO,Materials
1993-10,2.255,RIO,Materials
1993-11,2.207,RIO,Materials
1993-12,2.521,RIO,Materials
1994-01,2.787,RIO,Materials
1994-02,2.799,RIO,Materials
1994-03,2.815,RIO,Materials
1994-04,2.79,RIO,Materials
1994-05,2.869,RIO,Materials
1994-06,2.859,RIO,Materials
1994-07,2.888,RIO,Materials
1994-08,3.003,RIO,Materials
1994-09,3.09,RIO,Materials
1994-10,3.154,RIO,Materials
1994-11,3.023,RIO,Materials
1994-12,2.906,RIO,Materials
1995-01,2.776,RIO,Materials
1995-02,2.643,RIO,Materials
1995-03,2.757,RIO,Materials
1995-04,2.902,RIO,Materials
1995-05,2.883,RIO,Materials
1995-06,2.952,RIO,Materials
1995-07,3.168,RIO,Materials
1995-08,3.167,RIO,Materials
1995-09,3.192,RIO,Materials
1995-10,3.255,RIO,Materials
1995-11,3.29,RIO,Materials
1995-12,3.322,RIO,Materials
1996-01,3.187,RIO,Materials
1996-02,3.314,RIO,Materials
1996-03,3.322,RIO,Materials
1996-04,3.557,RIO,Materials
1996-05,3.674,RIO,Materials
1996-06,3.533,RIO,Materials
1996-07,3.358,RIO,Materials
1996-08,3.472,RIO,Materials
1996-09,3.503,RIO,Materials
1996-10,3.68,RIO,Materials
1996-11,3.73,RIO,Materials
1996-12,3.771,RIO,Materials
1997-01,3.653,RIO,Materials
1997-02,3.566,RIO,Materials
1997-03,3.719,RIO,Materials
1997-04,3.807,RIO,Materials
1997-05,4.091,RIO,Materials
1997-06,4.257,RIO,Materials
1997-07,4.11,RIO,Materials
1997-08,3.966,RIO,Materials
1997-09,3.837,RIO,Materials
1997-10,3.716,RIO,Materials
1997-11,3.136,RIO,Materials
1997-12,3.036,RIO,Materials
1998-01,3.043,RIO,Materials
1998-02,3.291,RIO,Materials
1998-03,3.401,RIO,Materials
1998-04,3.497,RIO,Materials
1998-05,3.448,RIO,Materials
1998-06,3.028,RIO,Materials
1998-07,2.95,RIO,Materials
1998-08,2.65,RIO,Materials
1998-09,2.795,RIO,Materials
1998-10,3.111,RIO,Materials
1998-11,3.088,RIO,Materials
1998-12,2.924,RIO,Materials
1999-01,3.016,RIO,Materials
1999-02,3.238,RIO,Materials
1999-03,3.534,RIO,Materials
1999-04,3.977,RIO,Materials
1999-05,4.095,RIO,Materials
1999-06,4.085,RIO,Materials
1999-07,4.591,RIO,Materials
1999-08,4.981,RIO,Materials
1999-09,4.601,RIO,Materials
1999-10,4.478,RIO,Materials
1999-11,4.734,RIO,Materials
1999-12,5.598,RIO,Materials
2000-01,5.692,RIO,Materials
2000-02,4.543,RIO,Materials
2000-03,4.24,RIO,Materials
2000-04,4.37,RIO,Materials
2000-05,4.388,RIO,Materials
2000-06,4.218,RIO,Materials
2000-07,4.427,RIO,Materials
2000-08,4.618,RIO,Materials
2000-09,4.363,RIO,Materials
2000-10,3.991,RIO,Materials
2000-11,4.211,RIO,Materials
2000-12,4.626,RIO,Materials
2001-01,4.862,RIO,Materials
2001-02,4.981,RIO,Materials
2001-03,4.984,RIO,Materials
2001-04,5.238,RIO,Materials
2001-05,5.554,RIO,Materials
2001-06,5.051,RIO,Materials
2001-07,4.823,RIO,Materials
2001-08,4.805,RIO,Materials
2001-09,4.443,RIO,Materials
2001-10,4.618,RIO,Materials
2001-11,5.035,RIO,Materials
2001-12,5.334,RIO,Materials
2002-01,5.483,RIO,Materials
2002-02,5.732,RIO,Materials
2002-03,5.849,RIO,Materials
2002-04,5.611,RIO,Materials
2002-05,5.544,RIO,Materials
2002-06,5.419,RIO,Materials
2002-07,5.104,RIO,Materials
2002-08,4.932,RIO,Materials
2002-09,4.913,RIO,Materials
2002-10,5.114,RIO,Materials
2002-11,5.688,RIO,Materials
2002-12,5.735,RIO,Materials
2003-01,5.7,RIO,Materials
2003-02,5.758,RIO,Materials
2003-03,5.824,RIO,Materials
2003-04,5.712,RIO,Materials
2003-05,5.654,RIO,Materials
2003-06,5.985,RIO,Materials
2003-07,6.036,RIO,Materials
2003-08,6.417,RIO,Materials
2003-09,6.766,RIO,Materials
2003-10,7.214,RIO,Materials
2003-11,7.33,RIO,Materials
2003-12,7.869,RIO,Materials
2004-01,8.281,RIO,Materials
2004-02,8.171,RIO,Materials
2004-03,7.769,RIO,Materials
2004-04,7.439,RIO,Materials
2004-05,6.994,RIO,Materials
2004-06,7.367,RIO,Materials
2004-07,7.746,RIO,Materials
2004-08,7.882,RIO,Materials
2004-09,7.925,RIO,Materials
2004-10,8.31,RIO,Materials
2004-11,8.759,RIO,Materials
2004-12,8.916,RIO,Materials
2005-01,9.136,RIO,Materials
2005-02,10.087,RIO,Materials
2005-03,10.673,RIO,Materials
