date,average,ticker,industry
1962-04,0.088,RTX,Industrials
1962-05,0.089,RTX,Industrials
1962-06,0.081,RTX,Industrials
1962-07,0.084,RTX,Industrials
1962-08,0.092,RTX,Industrials
1962-09,0.094,RTX,Industrials
1962-10,0.092,RTX,Industrials
1962-11,0.103,RTX,Industrials
1962-12,0.103,RTX,Industrials
1963-01,0.102,RTX,Industrials
1963-02,0.097,RTX,Industrials
1963-03,0.096,RTX,Industrials
1963-04,0.097,RTX,Industrials
1963-05,0.098,RTX,Industrials
1963-06,0.095,RTX,Industrials
1963-07,0.093,RTX,Industrials
1963-08,0.091,RTX,Industrials
1963-09,0.09,RTX,Industrials
1963-10,0.088,RTX,Industrials
1963-11,0.092,RTX,Industrials
1963-12,0.09,RTX,Industrials
1964-01,0.088,RTX,Industrials
1964-02,0.094,RTX,Industrials
1964-03,0.099,RTX,Industrials
1964-04,0.098,RTX,Industrials
1964-05,0.096,RTX,Industrials
1964-06,0.099,RTX,Industrials
1964-07,0.102,RTX,Industrials
1964-08,0.107,RTX,Industrials
1964-09,0.125,RTX,Industrials
1964-10,0.126,RTX,Industrials
1964-11,0.127,RTX,Industrials
1964-12,0.139,RTX,Industrials
1965-01,0.139,RTX,Industrials
1965-02,0.141,RTX,Industrials
1965-03,0.15,RTX,Industrials
1965-04,0.163,RTX,Industrials
1965-05,0.17,RTX,Industrials
1965-06,0.159,RTX,Industrials
1965-07,0.166,RTX,Industrials
1965-08,0.181,RTX,Industrials
1965-09,0.19,RTX,Industrials
1965-10,0.205,RTX,Industrials
1965-11,0.246,RTX,Industrials
1965-12,0.288,RTX,Industrials
1966-01,0.292,RTX,Industrials
1966-02,0.299,RTX,Industrials
1966-03,0.275,RTX,Industrials
1966-04,0.307,RTX,Industrials
1966-05,0.28,RTX,Industrials
1966-06,0.287,RTX,Industrials
1966-07,0.25,RTX,Industrials
1966-08,0.252,RTX,Industrials
1966-09,0.25,RTX,Industrials
1966-10,0.223,RTX,Industrials
1966-11,0.26,RTX,Industrials
1966-12,0.279,RTX,Industrials
1967-01,0.297,RTX,Industrials
1967-02,0.291,RTX,Industrials
1967-03,0.309,RTX,Industrials
1967-04,0.314,RTX,Industrials
1967-05,0.339,RTX,Industrials
1967-06,0.357,RTX,Industrials
1967-07,0.341,RTX,Industrials
1967-08,0.329,RTX,Industrials
1967-09,0.308,RTX,Industrials
1967-10,0.288,RTX,Industrials
1967-11,0.269,RTX,Industrials
1967-12,0.285,RTX,Industrials
1968-01,0.265,RTX,Industrials
1968-02,0.246,RTX,Industrials
1968-03,0.24,RTX,Industrials
1968-04,0.264,RTX,Industrials
1968-05,0.249,RTX,Industrials
1968-06,0.233,RTX,Industrials
1968-07,0.232,RTX,Industrials
1968-08,0.213,RTX,Industrials
