date,average,ticker,industry
1984-03,0.399,SHEL,Energy
1984-04,0.404,SHEL,Energy
1984-05,0.418,SHEL,Energy
1984-06,0.412,SHEL,Energy
1984-07,0.407,SHEL,Energy
1984-08,0.407,SHEL,Energy
1984-09,0.422,SHEL,Energy
1984-10,0.417,SHEL,Energy
1984-11,0.412,SHEL,Energy
1984-12,0.399,SHEL,Energy
1985-01,0.443,SHEL,Energy
1985-02,0.458,SHEL,Energy
1985-03,0.457,SHEL,Energy
1985-04,0.48,SHEL,Energy
1985-05,0.48,SHEL,Energy
1985-06,0.476,SHEL,Energy
1985-07,0.5,SHEL,Energy
1985-08,0.497,SHEL,Energy
1985-09,0.506,SHEL,Energy
1985-10,0.512,SHEL,Energy
1985-11,0.517,SHEL,Energy
1985-12,0.507,SHEL,Energy
1986-01,0.557,SHEL,Energy
1986-02,0.606,SHEL,Energy
1986-03,0.635,SHEL,Energy
1986-04,0.654,SHEL,Energy
1986-05,0.676,SHEL,Energy
1986-06,0.723,SHEL,Energy
1986-07,0.716,SHEL,Energy
1986-08,0.773,SHEL,Energy
1986-09,0.803,SHEL,Energy
1986-10,0.808,SHEL,Energy
1986-11,0.834,SHEL,Energy
1986-12,0.852,SHEL,Energy
1987-01,1.055,SHEL,Energy
1987-02,1.057,SHEL,Energy
1987-03,1.129,SHEL,Energy
1987-04,1.161,SHEL,Energy
1987-05,1.219,SHEL,Energy
1987-06,1.271,SHEL,Energy
1987-07,1.35,SHEL,Energy
1987-08,1.352,SHEL,Energy
1987-09,1.296,SHEL,Energy
1987-10,1.226,SHEL,Energy
1987-11,1.184,SHEL,Energy
1987-12,1.192,SHEL,Energy
1988-01,1.182,SHEL,Energy
1988-02,1.207,SHEL,Energy
1988-03,1.237,SHEL,Energy
1988-04,1.282,SHEL,Energy
1988-05,1.275,SHEL,Energy
1988-06,1.304,SHEL,Energy
1988-07,1.294,SHEL,Energy
1988-08,1.27,SHEL,Energy
1988-09,1.277,SHEL,Energy
1988-10,1.375,SHEL,Energy
1988-11,1.368,SHEL,Energy
1988-12,1.38,SHEL,Energy
1989-01,2.167,SHEL,Energy
1989-02,2.938,SHEL,Energy
1989-03,3.025,SHEL,Energy
1989-04,3.155,SHEL,Energy
1989-05,3.103,SHEL,Energy
1989-06,3.123,SHEL,Energy
1989-07,3.301,SHEL,Energy
1989-08,3.275,SHEL,Energy
1989-09,3.352,SHEL,Energy
1989-10,3.345,SHEL,Energy
1989-11,3.332,SHEL,Energy
1989-12,3.628,SHEL,Energy
1990-01,3.829,SHEL,Energy
1990-02,3.939,SHEL,Energy
1990-03,3.893,SHEL,Energy
1990-04,3.861,SHEL,Energy
1990-05,3.974,SHEL,Energy
1990-06,4.0,SHEL,Energy
1990-07,4.196,SHEL,Energy
1990-08,4.227,SHEL,Energy
1990-09,4.212,SHEL,Energy
1990-10,4.198,SHEL,Energy
1990-11,4.155,SHEL,Energy
1990-12,4.136,SHEL,Energy
1991-01,4.116,SHEL,Energy
1991-02,4.3,SHEL,Energy
1991-03,4.237,SHEL,Energy
1991-04,4.312,SHEL,Energy
1991-05,4.419,SHEL,Energy
1991-06,4.391,SHEL,Energy
1991-07,4.509,SHEL,Energy
1991-08,4.444,SHEL,Energy
1991-09,4.526,SHEL,Energy
1991-10,4.509,SHEL,Energy
1991-11,4.503,SHEL,Energy
1991-12,4.609,SHEL,Energy
1992-01,4.758,SHEL,Energy
1992-02,4.504,SHEL,Energy
1992-03,4.467,SHEL,Energy
1992-04,4.656,SHEL,Energy
1992-05,4.87,SHEL,Energy
1992-06,4.991,SHEL,Energy
1992-07,5.073,SHEL,Energy
1992-08,5.115,SHEL,Energy
1992-09,5.115,SHEL,Energy
1992-10,5.099,SHEL,Energy
1992-11,4.956,SHEL,Energy
1992-12,4.93,SHEL,Energy
1993-01,5.135,SHEL,Energy
1993-02,5.336,SHEL,Energy
1993-03,5.398,SHEL,Energy
1993-04,5.379,SHEL,Energy
1993-05,5.659,SHEL,Energy
1993-06,5.702,SHEL,Energy
1993-07,5.684,SHEL,Energy
1993-08,6.033,SHEL,Energy
1993-09,6.122,SHEL,Energy
1993-10,6.452,SHEL,Energy
1993-11,6.138,SHEL,Energy
1993-12,6.241,SHEL,Energy
1994-01,6.737,SHEL,Energy
1994-02,6.842,SHEL,Energy
1994-03,6.584,SHEL,Energy
1994-04,6.778,SHEL,Energy
1994-05,6.844,SHEL,Energy
1994-06,6.914,SHEL,Energy
1994-07,7.036,SHEL,Energy
1994-08,7.111,SHEL,Energy
1994-09,7.084,SHEL,Energy
1994-10,7.332,SHEL,Energy
1994-11,7.188,SHEL,Energy
1994-12,7.028,SHEL,Energy
1995-01,7.228,SHEL,Energy
1995-02,7.455,SHEL,Energy
1995-03,7.669,SHEL,Energy
1995-04,7.974,SHEL,Energy
1995-05,8.309,SHEL,Energy
1995-06,8.384,SHEL,Energy
1995-07,8.351,SHEL,Energy
1995-08,8.156,SHEL,Energy
1995-09,8.323,SHEL,Energy
1995-10,8.48,SHEL,Energy
1995-11,8.697,SHEL,Energy
1995-12,9.342,SHEL,Energy
1996-01,9.52,SHEL,Energy
1996-02,9.7,SHEL,Energy
1996-03,9.619,SHEL,Energy
1996-04,9.935,SHEL,Energy
1996-05,10.257,SHEL,Energy
1996-06,10.725,SHEL,Energy
1996-07,10.67,SHEL,Energy
1996-08,10.631,SHEL,Energy
1996-09,10.98,SHEL,Energy
1996-10,11.809,SHEL,Energy
1996-11,11.866,SHEL,Energy
1996-12,11.995,SHEL,Energy
1997-01,12.383,SHEL,Energy
1997-02,12.673,SHEL,Energy
1997-03,12.574,SHEL,Energy
1997-04,12.425,SHEL,Energy
1997-05,13.651,SHEL,Energy
1997-06,14.856,SHEL,Energy
1997-07,16.003,SHEL,Energy
1997-08,15.529,SHEL,Energy
1997-09,15.831,SHEL,Energy
1997-10,16.297,SHEL,Energy
1997-11,15.661,SHEL,Energy
1997-12,15.784,SHEL,Energy
1998-01,15.322,SHEL,Energy
1998-02,15.5,SHEL,Energy
1998-03,16.309,SHEL,Energy
1998-04,16.798,SHEL,Energy
1998-05,16.925,SHEL,Energy
1998-06,16.6,SHEL,Energy
1998-07,15.898,SHEL,Energy
1998-08,13.719,SHEL,Energy
1998-09,14.578,SHEL,Energy
1998-10,14.921,SHEL,Energy
1998-11,14.521,SHEL,Energy
1998-12,14.369,SHEL,Energy
1999-01,13.636,SHEL,Energy
1999-02,13.111,SHEL,Energy
1999-03,15.039,SHEL,Energy
1999-04,16.635,SHEL,Energy
1999-05,17.727,SHEL,Energy
1999-06,18.165,SHEL,Energy
1999-07,19.141,SHEL,Energy
1999-08,19.706,SHEL,Energy
1999-09,19.034,SHEL,Energy
1999-10,18.439,SHEL,Energy
1999-11,18.949,SHEL,Energy
1999-12,18.385,SHEL,Energy
2000-01,18.516,SHEL,Energy
2000-02,16.92,SHEL,Energy
2000-03,17.466,SHEL,Energy
2000-04,17.773,SHEL,Energy
2000-05,18.989,SHEL,Energy
2000-06,19.719,SHEL,Energy
2000-07,18.937,SHEL,Energy
2000-08,19.33,SHEL,Energy
2000-09,19.665,SHEL,Energy
2000-10,19.542,SHEL,Energy
2000-11,19.167,SHEL,Energy
2000-12,18.553,SHEL,Energy
2001-01,19.079,SHEL,Energy
2001-02,19.291,SHEL,Energy
2001-03,18.351,SHEL,Energy
2001-04,18.297,SHEL,Energy
2001-05,19.246,SHEL,Energy
2001-06,19.523,SHEL,Energy
2001-07,18.238,SHEL,Energy
2001-08,18.427,SHEL,Energy
2001-09,16.372,SHEL,Energy
2001-10,16.882,SHEL,Energy
2001-11,16.274,SHEL,Energy
2001-12,15.776,SHEL,Energy
2002-01,15.803,SHEL,Energy
2002-02,16.355,SHEL,Energy
2002-03,17.621,SHEL,Energy
2002-04,17.404,SHEL,Energy
2002-05,18.01,SHEL,Energy
2002-06,17.621,SHEL,Energy
2002-07,15.862,SHEL,Energy
2002-08,15.104,SHEL,Energy
2002-09,14.136,SHEL,Energy
2002-10,14.292,SHEL,Energy
2002-11,14.709,SHEL,Energy
2002-12,14.56,SHEL,Energy
2003-01,14.587,SHEL,Energy
2003-02,13.449,SHEL,Energy
2003-03,13.526,SHEL,Energy
2003-04,14.336,SHEL,Energy
2003-05,15.371,SHEL,Energy
2003-06,16.471,SHEL,Energy
2003-07,15.748,SHEL,Energy
2003-08,15.848,SHEL,Energy
2003-09,15.958,SHEL,Energy
2003-10,16.058,SHEL,Energy
2003-11,15.738,SHEL,Energy
2003-12,17.281,SHEL,Energy
2004-01,17.396,SHEL,Energy
2004-02,16.975,SHEL,Energy
2004-03,17.059,SHEL,Energy
2004-04,17.292,SHEL,Energy
2004-05,17.826,SHEL,Energy
2004-06,18.569,SHEL,Energy
2004-07,18.644,SHEL,Energy
2004-08,18.41,SHEL,Energy
2004-09,19.015,SHEL,Energy
2004-10,19.493,SHEL,Energy
2004-11,20.543,SHEL,Energy
2004-12,20.889,SHEL,Energy
2005-01,20.814,SHEL,Energy
2005-02,22.639,SHEL,Energy
2005-03,23.416,SHEL,Energy
2005-04,22.564,SHEL,Energy
2005-05,22.278,SHEL,Energy
2005-06,23.461,SHEL,Energy
2005-07,24.175,SHEL,Energy
2005-08,24.741,SHEL,Energy
2005-09,25.119,SHEL,Energy
2005-10,23.563,SHEL,Energy
2005-11,23.882,SHEL,Energy
2005-12,24.173,SHEL,Energy
2006-01,25.311,SHEL,Energy
2006-02,24.499,SHEL,Energy
2006-03,24.1,SHEL,Energy
2006-04,26.086,SHEL,Energy
2006-05,26.469,SHEL,Energy
2006-06,25.241,SHEL,Energy
2006-07,26.88,SHEL,Energy
2006-08,28.124,SHEL,Energy
2006-09,26.323,SHEL,Energy
2006-10,26.458,SHEL,Energy
2006-11,28.24,SHEL,Energy
2006-12,28.402,SHEL,Energy
2007-01,27.278,SHEL,Energy
2007-02,27.114,SHEL,Energy
2007-03,26.382,SHEL,Energy
2007-04,27.803,SHEL,Energy
2007-05,29.556,SHEL,Energy
2007-06,31.876,SHEL,Energy
2007-07,33.769,SHEL,Energy
2007-08,30.94,SHEL,Energy
2007-09,33.819,SHEL,Energy
2007-10,34.531,SHEL,Energy
2007-11,34.274,SHEL,Energy
2007-12,34.256,SHEL,Energy
2008-01,32.525,SHEL,Energy
2008-02,29.719,SHEL,Energy
2008-03,28.977,SHEL,Energy
2008-04,31.482,SHEL,Energy
2008-05,35.104,SHEL,Energy
2008-06,34.364,SHEL,Energy
2008-07,31.929,SHEL,Energy
2008-08,29.598,SHEL,Energy
2008-09,26.619,SHEL,Energy
2008-10,22.059,SHEL,Energy
2008-11,22.254,SHEL,Energy
2008-12,22.574,SHEL,Energy
2009-01,22.424,SHEL,Energy
2009-02,21.546,SHEL,Energy
2009-03,19.545,SHEL,Energy
2009-04,19.588,SHEL,Energy
2009-05,22.48,SHEL,Energy
2009-06,23.706,SHEL,Energy
2009-07,22.588,SHEL,Energy
2009-08,24.45,SHEL,Energy
2009-09,26.408,SHEL,Energy
2009-10,27.36,SHEL,Energy
2009-11,28.488,SHEL,Energy
2009-12,27.888,SHEL,Energy
2010-01,27.907,SHEL,Energy
2010-02,25.936,SHEL,Energy
2010-03,27.21,SHEL,Energy
2010-04,28.759,SHEL,Energy
2010-05,26.103,SHEL,Energy
2010-06,25.315,SHEL,Energy
2010-07,25.978,SHEL,Energy
2010-08,26.95,SHEL,Energy
2010-09,28.229,SHEL,Energy
2010-10,30.56,SHEL,Energy
2010-11,31.956,SHEL,Energy
2010-12,31.962,SHEL,Energy
2011-01,33.524,SHEL,Energy
2011-02,34.941,SHEL,Energy
2011-03,35.25,SHEL,Energy
2011-04,36.947,SHEL,Energy
2011-05,35.782,SHEL,Energy
2011-06,34.861,SHEL,Energy
2011-07,36.556,SHEL,Energy
