date,average,ticker,industry
1996-11,8.224,SIEGY,Industrials
1996-12,8.026,SIEGY,Industrials
1997-01,8.272,SIEGY,Industrials
1997-02,8.746,SIEGY,Industrials
1997-03,8.78,SIEGY,Industrials
1997-04,8.908,SIEGY,Industrials
1997-05,9.941,SIEGY,Industrials
1997-06,10.071,SIEGY,Industrials
1997-07,11.22,SIEGY,Industrials
1997-08,11.254,SIEGY,Industrials
1997-09,11.278,SIEGY,Industrials
1997-10,11.395,SIEGY,Industrials
1997-11,10.316,SIEGY,Industrials
1997-12,10.171,SIEGY,Industrials
1998-01,10.254,SIEGY,Industrials
1998-02,10.754,SIEGY,Industrials
1998-03,10.965,SIEGY,Industrials
1998-04,11.112,SIEGY,Industrials
1998-05,11.106,SIEGY,Industrials
1998-06,10.8,SIEGY,Industrials
1998-07,11.571,SIEGY,Industrials
1998-08,11.693,SIEGY,Industrials
1998-09,10.588,SIEGY,Industrials
1998-10,9.339,SIEGY,Industrials
1998-11,11.565,SIEGY,Industrials
1998-12,11.059,SIEGY,Industrials
1999-01,11.848,SIEGY,Industrials
1999-02,11.694,SIEGY,Industrials
1999-03,11.091,SIEGY,Industrials
1999-04,12.097,SIEGY,Industrials
1999-05,12.64,SIEGY,Industrials
1999-06,12.561,SIEGY,Industrials
1999-07,14.029,SIEGY,Industrials
1999-08,14.359,SIEGY,Industrials
1999-09,14.71,SIEGY,Industrials
1999-10,14.824,SIEGY,Industrials
1999-11,16.842,SIEGY,Industrials
1999-12,20.181,SIEGY,Industrials
2000-01,22.931,SIEGY,Industrials
2000-02,28.673,SIEGY,Industrials
2000-03,28.192,SIEGY,Industrials
2000-04,24.002,SIEGY,Industrials
2000-05,24.342,SIEGY,Industrials
2000-06,26.607,SIEGY,Industrials
2000-07,27.826,SIEGY,Industrials
2000-08,26.509,SIEGY,Industrials
2000-09,25.573,SIEGY,Industrials
2000-10,21.206,SIEGY,Industrials
2000-11,20.478,SIEGY,Industrials
2000-12,21.573,SIEGY,Industrials
2001-01,24.064,SIEGY,Industrials
2001-02,22.421,SIEGY,Industrials
2001-03,18.802,SIEGY,Industrials
2001-04,18.597,SIEGY,Industrials
2001-05,19.488,SIEGY,Industrials
2001-06,17.129,SIEGY,Industrials
2001-07,14.004,SIEGY,Industrials
2001-08,13.804,SIEGY,Industrials
2001-09,10.518,SIEGY,Industrials
2001-10,11.465,SIEGY,Industrials
2001-11,14.324,SIEGY,Industrials
2001-12,16.357,SIEGY,Industrials
2002-01,16.765,SIEGY,Industrials
2002-02,14.923,SIEGY,Industrials
2002-03,17.161,SIEGY,Industrials
2002-04,15.955,SIEGY,Industrials
2002-05,16.416,SIEGY,Industrials
2002-06,15.264,SIEGY,Industrials
2002-07,14.347,SIEGY,Industrials
2002-08,12.36,SIEGY,Industrials
2002-09,10.468,SIEGY,Industrials
2002-10,10.025,SIEGY,Industrials
2002-11,12.503,SIEGY,Industrials
2002-12,11.79,SIEGY,Industrials
2003-01,11.378,SIEGY,Industrials
2003-02,10.429,SIEGY,Industrials
2003-03,11.002,SIEGY,Industrials
2003-04,12.394,SIEGY,Industrials
2003-05,13.006,SIEGY,Industrials
2003-06,13.363,SIEGY,Industrials
2003-07,14.305,SIEGY,Industrials
2003-08,15.767,SIEGY,Industrials
2003-09,16.65,SIEGY,Industrials
2003-10,17.454,SIEGY,Industrials
2003-11,18.958,SIEGY,Industrials
2003-12,20.877,SIEGY,Industrials
2004-01,22.525,SIEGY,Industrials
2004-02,22.087,SIEGY,Industrials
2004-03,20.074,SIEGY,Industrials
2004-04,20.199,SIEGY,Industrials
2004-05,18.734,SIEGY,Industrials
2004-06,19.037,SIEGY,Industrials
2004-07,18.542,SIEGY,Industrials
2004-08,18.282,SIEGY,Industrials
