date,average,ticker,industry
1981-12,5.149,SLB,Energy
1982-01,4.656,SLB,Energy
1982-02,4.505,SLB,Energy
1982-03,4.007,SLB,Energy
1982-04,4.221,SLB,Energy
1982-05,4.365,SLB,Energy
1982-06,3.724,SLB,Energy
1982-07,3.472,SLB,Energy
1982-08,3.277,SLB,Energy
1982-09,3.472,SLB,Energy
1982-10,3.754,SLB,Energy
1982-11,3.775,SLB,Energy
1982-12,4.097,SLB,Energy
1983-01,4.552,SLB,Energy
1983-02,4.077,SLB,Energy
1983-03,3.865,SLB,Energy
1983-04,4.011,SLB,Energy
1983-05,4.424,SLB,Energy
1983-06,4.823,SLB,Energy
1983-07,5.4,SLB,Energy
1983-08,5.627,SLB,Energy
1983-09,5.418,SLB,Energy
1983-10,5.129,SLB,Energy
1983-11,4.779,SLB,Energy
1983-12,4.602,SLB,Energy
1984-01,4.569,SLB,Energy
1984-02,4.424,SLB,Energy
1984-03,4.828,SLB,Energy
1984-04,5.163,SLB,Energy
1984-05,4.892,SLB,Energy
1984-06,4.581,SLB,Energy
1984-07,4.134,SLB,Energy
1984-08,4.519,SLB,Energy
1984-09,4.488,SLB,Energy
1984-10,4.216,SLB,Energy
1984-11,3.96,SLB,Energy
1984-12,3.712,SLB,Energy
1985-01,3.688,SLB,Energy
1985-02,4.079,SLB,Energy
1985-03,3.881,SLB,Energy
1985-04,3.873,SLB,Energy
1985-05,3.893,SLB,Energy
1985-06,3.764,SLB,Energy
1985-07,3.826,SLB,Energy
1985-08,3.721,SLB,Energy
1985-09,3.526,SLB,Energy
1985-10,3.429,SLB,Energy
1985-11,3.521,SLB,Energy
1985-12,3.54,SLB,Energy
1986-01,3.516,SLB,Energy
1986-02,3.134,SLB,Energy
1986-03,3.171,SLB,Energy
1986-04,3.182,SLB,Energy
1986-05,3.165,SLB,Energy
1986-06,3.339,SLB,Energy
1986-07,3.273,SLB,Energy
1986-08,3.259,SLB,Energy
1986-09,3.456,SLB,Energy
1986-10,3.459,SLB,Energy
1986-11,3.451,SLB,Energy
1986-12,3.466,SLB,Energy
1987-01,3.767,SLB,Energy
1987-02,4.049,SLB,Energy
1987-03,4.158,SLB,Energy
1987-04,4.445,SLB,Energy
1987-05,4.623,SLB,Energy
1987-06,4.775,SLB,Energy
1987-07,5.219,SLB,Energy
1987-08,5.178,SLB,Energy
1987-09,4.948,SLB,Energy
1987-10,4.297,SLB,Energy
1987-11,3.508,SLB,Energy
1987-12,3.231,SLB,Energy
1988-01,3.316,SLB,Energy
1988-02,3.707,SLB,Energy
1988-03,3.864,SLB,Energy
1988-04,4.039,SLB,Energy
1988-05,4.093,SLB,Energy
1988-06,3.966,SLB,Energy
1988-07,3.775,SLB,Energy
1988-08,3.773,SLB,Energy
1988-09,3.68,SLB,Energy
1988-10,3.77,SLB,Energy
1988-11,3.743,SLB,Energy
1988-12,3.699,SLB,Energy
1989-01,3.901,SLB,Energy
1989-02,4.052,SLB,Energy
1989-03,4.284,SLB,Energy
1989-04,4.41,SLB,Energy
1989-05,4.448,SLB,Energy
1989-06,4.542,SLB,Energy
1989-07,4.779,SLB,Energy
1989-08,4.971,SLB,Energy
1989-09,5.043,SLB,Energy
1989-10,5.038,SLB,Energy
1989-11,4.985,SLB,Energy
1989-12,5.604,SLB,Energy
1990-01,5.47,SLB,Energy
1990-02,5.637,SLB,Energy
1990-03,5.845,SLB,Energy
1990-04,5.961,SLB,Energy
1990-05,6.518,SLB,Energy
1990-06,6.774,SLB,Energy
1990-07,7.187,SLB,Energy
1990-08,7.665,SLB,Energy
1990-09,7.675,SLB,Energy
1990-10,6.875,SLB,Energy
1990-11,6.653,SLB,Energy
1990-12,6.57,SLB,Energy
1991-01,6.472,SLB,Energy
1991-02,7.179,SLB,Energy
1991-03,7.324,SLB,Energy
1991-04,7.133,SLB,Energy
1991-05,7.498,SLB,Energy
1991-06,7.286,SLB,Energy
1991-07,7.606,SLB,Energy
1991-08,8.365,SLB,Energy
1991-09,8.331,SLB,Energy
1991-10,8.208,SLB,Energy
1991-11,7.916,SLB,Energy
1991-12,7.428,SLB,Energy
1992-01,7.443,SLB,Energy
1992-02,7.287,SLB,Energy
1992-03,6.979,SLB,Energy
1992-04,7.147,SLB,Energy
1992-05,7.891,SLB,Energy
1992-06,8.034,SLB,Energy
1992-07,7.746,SLB,Energy
1992-08,8.229,SLB,Energy
1992-09,8.321,SLB,Energy
1992-10,8.277,SLB,Energy
1992-11,7.586,SLB,Energy
1992-12,7.169,SLB,Energy
1993-01,7.024,SLB,Energy
1993-02,7.292,SLB,Energy
1993-03,7.288,SLB,Energy
1993-04,7.857,SLB,Energy
1993-05,8.055,SLB,Energy
1993-06,8.191,SLB,Energy
1993-07,7.894,SLB,Energy
1993-08,7.998,SLB,Energy
1993-09,8.065,SLB,Energy
1993-10,8.09,SLB,Energy
1993-11,7.656,SLB,Energy
1993-12,7.316,SLB,Energy
1994-01,7.48,SLB,Energy
1994-02,7.312,SLB,Energy
1994-03,7.158,SLB,Energy
1994-04,6.779,SLB,Energy
1994-05,7.164,SLB,Energy
1994-06,7.397,SLB,Energy
1994-07,7.746,SLB,Energy
1994-08,7.376,SLB,Energy
1994-09,7.116,SLB,Energy
1994-10,7.129,SLB,Energy
1994-11,7.118,SLB,Energy
1994-12,6.58,SLB,Energy
1995-01,6.717,SLB,Energy
1995-02,7.129,SLB,Energy
1995-03,7.516,SLB,Energy
1995-04,7.863,SLB,Energy
1995-05,8.317,SLB,Energy
1995-06,8.337,SLB,Energy
1995-07,8.415,SLB,Energy
1995-08,8.371,SLB,Energy
1995-09,8.826,SLB,Energy
1995-10,8.438,SLB,Energy
1995-11,8.337,SLB,Energy
1995-12,8.997,SLB,Energy
1996-01,8.907,SLB,Energy
1996-02,9.604,SLB,Energy
1996-03,10.162,SLB,Energy
1996-04,11.217,SLB,Energy
1996-05,11.426,SLB,Energy
1996-06,11.01,SLB,Energy
1996-07,11.18,SLB,Energy
1996-08,11.298,SLB,Energy
1996-09,11.332,SLB,Energy
1996-10,12.467,SLB,Energy
1996-11,13.55,SLB,Energy
1996-12,13.701,SLB,Energy
1997-01,14.748,SLB,Energy
1997-02,14.029,SLB,Energy
1997-03,14.568,SLB,Energy
1997-04,14.462,SLB,Energy
1997-05,15.676,SLB,Energy
1997-06,16.348,SLB,Energy
1997-07,19.445,SLB,Energy
1997-08,20.232,SLB,Energy
1997-09,21.775,SLB,Energy
1997-10,23.627,SLB,Energy
1997-11,23.466,SLB,Energy
1997-12,21.452,SLB,Energy
1998-01,20.234,SLB,Energy
1998-02,20.332,SLB,Energy
1998-03,20.24,SLB,Energy
1998-04,21.046,SLB,Energy
1998-05,22.029,SLB,Energy
1998-06,19.49,SLB,Energy
1998-07,17.793,SLB,Energy
1998-08,14.753,SLB,Energy
1998-09,13.718,SLB,Energy
1998-10,13.447,SLB,Energy
1998-11,14.171,SLB,Energy
1998-12,12.205,SLB,Energy
1999-01,13.609,SLB,Energy
1999-02,13.745,SLB,Energy
1999-03,15.665,SLB,Energy
1999-04,16.535,SLB,Energy
1999-05,16.948,SLB,Energy
1999-06,16.952,SLB,Energy
1999-07,17.172,SLB,Energy
1999-08,18.066,SLB,Energy
1999-09,17.768,SLB,Energy
1999-10,16.068,SLB,Energy
1999-11,17.462,SLB,Energy
1999-12,16.115,SLB,Energy
2000-01,19.114,SLB,Energy
2000-02,20.014,SLB,Energy
2000-03,24.238,SLB,Energy
2000-04,23.397,SLB,Energy
2000-05,24.22,SLB,Energy
2000-06,23.192,SLB,Energy
2000-07,23.046,SLB,Energy
2000-08,26.15,SLB,Energy
2000-09,26.133,SLB,Energy
2000-10,25.529,SLB,Energy
2000-11,23.791,SLB,Energy
2000-12,23.38,SLB,Energy
2001-01,24.469,SLB,Energy
2001-02,21.988,SLB,Energy
2001-03,20.393,SLB,Energy
2001-04,19.288,SLB,Energy
2001-05,20.414,SLB,Energy
2001-06,18.43,SLB,Energy
2001-07,16.761,SLB,Energy
2001-08,16.29,SLB,Energy
2001-09,14.988,SLB,Energy
2001-10,15.147,SLB,Energy
2001-11,15.12,SLB,Energy
2001-12,16.835,SLB,Energy
2002-01,16.89,SLB,Energy
2002-02,17.904,SLB,Energy
2002-03,19.103,SLB,Energy
2002-04,17.858,SLB,Energy
2002-05,17.53,SLB,Energy
2002-06,15.769,SLB,Energy
2002-07,13.918,SLB,Energy
2002-08,13.391,SLB,Energy
2002-09,13.297,SLB,Energy
2002-10,12.589,SLB,Energy
2002-11,13.704,SLB,Energy
2002-12,14.409,SLB,Energy
2003-01,13.017,SLB,Energy
2003-02,12.952,SLB,Energy
2003-03,12.79,SLB,Energy
2003-04,12.865,SLB,Energy
2003-05,15.126,SLB,Energy
2003-06,15.758,SLB,Energy
2003-07,15.315,SLB,Energy
2003-08,15.601,SLB,Energy
2003-09,16.222,SLB,Energy
2003-10,16.229,SLB,Energy
2003-11,15.412,SLB,Energy
2003-12,17.033,SLB,Energy
2004-01,18.711,SLB,Energy
2004-02,20.952,SLB,Energy
2004-03,21.152,SLB,Energy
2004-04,20.569,SLB,Energy
2004-05,19.088,SLB,Energy
2004-06,20.111,SLB,Energy
2004-07,21.273,SLB,Energy
2004-08,20.512,SLB,Energy
2004-09,21.851,SLB,Energy
2004-10,22.223,SLB,Energy
2004-11,21.586,SLB,Energy
2004-12,21.784,SLB,Energy
2005-01,21.845,SLB,Energy
2005-02,24.295,SLB,Energy
2005-03,24.489,SLB,Energy
2005-04,23.465,SLB,Energy
2005-05,22.753,SLB,Energy
2005-06,25.04,SLB,Energy
2005-07,26.902,SLB,Energy
2005-08,28.508,SLB,Energy
2005-09,28.49,SLB,Energy
2005-10,27.899,SLB,Energy
2005-11,31.879,SLB,Energy
2005-12,33.631,SLB,Energy
2006-01,38.808,SLB,Energy
2006-02,40.002,SLB,Energy
2006-03,41.131,SLB,Energy
2006-04,44.796,SLB,Energy
2006-05,46.24,SLB,Energy
2006-06,40.717,SLB,Energy
2006-07,44.224,SLB,Energy
2006-08,43.825,SLB,Energy
2006-09,39.706,SLB,Energy
2006-10,41.366,SLB,Energy
2006-11,44.049,SLB,Energy
2006-12,44.995,SLB,Energy
2007-01,41.228,SLB,Energy
2007-02,43.95,SLB,Energy
2007-03,45.386,SLB,Energy
2007-04,50.878,SLB,Energy
2007-05,52.585,SLB,Energy
2007-06,57.119,SLB,Energy
2007-07,62.815,SLB,Energy
2007-08,62.737,SLB,Energy
2007-09,70.372,SLB,Energy
2007-10,71.756,SLB,Energy
2007-11,64.429,SLB,Energy
2007-12,65.831,SLB,Energy
2008-01,60.481,SLB,Energy
2008-02,57.354,SLB,Energy
2008-03,58.453,SLB,Energy
2008-04,66.493,SLB,Energy
2008-05,71.178,SLB,Energy
2008-06,71.59,SLB,Energy
2008-07,69.48,SLB,Energy
2008-08,66.028,SLB,Energy
2008-09,59.28,SLB,Energy
2008-10,40.431,SLB,Energy
2008-11,33.663,SLB,Energy
2008-12,28.716,SLB,Energy
2009-01,29.44,SLB,Energy
2009-02,28.26,SLB,Energy
2009-03,28.638,SLB,Energy
2009-04,32.037,SLB,Energy
2009-05,37.974,SLB,Energy
2009-06,39.953,SLB,Energy
2009-07,37.79,SLB,Energy
2009-08,38.469,SLB,Energy
2009-09,41.73,SLB,Energy
2009-10,45.264,SLB,Energy
2009-11,45.891,SLB,Energy
2009-12,44.751,SLB,Energy
2010-01,48.307,SLB,Energy
2010-02,45.051,SLB,Energy
2010-03,45.185,SLB,Energy
2010-04,48.361,SLB,Energy
2010-05,45.11,SLB,Energy
2010-06,41.066,SLB,Energy
2010-07,41.741,SLB,Energy
2010-08,41.912,SLB,Energy
2010-09,42.103,SLB,Energy
2010-10,46.586,SLB,Energy
2010-11,53.576,SLB,Energy
2010-12,58.869,SLB,Energy
2011-01,60.569,SLB,Energy
2011-02,65.681,SLB,Energy
2011-03,64.05,SLB,Energy
2011-04,64.133,SLB,Energy
2011-05,60.378,SLB,Energy
2011-06,60.24,SLB,Energy
2011-07,64.713,SLB,Energy
2011-08,56.481,SLB,Energy
2011-09,50.002,SLB,Energy
2011-10,48.869,SLB,Energy
2011-11,52.693,SLB,Energy
2011-12,51.129,SLB,Energy
2012-01,52.233,SLB,Energy
2012-02,57.08,SLB,Energy
2012-03,54.027,SLB,Energy
2012-04,51.339,SLB,Energy
2012-05,49.545,SLB,Energy
2012-06,46.645,SLB,Energy
2012-07,49.774,SLB,Energy
2012-08,54.048,SLB,Energy
2012-09,54.381,SLB,Energy
2012-10,52.969,SLB,Energy
2012-11,51.296,SLB,Energy
2012-12,52.155,SLB,Energy
2013-01,55.41,SLB,Energy
2013-02,58.129,SLB,Energy
2013-03,56.504,SLB,Energy
2013-04,54.568,SLB,Energy
2013-05,56.165,SLB,Energy
2013-06,53.943,SLB,Energy
2013-07,58.337,SLB,Energy
2013-08,60.771,SLB,Energy
2013-09,64.915,SLB,Energy
2013-10,68.29,SLB,Energy
2013-11,68.596,SLB,Energy
2013-12,65.685,SLB,Energy
2014-01,66.351,SLB,Energy
2014-02,67.763,SLB,Energy
2014-03,69.824,SLB,Energy
2014-04,75.112,SLB,Energy
2014-05,76.165,SLB,Energy
2014-06,81.864,SLB,Energy
2014-07,86.346,SLB,Energy
2014-08,82.193,SLB,Energy
2014-09,78.851,SLB,Energy
2014-10,72.544,SLB,Energy
2014-11,72.665,SLB,Energy
2014-12,64.777,SLB,Energy
2015-01,62.076,SLB,Energy
2015-02,65.762,SLB,Energy
2015-03,63.347,SLB,Energy
2015-04,69.101,SLB,Energy
2015-05,70.36,SLB,Energy
2015-06,68.589,SLB,Energy
2015-07,64.614,SLB,Energy
2015-08,61.783,SLB,Energy
2015-09,56.938,SLB,Energy
2015-10,58.547,SLB,Energy
2015-11,60.643,SLB,Energy
2015-12,55.751,SLB,Energy
2016-01,51.2,SLB,Energy
2016-02,55.703,SLB,Energy
2016-03,58.084,SLB,Energy
2016-04,60.48,SLB,Energy
2016-05,59.29,SLB,Energy
2016-06,61.572,SLB,Energy
2016-07,62.926,SLB,Energy
2016-08,64.318,SLB,Energy
2016-09,61.576,SLB,Energy
2016-10,64.347,SLB,Energy
2016-11,63.865,SLB,Energy
2016-12,68.121,SLB,Energy
2017-01,68.42,SLB,Energy
2017-02,65.447,SLB,Energy
2017-03,63.725,SLB,Energy
2017-04,61.939,SLB,Energy
2017-05,57.558,SLB,Energy
2017-06,54.902,SLB,Energy
2017-07,54.117,SLB,Energy
2017-08,52.534,SLB,Energy
2017-09,55.097,SLB,Energy
2017-10,54.08,SLB,Energy
2017-11,51.989,SLB,Energy
2017-12,53.431,SLB,Energy
2018-01,62.549,SLB,Energy
2018-02,56.174,SLB,Energy
2018-03,54.729,SLB,Energy
2018-04,56.104,SLB,Energy
2018-05,58.881,SLB,Energy
2018-06,56.485,SLB,Energy
2018-07,56.068,SLB,Energy
2018-08,54.243,SLB,Energy
2018-09,51.482,SLB,Energy
2018-10,49.119,SLB,Energy
2018-11,41.056,SLB,Energy
2018-12,33.557,SLB,Energy
2019-01,35.869,SLB,Energy
2019-02,38.211,SLB,Energy
2019-03,37.337,SLB,Energy
2019-04,38.855,SLB,Energy
2019-05,33.539,SLB,Energy
2019-06,32.344,SLB,Energy
2019-07,34.809,SLB,Energy
2019-08,29.601,SLB,Energy
2019-09,31.999,SLB,Energy
2019-10,29.235,SLB,Energy
2019-11,31.909,SLB,Energy
2019-12,34.782,SLB,Energy
2020-01,33.93,SLB,Energy
2020-02,29.801,SLB,Energy
2020-03,15.863,SLB,Energy
2020-04,14.255,SLB,Energy
2020-05,15.756,SLB,Energy
2020-06,18.076,SLB,Energy
2020-07,17.1,SLB,Energy
2020-08,17.921,SLB,Energy
2020-09,16.464,SLB,Energy
2020-10,14.333,SLB,Energy
2020-11,17.474,SLB,Energy
2020-12,20.796,SLB,Energy
2021-01,22.538,SLB,Energy
2021-02,24.447,SLB,Energy
2021-03,26.465,SLB,Energy
2021-04,25.002,SLB,Energy
2021-05,29.474,SLB,Energy
2021-06,31.909,SLB,Energy
2021-07,27.888,SLB,Energy
2021-08,26.347,SLB,Energy
2021-09,26.774,SLB,Energy
2021-10,30.977,SLB,Energy
2021-11,30.305,SLB,Energy
2021-12,28.218,SLB,Energy
2022-01,34.644,SLB,Energy
2022-02,37.689,SLB,Energy
2022-03,39.206,SLB,Energy
2022-04,39.315,SLB,Energy
2022-05,40.024,SLB,Energy
2022-06,39.891,SLB,Energy
2022-07,32.646,SLB,Energy
2022-08,35.298,SLB,Energy
2022-09,35.972,SLB,Energy
2022-10,43.649,SLB,Energy
2022-11,50.579,SLB,Energy
2022-12,49.288,SLB,Energy
2023-01,53.94,SLB,Energy
2023-02,52.524,SLB,Energy
2023-03,47.94,SLB,Energy
2023-04,49.068,SLB,Energy
2023-05,43.84,SLB,Energy
2023-06,46.11,SLB,Energy
2023-07,54.057,SLB,Energy
2023-08,56.502,SLB,Energy
2023-09,58.909,SLB,Energy
2023-10,56.443,SLB,Energy
2023-11,52.343,SLB,Energy
2023-12,50.424,SLB,Energy
2024-01,49.457,SLB,Energy
2024-02,47.681,SLB,Energy
2024-03,51.84,SLB,Energy
2024-04,51.184,SLB,Energy
2024-05,46.904,SLB,Energy
2024-06,44.676,SLB,Energy
2024-07,47.298,SLB,Energy
2024-08,44.053,SLB,Energy
2024-09,41.304,SLB,Energy
2024-10,43.652,SLB,Energy
