date,average,ticker,industry
1973-02,0.295,SONY,Communication Services
1973-03,0.264,SONY,Communication Services
1973-04,0.266,SONY,Communication Services
1973-05,0.258,SONY,Communication Services
1973-06,0.249,SONY,Communication Services
1973-07,0.261,SONY,Communication Services
1973-08,0.266,SONY,Communication Services
1973-09,0.267,SONY,Communication Services
1973-10,0.245,SONY,Communication Services
1973-11,0.191,SONY,Communication Services
1973-12,0.158,SONY,Communication Services
1974-01,0.144,SONY,Communication Services
1974-02,0.15,SONY,Communication Services
1974-03,0.164,SONY,Communication Services
1974-04,0.16,SONY,Communication Services
1974-05,0.154,SONY,Communication Services
1974-06,0.114,SONY,Communication Services
1974-07,0.1,SONY,Communication Services
1974-08,0.089,SONY,Communication Services
1974-09,0.087,SONY,Communication Services
1974-10,0.076,SONY,Communication Services
1974-11,0.075,SONY,Communication Services
1974-12,0.078,SONY,Communication Services
1975-01,0.082,SONY,Communication Services
1975-02,0.117,SONY,Communication Services
1975-03,0.143,SONY,Communication Services
1975-04,0.152,SONY,Communication Services
1975-05,0.163,SONY,Communication Services
1975-06,0.177,SONY,Communication Services
1975-07,0.178,SONY,Communication Services
1975-08,0.16,SONY,Communication Services
1975-09,0.136,SONY,Communication Services
1975-10,0.139,SONY,Communication Services
1975-11,0.152,SONY,Communication Services
1975-12,0.143,SONY,Communication Services
1976-01,0.151,SONY,Communication Services
1976-02,0.164,SONY,Communication Services
1976-03,0.173,SONY,Communication Services
1976-04,0.166,SONY,Communication Services
1976-05,0.178,SONY,Communication Services
1976-06,0.179,SONY,Communication Services
1976-07,0.18,SONY,Communication Services
1976-08,0.175,SONY,Communication Services
1976-09,0.171,SONY,Communication Services
1976-10,0.162,SONY,Communication Services
1976-11,0.148,SONY,Communication Services
1976-12,0.171,SONY,Communication Services
1977-01,0.162,SONY,Communication Services
1977-02,0.169,SONY,Communication Services
1977-03,0.186,SONY,Communication Services
1977-04,0.181,SONY,Communication Services
1977-05,0.172,SONY,Communication Services
1977-06,0.169,SONY,Communication Services
1977-07,0.163,SONY,Communication Services
1977-08,0.159,SONY,Communication Services
1977-09,0.159,SONY,Communication Services
1977-10,0.151,SONY,Communication Services
1977-11,0.144,SONY,Communication Services
1977-12,0.132,SONY,Communication Services
1978-01,0.138,SONY,Communication Services
1978-02,0.143,SONY,Communication Services
1978-03,0.14,SONY,Communication Services
1978-04,0.153,SONY,Communication Services
1978-05,0.147,SONY,Communication Services
1978-06,0.149,SONY,Communication Services
1978-07,0.152,SONY,Communication Services
1978-08,0.15,SONY,Communication Services
1978-09,0.147,SONY,Communication Services
1978-10,0.143,SONY,Communication Services
1978-11,0.144,SONY,Communication Services
1978-12,0.145,SONY,Communication Services
1979-01,0.163,SONY,Communication Services
1979-02,0.151,SONY,Communication Services
1979-03,0.159,SONY,Communication Services
1979-04,0.181,SONY,Communication Services
1979-05,0.178,SONY,Communication Services
1979-06,0.175,SONY,Communication Services
1979-07,0.164,SONY,Communication Services
1979-08,0.162,SONY,Communication Services
1979-09,0.158,SONY,Communication Services
1979-10,0.141,SONY,Communication Services
1979-11,0.13,SONY,Communication Services
1979-12,0.136,SONY,Communication Services
1980-01,0.138,SONY,Communication Services
1980-02,0.13,SONY,Communication Services
1980-03,0.124,SONY,Communication Services
1980-04,0.146,SONY,Communication Services
1980-05,0.166,SONY,Communication Services
1980-06,0.182,SONY,Communication Services
1980-07,0.188,SONY,Communication Services
1980-08,0.208,SONY,Communication Services
1980-09,0.262,SONY,Communication Services
1980-10,0.279,SONY,Communication Services
1980-11,0.291,SONY,Communication Services
1980-12,0.287,SONY,Communication Services
1981-01,0.291,SONY,Communication Services
1981-02,0.291,SONY,Communication Services
1981-03,0.333,SONY,Communication Services
1981-04,0.344,SONY,Communication Services
1981-05,0.41,SONY,Communication Services
1981-06,0.428,SONY,Communication Services
1981-07,0.384,SONY,Communication Services
1981-08,0.386,SONY,Communication Services
1981-09,0.33,SONY,Communication Services
1981-10,0.328,SONY,Communication Services
1981-11,0.344,SONY,Communication Services
1981-12,0.331,SONY,Communication Services
1982-01,0.314,SONY,Communication Services
1982-02,0.283,SONY,Communication Services
1982-03,0.246,SONY,Communication Services
1982-04,0.259,SONY,Communication Services
1982-05,0.286,SONY,Communication Services
1982-06,0.249,SONY,Communication Services
1982-07,0.235,SONY,Communication Services
1982-08,0.234,SONY,Communication Services
1982-09,0.239,SONY,Communication Services
1982-10,0.262,SONY,Communication Services
1982-11,0.297,SONY,Communication Services
1982-12,0.288,SONY,Communication Services
1983-01,0.272,SONY,Communication Services
1983-02,0.255,SONY,Communication Services
1983-03,0.273,SONY,Communication Services
1983-04,0.279,SONY,Communication Services
1983-05,0.295,SONY,Communication Services
1983-06,0.281,SONY,Communication Services
1983-07,0.265,SONY,Communication Services
1983-08,0.256,SONY,Communication Services
1983-09,0.282,SONY,Communication Services
1983-10,0.295,SONY,Communication Services
1983-11,0.279,SONY,Communication Services
1983-12,0.286,SONY,Communication Services
1984-01,0.3,SONY,Communication Services
1984-02,0.296,SONY,Communication Services
1984-03,0.31,SONY,Communication Services
1984-04,0.316,SONY,Communication Services
1984-05,0.291,SONY,Communication Services
1984-06,0.281,SONY,Communication Services
1984-07,0.273,SONY,Communication Services
1984-08,0.28,SONY,Communication Services
1984-09,0.296,SONY,Communication Services
1984-10,0.31,SONY,Communication Services
1984-11,0.303,SONY,Communication Services
1984-12,0.287,SONY,Communication Services
1985-01,0.301,SONY,Communication Services
1985-02,0.33,SONY,Communication Services
1985-03,0.357,SONY,Communication Services
1985-04,0.339,SONY,Communication Services
1985-05,0.328,SONY,Communication Services
1985-06,0.32,SONY,Communication Services
1985-07,0.316,SONY,Communication Services
1985-08,0.311,SONY,Communication Services
1985-09,0.301,SONY,Communication Services
1985-10,0.343,SONY,Communication Services
1985-11,0.373,SONY,Communication Services
1985-12,0.401,SONY,Communication Services
1986-01,0.403,SONY,Communication Services
1986-02,0.391,SONY,Communication Services
1986-03,0.406,SONY,Communication Services
1986-04,0.444,SONY,Communication Services
1986-05,0.442,SONY,Communication Services
1986-06,0.422,SONY,Communication Services
1986-07,0.388,SONY,Communication Services
1986-08,0.398,SONY,Communication Services
1986-09,0.423,SONY,Communication Services
1986-10,0.427,SONY,Communication Services
1986-11,0.438,SONY,Communication Services
1986-12,0.447,SONY,Communication Services
1987-01,0.429,SONY,Communication Services
1987-02,0.436,SONY,Communication Services
1987-03,0.438,SONY,Communication Services
1987-04,0.413,SONY,Communication Services
1987-05,0.432,SONY,Communication Services
1987-06,0.537,SONY,Communication Services
1987-07,0.591,SONY,Communication Services
1987-08,0.719,SONY,Communication Services
1987-09,0.746,SONY,Communication Services
1987-10,0.734,SONY,Communication Services
1987-11,0.7,SONY,Communication Services
1987-12,0.824,SONY,Communication Services
1988-01,0.818,SONY,Communication Services
1988-02,0.8,SONY,Communication Services
1988-03,0.887,SONY,Communication Services
1988-04,0.964,SONY,Communication Services
1988-05,0.948,SONY,Communication Services
1988-06,0.889,SONY,Communication Services
1988-07,0.949,SONY,Communication Services
1988-08,1.136,SONY,Communication Services
1988-09,1.107,SONY,Communication Services
1988-10,1.044,SONY,Communication Services
1988-11,1.097,SONY,Communication Services
1988-12,1.248,SONY,Communication Services
1989-01,1.273,SONY,Communication Services
1989-02,1.224,SONY,Communication Services
1989-03,1.171,SONY,Communication Services
1989-04,1.144,SONY,Communication Services
1989-05,1.166,SONY,Communication Services
1989-06,1.205,SONY,Communication Services
1989-07,1.259,SONY,Communication Services
1989-08,1.358,SONY,Communication Services
1989-09,1.316,SONY,Communication Services
1989-10,1.387,SONY,Communication Services
1989-11,1.298,SONY,Communication Services
1989-12,1.344,SONY,Communication Services
1990-01,1.33,SONY,Communication Services
1990-02,1.26,SONY,Communication Services
1990-03,1.165,SONY,Communication Services
1990-04,1.187,SONY,Communication Services
1990-05,1.266,SONY,Communication Services
1990-06,1.264,SONY,Communication Services
1990-07,1.336,SONY,Communication Services
1990-08,1.179,SONY,Communication Services
1990-09,1.089,SONY,Communication Services
1990-10,1.149,SONY,Communication Services
1990-11,1.047,SONY,Communication Services
1990-12,1.012,SONY,Communication Services
1991-01,1.022,SONY,Communication Services
1991-02,1.175,SONY,Communication Services
1991-03,1.128,SONY,Communication Services
1991-04,1.098,SONY,Communication Services
1991-05,1.024,SONY,Communication Services
1991-06,1.014,SONY,Communication Services
1991-07,1.045,SONY,Communication Services
1991-08,0.993,SONY,Communication Services
1991-09,1.27,SONY,Communication Services
1991-10,2.013,SONY,Communication Services
1991-11,1.869,SONY,Communication Services
1991-12,1.652,SONY,Communication Services
1992-01,1.705,SONY,Communication Services
1992-02,1.654,SONY,Communication Services
1992-03,1.546,SONY,Communication Services
1992-04,1.641,SONY,Communication Services
1992-05,1.726,SONY,Communication Services
1992-06,1.715,SONY,Communication Services
1992-07,1.687,SONY,Communication Services
1992-08,1.614,SONY,Communication Services
1992-09,1.766,SONY,Communication Services
1992-10,1.726,SONY,Communication Services
1992-11,1.644,SONY,Communication Services
1992-12,1.761,SONY,Communication Services
1993-01,1.734,SONY,Communication Services
1993-02,1.744,SONY,Communication Services
1993-03,1.854,SONY,Communication Services
1993-04,2.276,SONY,Communication Services
1993-05,2.306,SONY,Communication Services
1993-06,2.215,SONY,Communication Services
1993-07,2.227,SONY,Communication Services
1993-08,2.288,SONY,Communication Services
1993-09,2.333,SONY,Communication Services
1993-10,2.439,SONY,Communication Services
1993-11,2.476,SONY,Communication Services
1993-12,2.663,SONY,Communication Services
1994-01,2.921,SONY,Communication Services
1994-02,3.21,SONY,Communication Services
1994-03,3.253,SONY,Communication Services
1994-04,3.174,SONY,Communication Services
1994-05,3.139,SONY,Communication Services
1994-06,3.366,SONY,Communication Services
1994-07,3.35,SONY,Communication Services
1994-08,3.302,SONY,Communication Services
1994-09,3.314,SONY,Communication Services
1994-10,3.371,SONY,Communication Services
1994-11,3.197,SONY,Communication Services
1994-12,3.09,SONY,Communication Services
1995-01,2.99,SONY,Communication Services
1995-02,2.622,SONY,Communication Services
1995-03,2.666,SONY,Communication Services
1995-04,2.931,SONY,Communication Services
1995-05,2.893,SONY,Communication Services
1995-06,2.819,SONY,Communication Services
1995-07,3.115,SONY,Communication Services
1995-08,3.26,SONY,Communication Services
1995-09,3.091,SONY,Communication Services
1995-10,2.971,SONY,Communication Services
1995-11,2.919,SONY,Communication Services
1995-12,3.344,SONY,Communication Services
1996-01,3.646,SONY,Communication Services
1996-02,3.541,SONY,Communication Services
1996-03,3.496,SONY,Communication Services
1996-04,3.689,SONY,Communication Services
1996-05,3.843,SONY,Communication Services
1996-06,3.883,SONY,Communication Services
1996-07,3.824,SONY,Communication Services
1996-08,3.858,SONY,Communication Services
1996-09,3.796,SONY,Communication Services
1996-10,3.801,SONY,Communication Services
1996-11,3.81,SONY,Communication Services
1996-12,4.003,SONY,Communication Services
1997-01,3.989,SONY,Communication Services
1997-02,4.316,SONY,Communication Services
1997-03,4.371,SONY,Communication Services
1997-04,4.448,SONY,Communication Services
1997-05,5.049,SONY,Communication Services
1997-06,5.404,SONY,Communication Services
1997-07,5.682,SONY,Communication Services
1997-08,6.013,SONY,Communication Services
1997-09,5.729,SONY,Communication Services
1997-10,5.769,SONY,Communication Services
1997-11,5.13,SONY,Communication Services
1997-12,5.528,SONY,Communication Services
1998-01,5.771,SONY,Communication Services
1998-02,5.688,SONY,Communication Services
1998-03,5.436,SONY,Communication Services
1998-04,5.463,SONY,Communication Services
1998-05,5.31,SONY,Communication Services
1998-06,5.166,SONY,Communication Services
1998-07,5.721,SONY,Communication Services
1998-08,5.036,SONY,Communication Services
1998-09,4.651,SONY,Communication Services
1998-10,4.384,SONY,Communication Services
1998-11,4.526,SONY,Communication Services
1998-12,4.658,SONY,Communication Services
1999-01,4.448,SONY,Communication Services
1999-02,4.702,SONY,Communication Services
1999-03,5.829,SONY,Communication Services
1999-04,6.263,SONY,Communication Services
1999-05,5.928,SONY,Communication Services
1999-06,6.425,SONY,Communication Services
1999-07,7.605,SONY,Communication Services
1999-08,8.139,SONY,Communication Services
1999-09,9.214,SONY,Communication Services
1999-10,9.886,SONY,Communication Services
1999-11,11.248,SONY,Communication Services
1999-12,13.741,SONY,Communication Services
2000-01,15.479,SONY,Communication Services
2000-02,17.434,SONY,Communication Services
2000-03,16.79,SONY,Communication Services
2000-04,16.25,SONY,Communication Services
2000-05,13.429,SONY,Communication Services
2000-06,12.432,SONY,Communication Services
2000-07,12.837,SONY,Communication Services
2000-08,12.868,SONY,Communication Services
2000-09,14.139,SONY,Communication Services
2000-10,12.186,SONY,Communication Services
2000-11,10.354,SONY,Communication Services
2000-12,9.687,SONY,Communication Services
2001-01,9.692,SONY,Communication Services
2001-02,9.339,SONY,Communication Services
2001-03,9.155,SONY,Communication Services
2001-04,9.482,SONY,Communication Services
2001-05,10.603,SONY,Communication Services
2001-06,9.393,SONY,Communication Services
2001-07,7.47,SONY,Communication Services
2001-08,6.412,SONY,Communication Services
2001-09,5.06,SONY,Communication Services
2001-10,5.081,SONY,Communication Services
2001-11,5.797,SONY,Communication Services
2001-12,6.141,SONY,Communication Services
2002-01,6.13,SONY,Communication Services
2002-02,5.902,SONY,Communication Services
2002-03,7.022,SONY,Communication Services
2002-04,7.046,SONY,Communication Services
2002-05,7.499,SONY,Communication Services
2002-06,6.994,SONY,Communication Services
2002-07,6.471,SONY,Communication Services
2002-08,5.846,SONY,Communication Services
2002-09,5.627,SONY,Communication Services
2002-10,5.729,SONY,Communication Services
2002-11,5.815,SONY,Communication Services
2002-12,5.676,SONY,Communication Services
2003-01,5.653,SONY,Communication Services
2003-02,5.217,SONY,Communication Services
2003-03,4.961,SONY,Communication Services
2003-04,4.278,SONY,Communication Services
2003-05,3.469,SONY,Communication Services
2003-06,3.942,SONY,Communication Services
2003-07,4.373,SONY,Communication Services
2003-08,4.268,SONY,Communication Services
2003-09,4.931,SONY,Communication Services
2003-10,5.008,SONY,Communication Services
2003-11,4.876,SONY,Communication Services
2003-12,4.692,SONY,Communication Services
2004-01,5.359,SONY,Communication Services
2004-02,5.679,SONY,Communication Services
2004-03,5.612,SONY,Communication Services
2004-04,5.777,SONY,Communication Services
2004-05,5.007,SONY,Communication Services
2004-06,5.148,SONY,Communication Services
2004-07,5.048,SONY,Communication Services
2004-08,4.71,SONY,Communication Services
2004-09,4.832,SONY,Communication Services
2004-10,4.821,SONY,Communication Services
2004-11,4.99,SONY,Communication Services
2004-12,5.228,SONY,Communication Services
2005-01,5.286,SONY,Communication Services
2005-02,5.228,SONY,Communication Services
2005-03,5.603,SONY,Communication Services
2005-04,5.318,SONY,Communication Services
2005-05,5.227,SONY,Communication Services
2005-06,4.999,SONY,Communication Services
2005-07,4.834,SONY,Communication Services
2005-08,4.685,SONY,Communication Services
2005-09,4.902,SONY,Communication Services
2005-10,4.672,SONY,Communication Services
2005-11,4.925,SONY,Communication Services
2005-12,5.385,SONY,Communication Services
2006-01,6.28,SONY,Communication Services
2006-02,6.807,SONY,Communication Services
2006-03,6.552,SONY,Communication Services
2006-04,6.965,SONY,Communication Services
2006-05,6.744,SONY,Communication Services
2006-06,6.089,SONY,Communication Services
2006-07,6.08,SONY,Communication Services
2006-08,6.315,SONY,Communication Services
2006-09,5.965,SONY,Communication Services
2006-10,5.671,SONY,Communication Services
2006-11,5.713,SONY,Communication Services
2006-12,5.948,SONY,Communication Services
2007-01,6.582,SONY,Communication Services
2007-02,7.191,SONY,Communication Services
2007-03,7.335,SONY,Communication Services
