date,average,ticker,industry
1993-12,4.246,SPG,Real Estate
1994-01,4.425,SPG,Real Estate
1994-02,4.8,SPG,Real Estate
1994-03,5.089,SPG,Real Estate
1994-04,4.963,SPG,Real Estate
1994-05,5.27,SPG,Real Estate
1994-06,5.299,SPG,Real Estate
1994-07,5.213,SPG,Real Estate
1994-08,5.113,SPG,Real Estate
1994-09,5.042,SPG,Real Estate
1994-10,4.938,SPG,Real Estate
1994-11,4.651,SPG,Real Estate
1994-12,4.811,SPG,Real Estate
1995-01,4.88,SPG,Real Estate
1995-02,4.784,SPG,Real Estate
1995-03,5.074,SPG,Real Estate
1995-04,4.949,SPG,Real Estate
1995-05,5.077,SPG,Real Estate
1995-06,5.146,SPG,Real Estate
1995-07,5.25,SPG,Real Estate
1995-08,5.189,SPG,Real Estate
1995-09,5.374,SPG,Real Estate
1995-10,5.22,SPG,Real Estate
1995-11,5.077,SPG,Real Estate
1995-12,5.242,SPG,Real Estate
1996-01,5.156,SPG,Real Estate
1996-02,4.978,SPG,Real Estate
1996-03,5.198,SPG,Real Estate
1996-04,5.096,SPG,Real Estate
1996-05,5.318,SPG,Real Estate
1996-06,5.445,SPG,Real Estate
1996-07,5.401,SPG,Real Estate
1996-08,5.731,SPG,Real Estate
1996-09,5.919,SPG,Real Estate
1996-10,6.17,SPG,Real Estate
1996-11,6.47,SPG,Real Estate
1996-12,7.072,SPG,Real Estate
1997-01,7.115,SPG,Real Estate
1997-02,7.265,SPG,Real Estate
1997-03,7.6,SPG,Real Estate
1997-04,7.225,SPG,Real Estate
1997-05,7.217,SPG,Real Estate
1997-06,7.588,SPG,Real Estate
1997-07,7.736,SPG,Real Estate
1997-08,7.781,SPG,Real Estate
1997-09,8.196,SPG,Real Estate
1997-10,8.161,SPG,Real Estate
1997-11,7.994,SPG,Real Estate
1997-12,8.332,SPG,Real Estate
1998-01,8.323,SPG,Real Estate
1998-02,8.421,SPG,Real Estate
1998-03,8.31,SPG,Real Estate
1998-04,8.673,SPG,Real Estate
1998-05,8.609,SPG,Real Estate
1998-06,8.484,SPG,Real Estate
1998-07,8.601,SPG,Real Estate
1998-08,8.108,SPG,Real Estate
1998-09,7.736,SPG,Real Estate
1998-10,7.752,SPG,Real Estate
1998-11,8.071,SPG,Real Estate
1998-12,7.825,SPG,Real Estate
1999-01,7.63,SPG,Real Estate
1999-02,7.221,SPG,Real Estate
1999-03,7.064,SPG,Real Estate
1999-04,7.653,SPG,Real Estate
1999-05,8.251,SPG,Real Estate
1999-06,7.986,SPG,Real Estate
1999-07,7.634,SPG,Real Estate
1999-08,7.355,SPG,Real Estate
1999-09,7.039,SPG,Real Estate
1999-10,6.466,SPG,Real Estate
1999-11,6.812,SPG,Real Estate
1999-12,6.7,SPG,Real Estate
2000-01,7.166,SPG,Real Estate
2000-02,7.145,SPG,Real Estate
2000-03,6.974,SPG,Real Estate
2000-04,7.376,SPG,Real Estate
2000-05,7.872,SPG,Real Estate
2000-06,7.448,SPG,Real Estate
2000-07,7.75,SPG,Real Estate
2000-08,7.581,SPG,Real Estate
2000-09,7.334,SPG,Real Estate
2000-10,6.934,SPG,Real Estate
2000-11,7.131,SPG,Real Estate
2000-12,7.707,SPG,Real Estate
2001-01,8.171,SPG,Real Estate
2001-02,8.244,SPG,Real Estate
