date,average,ticker,industry
2010-06,1.591,TSLA,Consumer Discretionary
2010-07,1.304,TSLA,Consumer Discretionary
2010-08,1.301,TSLA,Consumer Discretionary
2010-09,1.383,TSLA,Consumer Discretionary
2010-10,1.381,TSLA,Consumer Discretionary
2010-11,1.936,TSLA,Consumer Discretionary
2010-12,2.019,TSLA,Consumer Discretionary
2011-01,1.71,TSLA,Consumer Discretionary
2011-02,1.556,TSLA,Consumer Discretionary
2011-03,1.581,TSLA,Consumer Discretionary
2011-04,1.744,TSLA,Consumer Discretionary
2011-05,1.841,TSLA,Consumer Discretionary
2011-06,1.859,TSLA,Consumer Discretionary
2011-07,1.894,TSLA,Consumer Discretionary
2011-08,1.655,TSLA,Consumer Discretionary
2011-09,1.641,TSLA,Consumer Discretionary
2011-10,1.833,TSLA,Consumer Discretionary
2011-11,2.139,TSLA,Consumer Discretionary
2011-12,1.999,TSLA,Consumer Discretionary
2012-01,1.833,TSLA,Consumer Discretionary
2012-02,2.184,TSLA,Consumer Discretionary
2012-03,2.349,TSLA,Consumer Discretionary
2012-04,2.233,TSLA,Consumer Discretionary
2012-05,2.052,TSLA,Consumer Discretionary
2012-06,2.042,TSLA,Consumer Discretionary
2012-07,2.069,TSLA,Consumer Discretionary
2012-08,1.936,TSLA,Consumer Discretionary
2012-09,1.954,TSLA,Consumer Discretionary
2012-10,1.89,TSLA,Consumer Discretionary
2012-11,2.116,TSLA,Consumer Discretionary
2012-12,2.278,TSLA,Consumer Discretionary
2013-01,2.346,TSLA,Consumer Discretionary
2013-02,2.491,TSLA,Consumer Discretionary
2013-03,2.47,TSLA,Consumer Discretionary
2013-04,3.082,TSLA,Consumer Discretionary
2013-05,5.427,TSLA,Consumer Discretionary
2013-06,6.699,TSLA,Consumer Discretionary
2013-07,8.21,TSLA,Consumer Discretionary
2013-08,10.027,TSLA,Consumer Discretionary
2013-09,11.598,TSLA,Consumer Discretionary
2013-10,11.646,TSLA,Consumer Discretionary
2013-11,9.15,TSLA,Consumer Discretionary
2013-12,9.654,TSLA,Consumer Discretionary
2014-01,10.937,TSLA,Consumer Discretionary
