date,average,ticker,industry
1991-10,2.73,TTE,Energy
1991-11,2.989,TTE,Energy
1991-12,2.917,TTE,Energy
1992-01,3.127,TTE,Energy
1992-02,2.983,TTE,Energy
1992-03,2.681,TTE,Energy
1992-04,2.857,TTE,Energy
1992-05,3.124,TTE,Energy
1992-06,2.983,TTE,Energy
1992-07,3.005,TTE,Energy
1992-08,2.889,TTE,Energy
1992-09,2.82,TTE,Energy
1992-10,2.872,TTE,Energy
1992-11,2.84,TTE,Energy
1992-12,2.738,TTE,Energy
1993-01,2.683,TTE,Energy
1993-02,2.784,TTE,Energy
1993-03,2.958,TTE,Energy
1993-04,3.154,TTE,Energy
1993-05,3.077,TTE,Energy
1993-06,3.13,TTE,Energy
1993-07,3.124,TTE,Energy
1993-08,3.4,TTE,Energy
1993-09,3.442,TTE,Energy
1993-10,3.636,TTE,Energy
1993-11,3.503,TTE,Energy
1993-12,3.501,TTE,Energy
1994-01,3.51,TTE,Energy
1994-02,3.729,TTE,Energy
1994-03,3.616,TTE,Energy
1994-04,3.676,TTE,Energy
1994-05,3.865,TTE,Energy
1994-06,3.698,TTE,Energy
1994-07,3.752,TTE,Energy
1994-08,3.877,TTE,Energy
1994-09,3.959,TTE,Energy
1994-10,4.052,TTE,Energy
1994-11,4.142,TTE,Energy
1994-12,3.933,TTE,Energy
1995-01,3.798,TTE,Energy
1995-02,3.683,TTE,Energy
1995-03,3.629,TTE,Energy
1995-04,4.131,TTE,Energy
1995-05,4.166,TTE,Energy
1995-06,4.048,TTE,Energy
1995-07,4.225,TTE,Energy
1995-08,4.141,TTE,Energy
1995-09,3.974,TTE,Energy
1995-10,4.011,TTE,Energy
1995-11,4.3,TTE,Energy
1995-12,4.292,TTE,Energy
1996-01,4.65,TTE,Energy
1996-02,4.538,TTE,Energy
1996-03,4.433,TTE,Energy
1996-04,4.626,TTE,Energy
1996-05,4.601,TTE,Energy
1996-06,4.988,TTE,Energy
1996-07,4.914,TTE,Energy
1996-08,4.971,TTE,Energy
1996-09,5.291,TTE,Energy
