date,average,ticker,industry
1972-06,0.734,TXN,Tech
1972-07,0.762,TXN,Tech
1972-08,0.791,TXN,Tech
1972-09,0.747,TXN,Tech
1972-10,0.76,TXN,Tech
1972-11,0.735,TXN,Tech
1972-12,0.763,TXN,Tech
1973-01,0.816,TXN,Tech
1973-02,0.804,TXN,Tech
1973-03,0.771,TXN,Tech
1973-04,0.726,TXN,Tech
1973-05,0.831,TXN,Tech
1973-06,0.825,TXN,Tech
1973-07,0.854,TXN,Tech
1973-08,0.933,TXN,Tech
1973-09,1.022,TXN,Tech
1973-10,1.16,TXN,Tech
1973-11,1.042,TXN,Tech
1973-12,0.902,TXN,Tech
1974-01,0.934,TXN,Tech
1974-02,0.902,TXN,Tech
1974-03,0.942,TXN,Tech
1974-04,0.87,TXN,Tech
1974-05,0.984,TXN,Tech
1974-06,0.862,TXN,Tech
1974-07,0.789,TXN,Tech
1974-08,0.701,TXN,Tech
1974-09,0.612,TXN,Tech
1974-10,0.579,TXN,Tech
1974-11,0.671,TXN,Tech
1974-12,0.606,TXN,Tech
1975-01,0.6,TXN,Tech
1975-02,0.721,TXN,Tech
1975-03,0.826,TXN,Tech
1975-04,0.904,TXN,Tech
1975-05,0.965,TXN,Tech
1975-06,0.977,TXN,Tech
1975-07,0.985,TXN,Tech
1975-08,0.847,TXN,Tech
1975-09,0.824,TXN,Tech
1975-10,0.909,TXN,Tech
1975-11,0.883,TXN,Tech
1975-12,0.851,TXN,Tech
1976-01,0.982,TXN,Tech
1976-02,1.097,TXN,Tech
1976-03,1.084,TXN,Tech
1976-04,1.119,TXN,Tech
1976-05,1.093,TXN,Tech
1976-06,1.102,TXN,Tech
1976-07,1.117,TXN,Tech
1976-08,1.039,TXN,Tech
1976-09,1.048,TXN,Tech
1976-10,0.987,TXN,Tech
1976-11,0.93,TXN,Tech
1976-12,0.933,TXN,Tech
1977-01,0.867,TXN,Tech
1977-02,0.771,TXN,Tech
1977-03,0.785,TXN,Tech
1977-04,0.767,TXN,Tech
1977-05,0.775,TXN,Tech
1977-06,0.827,TXN,Tech
1977-07,0.847,TXN,Tech
1977-08,0.831,TXN,Tech
1977-09,0.771,TXN,Tech
1977-10,0.732,TXN,Tech
1977-11,0.722,TXN,Tech
1977-12,0.676,TXN,Tech
1978-01,0.669,TXN,Tech
1978-02,0.632,TXN,Tech
1978-03,0.602,TXN,Tech
1978-04,0.667,TXN,Tech
1978-05,0.735,TXN,Tech
1978-06,0.765,TXN,Tech
1978-07,0.782,TXN,Tech
1978-08,0.845,TXN,Tech
1978-09,0.83,TXN,Tech
1978-10,0.811,TXN,Tech
1978-11,0.766,TXN,Tech
1978-12,0.768,TXN,Tech
1979-01,0.826,TXN,Tech
1979-02,0.777,TXN,Tech
1979-03,0.786,TXN,Tech
1979-04,0.816,TXN,Tech
1979-05,0.798,TXN,Tech
1979-06,0.866,TXN,Tech
1979-07,0.839,TXN,Tech
1979-08,0.916,TXN,Tech
1979-09,0.935,TXN,Tech
1979-10,0.912,TXN,Tech
1979-11,0.883,TXN,Tech
1979-12,0.875,TXN,Tech
1980-01,0.935,TXN,Tech
1980-02,0.998,TXN,Tech
1980-03,0.868,TXN,Tech
1980-04,0.829,TXN,Tech
1980-05,0.845,TXN,Tech
1980-06,0.925,TXN,Tech
1980-07,0.994,TXN,Tech
1980-08,1.176,TXN,Tech
1980-09,1.302,TXN,Tech
1980-10,1.343,TXN,Tech
1980-11,1.385,TXN,Tech
1980-12,1.26,TXN,Tech
1981-01,1.167,TXN,Tech
1981-02,1.132,TXN,Tech
1981-03,1.14,TXN,Tech
1981-04,1.189,TXN,Tech
1981-05,1.126,TXN,Tech
1981-06,1.04,TXN,Tech
