date,average,ticker,industry
1980-03,0.316,UL,Consumer Staples
1980-04,0.309,UL,Consumer Staples
1980-05,0.299,UL,Consumer Staples
1980-06,0.321,UL,Consumer Staples
1980-07,0.389,UL,Consumer Staples
1980-08,0.394,UL,Consumer Staples
1980-09,0.39,UL,Consumer Staples
1980-10,0.377,UL,Consumer Staples
1980-11,0.373,UL,Consumer Staples
1980-12,0.365,UL,Consumer Staples
1981-01,0.354,UL,Consumer Staples
1981-02,0.349,UL,Consumer Staples
1981-03,0.36,UL,Consumer Staples
1981-04,0.375,UL,Consumer Staples
1981-05,0.374,UL,Consumer Staples
1981-06,0.397,UL,Consumer Staples
1981-07,0.383,UL,Consumer Staples
1981-08,0.38,UL,Consumer Staples
1981-09,0.379,UL,Consumer Staples
1981-10,0.353,UL,Consumer Staples
1981-11,0.397,UL,Consumer Staples
1981-12,0.387,UL,Consumer Staples
1982-01,0.395,UL,Consumer Staples
1982-02,0.397,UL,Consumer Staples
1982-03,0.395,UL,Consumer Staples
1982-04,0.365,UL,Consumer Staples
1982-05,0.364,UL,Consumer Staples
1982-06,0.354,UL,Consumer Staples
1982-07,0.358,UL,Consumer Staples
1982-08,0.36,UL,Consumer Staples
1982-09,0.382,UL,Consumer Staples
1982-10,0.421,UL,Consumer Staples
1982-11,0.434,UL,Consumer Staples
1982-12,0.411,UL,Consumer Staples
1983-01,0.423,UL,Consumer Staples
1983-02,0.426,UL,Consumer Staples
1983-03,0.416,UL,Consumer Staples
1983-04,0.426,UL,Consumer Staples
1983-05,0.396,UL,Consumer Staples
1983-06,0.39,UL,Consumer Staples
1983-07,0.381,UL,Consumer Staples
1983-08,0.384,UL,Consumer Staples
1983-09,0.4,UL,Consumer Staples
1983-10,0.424,UL,Consumer Staples
1983-11,0.417,UL,Consumer Staples
1983-12,0.429,UL,Consumer Staples
1984-01,0.451,UL,Consumer Staples
1984-02,0.451,UL,Consumer Staples
1984-03,0.458,UL,Consumer Staples
1984-04,0.448,UL,Consumer Staples
1984-05,0.428,UL,Consumer Staples
1984-06,0.41,UL,Consumer Staples
1984-07,0.394,UL,Consumer Staples
1984-08,0.405,UL,Consumer Staples
1984-09,0.402,UL,Consumer Staples
1984-10,0.424,UL,Consumer Staples
1984-11,0.444,UL,Consumer Staples
1984-12,0.43,UL,Consumer Staples
1985-01,0.448,UL,Consumer Staples
1985-02,0.45,UL,Consumer Staples
1985-03,0.456,UL,Consumer Staples
1985-04,0.494,UL,Consumer Staples
1985-05,0.485,UL,Consumer Staples
1985-06,0.493,UL,Consumer Staples
1985-07,0.519,UL,Consumer Staples
1985-08,0.481,UL,Consumer Staples
1985-09,0.476,UL,Consumer Staples
1985-10,0.525,UL,Consumer Staples
1985-11,0.601,UL,Consumer Staples
1985-12,0.634,UL,Consumer Staples
1986-01,0.664,UL,Consumer Staples
1986-02,0.675,UL,Consumer Staples
1986-03,0.764,UL,Consumer Staples
1986-04,0.824,UL,Consumer Staples
1986-05,0.829,UL,Consumer Staples
1986-06,0.839,UL,Consumer Staples
1986-07,0.883,UL,Consumer Staples
1986-08,0.938,UL,Consumer Staples
1986-09,0.925,UL,Consumer Staples
1986-10,0.909,UL,Consumer Staples
1986-11,0.973,UL,Consumer Staples
1986-12,1.063,UL,Consumer Staples
1987-01,1.143,UL,Consumer Staples
1987-02,1.24,UL,Consumer Staples
1987-03,1.4,UL,Consumer Staples
1987-04,1.483,UL,Consumer Staples
1987-05,1.663,UL,Consumer Staples
1987-06,1.833,UL,Consumer Staples
1987-07,1.914,UL,Consumer Staples
1987-08,1.833,UL,Consumer Staples
1987-09,1.809,UL,Consumer Staples
