date,average,ticker,industry
1984-10,0.114,UNH,Health
1984-11,0.104,UNH,Health
1984-12,0.094,UNH,Health
1985-01,0.125,UNH,Health
1985-02,0.196,UNH,Health
1985-03,0.201,UNH,Health
1985-04,0.182,UNH,Health
1985-05,0.229,UNH,Health
1985-06,0.275,UNH,Health
1985-07,0.282,UNH,Health
1985-08,0.256,UNH,Health
1985-09,0.228,UNH,Health
1985-10,0.244,UNH,Health
1985-11,0.242,UNH,Health
1985-12,0.242,UNH,Health
1986-01,0.272,UNH,Health
1986-02,0.333,UNH,Health
1986-03,0.354,UNH,Health
1986-04,0.377,UNH,Health
1986-05,0.328,UNH,Health
1986-06,0.317,UNH,Health
1986-07,0.31,UNH,Health
1986-08,0.257,UNH,Health
1986-09,0.235,UNH,Health
1986-10,0.207,UNH,Health
1986-11,0.21,UNH,Health
1986-12,0.22,UNH,Health
1987-01,0.198,UNH,Health
1987-02,0.201,UNH,Health
1987-03,0.207,UNH,Health
1987-04,0.172,UNH,Health
1987-05,0.15,UNH,Health
1987-06,0.152,UNH,Health
1987-07,0.149,UNH,Health
1987-08,0.129,UNH,Health
1987-09,0.147,UNH,Health
1987-10,0.122,UNH,Health
1987-11,0.081,UNH,Health
1987-12,0.085,UNH,Health
1988-01,0.1,UNH,Health
1988-02,0.116,UNH,Health
1988-03,0.115,UNH,Health
1988-04,0.117,UNH,Health
1988-05,0.115,UNH,Health
1988-06,0.1,UNH,Health
1988-07,0.1,UNH,Health
1988-08,0.096,UNH,Health
1988-09,0.101,UNH,Health
1988-10,0.1,UNH,Health
1988-11,0.101,UNH,Health
1988-12,0.101,UNH,Health
1989-01,0.114,UNH,Health
1989-02,0.148,UNH,Health
1989-03,0.174,UNH,Health
1989-04,0.176,UNH,Health
1989-05,0.217,UNH,Health
1989-06,0.22,UNH,Health
1989-07,0.257,UNH,Health
1989-08,0.285,UNH,Health
1989-09,0.286,UNH,Health
1989-10,0.284,UNH,Health
1989-11,0.287,UNH,Health
1989-12,0.287,UNH,Health
1990-01,0.259,UNH,Health
1990-02,0.246,UNH,Health
1990-03,0.238,UNH,Health
1990-04,0.253,UNH,Health
1990-05,0.333,UNH,Health
1990-06,0.388,UNH,Health
1990-07,0.449,UNH,Health
1990-08,0.424,UNH,Health
1990-09,0.438,UNH,Health
1990-10,0.399,UNH,Health
1990-11,0.467,UNH,Health
1990-12,0.552,UNH,Health
1991-01,0.588,UNH,Health
1991-02,0.76,UNH,Health
1991-03,0.862,UNH,Health
1991-04,1.023,UNH,Health
1991-05,1.123,UNH,Health
1991-06,1.149,UNH,Health
1991-07,1.254,UNH,Health
1991-08,1.243,UNH,Health
1991-09,1.219,UNH,Health
1991-10,1.402,UNH,Health
1991-11,1.526,UNH,Health
1991-12,1.677,UNH,Health
1992-01,2.053,UNH,Health
1992-02,2.093,UNH,Health
1992-03,1.982,UNH,Health
1992-04,1.885,UNH,Health
1992-05,1.967,UNH,Health
1992-06,2.05,UNH,Health
1992-07,2.214,UNH,Health
1992-08,2.206,UNH,Health
1992-09,2.387,UNH,Health
