date,average,ticker,industry
2002-03,0.778,VALE,Materials
2002-04,0.805,VALE,Materials
2002-05,0.813,VALE,Materials
2002-06,0.814,VALE,Materials
2002-07,0.762,VALE,Materials
2002-08,0.729,VALE,Materials
2002-09,0.714,VALE,Materials
2002-10,0.687,VALE,Materials
2002-11,0.782,VALE,Materials
2002-12,0.849,VALE,Materials
2003-01,0.826,VALE,Materials
2003-02,0.848,VALE,Materials
2003-03,0.841,VALE,Materials
2003-04,0.838,VALE,Materials
2003-05,0.883,VALE,Materials
2003-06,0.916,VALE,Materials
2003-07,0.981,VALE,Materials
2003-08,1.099,VALE,Materials
2003-09,1.233,VALE,Materials
2003-10,1.417,VALE,Materials
2003-11,1.362,VALE,Materials
2003-12,1.683,VALE,Materials
2004-01,1.853,VALE,Materials
2004-02,1.815,VALE,Materials
2004-03,1.704,VALE,Materials
2004-04,1.639,VALE,Materials
2004-05,1.476,VALE,Materials
2004-06,1.515,VALE,Materials
2004-07,1.602,VALE,Materials
2004-08,1.748,VALE,Materials
2004-09,1.943,VALE,Materials
2004-10,2.104,VALE,Materials
2004-11,2.27,VALE,Materials
2004-12,2.553,VALE,Materials
2005-01,2.759,VALE,Materials
2005-02,3.066,VALE,Materials
2005-03,3.208,VALE,Materials
2005-04,2.878,VALE,Materials
2005-05,2.774,VALE,Materials
2005-06,2.884,VALE,Materials
2005-07,3.122,VALE,Materials
2005-08,3.379,VALE,Materials
2005-09,3.916,VALE,Materials
2005-10,3.974,VALE,Materials
2005-11,4.324,VALE,Materials
2005-12,4.23,VALE,Materials
2006-01,4.735,VALE,Materials
2006-02,4.821,VALE,Materials
2006-03,4.574,VALE,Materials
2006-04,5.05,VALE,Materials
2006-05,5.213,VALE,Materials
2006-06,4.498,VALE,Materials
2006-07,4.665,VALE,Materials
2006-08,4.551,VALE,Materials
2006-09,4.286,VALE,Materials
2006-10,4.877,VALE,Materials
2006-11,5.514,VALE,Materials
2006-12,6.051,VALE,Materials
