date,average,ticker,industry
1980-03,0.146,VNO,Real Estate
1980-04,0.151,VNO,Real Estate
1980-05,0.177,VNO,Real Estate
1980-06,0.174,VNO,Real Estate
1980-07,0.189,VNO,Real Estate
1980-08,0.193,VNO,Real Estate
1980-09,0.194,VNO,Real Estate
1980-10,0.178,VNO,Real Estate
1980-11,0.158,VNO,Real Estate
1980-12,0.144,VNO,Real Estate
1981-01,0.136,VNO,Real Estate
1981-02,0.128,VNO,Real Estate
1981-03,0.12,VNO,Real Estate
1981-04,0.143,VNO,Real Estate
1981-05,0.152,VNO,Real Estate
1981-06,0.147,VNO,Real Estate
1981-07,0.142,VNO,Real Estate
1981-08,0.13,VNO,Real Estate
1981-09,0.099,VNO,Real Estate
1981-10,0.103,VNO,Real Estate
1981-11,0.112,VNO,Real Estate
1981-12,0.109,VNO,Real Estate
1982-01,0.114,VNO,Real Estate
1982-02,0.122,VNO,Real Estate
1982-03,0.114,VNO,Real Estate
1982-04,0.126,VNO,Real Estate
1982-05,0.133,VNO,Real Estate
1982-06,0.125,VNO,Real Estate
1982-07,0.126,VNO,Real Estate
1982-08,0.126,VNO,Real Estate
1982-09,0.142,VNO,Real Estate
1982-10,0.147,VNO,Real Estate
1982-11,0.15,VNO,Real Estate
1982-12,0.158,VNO,Real Estate
1983-01,0.161,VNO,Real Estate
1983-02,0.178,VNO,Real Estate
1983-03,0.173,VNO,Real Estate
1983-04,0.18,VNO,Real Estate
1983-05,0.201,VNO,Real Estate
1983-06,0.222,VNO,Real Estate
1983-07,0.228,VNO,Real Estate
1983-08,0.24,VNO,Real Estate
1983-09,0.234,VNO,Real Estate
1983-10,0.215,VNO,Real Estate
1983-11,0.221,VNO,Real Estate
1983-12,0.238,VNO,Real Estate
1984-01,0.24,VNO,Real Estate
1984-02,0.234,VNO,Real Estate
1984-03,0.24,VNO,Real Estate
1984-04,0.244,VNO,Real Estate
1984-05,0.266,VNO,Real Estate
1984-06,0.261,VNO,Real Estate
1984-07,0.257,VNO,Real Estate
1984-08,0.276,VNO,Real Estate
1984-09,0.296,VNO,Real Estate
1984-10,0.321,VNO,Real Estate
1984-11,0.332,VNO,Real Estate
1984-12,0.318,VNO,Real Estate
1985-01,0.305,VNO,Real Estate
1985-02,0.328,VNO,Real Estate
1985-03,0.353,VNO,Real Estate
1985-04,0.352,VNO,Real Estate
1985-05,0.36,VNO,Real Estate
1985-06,0.378,VNO,Real Estate
1985-07,0.385,VNO,Real Estate
1985-08,0.386,VNO,Real Estate
1985-09,0.423,VNO,Real Estate
1985-10,0.501,VNO,Real Estate
1985-11,0.599,VNO,Real Estate
1985-12,0.632,VNO,Real Estate
1986-01,0.605,VNO,Real Estate
1986-02,0.676,VNO,Real Estate
1986-03,0.676,VNO,Real Estate
1986-04,0.655,VNO,Real Estate
1986-05,0.636,VNO,Real Estate
1986-06,0.657,VNO,Real Estate
1986-07,0.649,VNO,Real Estate
1986-08,0.67,VNO,Real Estate
1986-09,0.646,VNO,Real Estate
1986-10,0.677,VNO,Real Estate
1986-11,0.662,VNO,Real Estate
1986-12,0.642,VNO,Real Estate
1987-01,0.677,VNO,Real Estate
1987-02,0.71,VNO,Real Estate
1987-03,0.827,VNO,Real Estate
1987-04,0.831,VNO,Real Estate
1987-05,0.83,VNO,Real Estate
1987-06,0.833,VNO,Real Estate
1987-07,0.842,VNO,Real Estate
1987-08,0.854,VNO,Real Estate
1987-09,0.858,VNO,Real Estate
1987-10,0.784,VNO,Real Estate
1987-11,0.751,VNO,Real Estate
1987-12,0.756,VNO,Real Estate
1988-01,0.775,VNO,Real Estate
1988-02,0.807,VNO,Real Estate
1988-03,0.86,VNO,Real Estate
1988-04,0.858,VNO,Real Estate
1988-05,0.87,VNO,Real Estate
1988-06,0.882,VNO,Real Estate
1988-07,0.892,VNO,Real Estate
1988-08,0.89,VNO,Real Estate
1988-09,0.883,VNO,Real Estate
1988-10,0.897,VNO,Real Estate
1988-11,0.882,VNO,Real Estate
1988-12,1.011,VNO,Real Estate
1989-01,1.093,VNO,Real Estate
1989-02,1.116,VNO,Real Estate
1989-03,1.107,VNO,Real Estate
1989-04,1.096,VNO,Real Estate
1989-05,1.108,VNO,Real Estate
1989-06,1.103,VNO,Real Estate
1989-07,1.09,VNO,Real Estate
1989-08,1.099,VNO,Real Estate
1989-09,1.074,VNO,Real Estate
1989-10,1.062,VNO,Real Estate
1989-11,1.053,VNO,Real Estate
1989-12,1.045,VNO,Real Estate
1990-01,0.978,VNO,Real Estate
1990-02,0.937,VNO,Real Estate
1990-03,0.949,VNO,Real Estate
1990-04,0.951,VNO,Real Estate
1990-05,0.945,VNO,Real Estate
1990-06,0.925,VNO,Real Estate
1990-07,0.897,VNO,Real Estate
1990-08,0.879,VNO,Real Estate
1990-09,0.938,VNO,Real Estate
1990-10,0.918,VNO,Real Estate
1990-11,0.946,VNO,Real Estate
1990-12,0.971,VNO,Real Estate
1991-01,0.945,VNO,Real Estate
1991-02,0.968,VNO,Real Estate
1991-03,1.027,VNO,Real Estate
1991-04,1.146,VNO,Real Estate
1991-05,1.212,VNO,Real Estate
1991-06,1.291,VNO,Real Estate
1991-07,1.242,VNO,Real Estate
1991-08,1.276,VNO,Real Estate
1991-09,1.312,VNO,Real Estate
1991-10,1.252,VNO,Real Estate
1991-11,1.23,VNO,Real Estate
1991-12,1.242,VNO,Real Estate
1992-01,1.332,VNO,Real Estate
1992-02,1.548,VNO,Real Estate
1992-03,1.513,VNO,Real Estate
1992-04,1.534,VNO,Real Estate
1992-05,1.612,VNO,Real Estate
1992-06,1.558,VNO,Real Estate
1992-07,1.539,VNO,Real Estate
1992-08,1.651,VNO,Real Estate
1992-09,1.666,VNO,Real Estate
1992-10,1.719,VNO,Real Estate
1992-11,1.796,VNO,Real Estate
1992-12,1.899,VNO,Real Estate
1993-01,1.992,VNO,Real Estate
1993-02,2.304,VNO,Real Estate
1993-03,2.576,VNO,Real Estate
1993-04,3.019,VNO,Real Estate
1993-05,2.984,VNO,Real Estate
1993-06,3.008,VNO,Real Estate
1993-07,3.021,VNO,Real Estate
1993-08,3.112,VNO,Real Estate
1993-09,3.389,VNO,Real Estate
1993-10,3.387,VNO,Real Estate
1993-11,3.263,VNO,Real Estate
1993-12,3.072,VNO,Real Estate
1994-01,2.958,VNO,Real Estate
1994-02,2.972,VNO,Real Estate
1994-03,3.15,VNO,Real Estate
1994-04,2.925,VNO,Real Estate
1994-05,3.109,VNO,Real Estate
