date,average,ticker,industry
2008-03,13.8,V,Financial
2008-04,15.342,V,Financial
2008-05,18.484,V,Financial
2008-06,18.445,V,Financial
2008-07,16.62,V,Financial
2008-08,16.437,V,Financial
2008-09,15.071,V,Financial
2008-10,11.756,V,Financial
2008-11,11.718,V,Financial
2008-12,11.818,V,Financial
2009-01,11.072,V,Financial
2009-02,12.169,V,Financial
2009-03,11.979,V,Financial
2009-04,13.167,V,Financial
2009-05,14.8,V,Financial
2009-06,14.536,V,Financial
2009-07,14.292,V,Financial
2009-08,15.419,V,Financial
2009-09,16.158,V,Financial
2009-10,16.461,V,Financial
2009-11,17.985,V,Financial
2009-12,19.029,V,Financial
2010-01,19.212,V,Financial
2010-02,19.099,V,Financial
2010-03,20.265,V,Financial
2010-04,21.004,V,Financial
2010-05,17.81,V,Financial
2010-06,16.933,V,Financial
2010-07,16.78,V,Financial
2010-08,16.239,V,Financial
2010-09,15.897,V,Financial
2010-10,17.352,V,Financial
2010-11,17.419,V,Financial
2010-12,16.679,V,Financial
2011-01,16.112,V,Financial
2011-02,16.781,V,Financial
2011-03,16.503,V,Financial
2011-04,17.436,V,Financial
2011-05,18.036,V,Financial
2011-06,17.482,V,Financial
2011-07,20.085,V,Financial
2011-08,19.114,V,Financial
2011-09,20.177,V,Financial
2011-10,20.648,V,Financial
2011-11,21.11,V,Financial
2011-12,22.493,V,Financial
2012-01,23.054,V,Financial
2012-02,25.735,V,Financial
2012-03,26.853,V,Financial
2012-04,27.58,V,Financial
2012-05,26.985,V,Financial
2012-06,27.213,V,Financial
2012-07,28.778,V,Financial
2012-08,29.5,V,Financial
2012-09,30.423,V,Financial
2012-10,31.845,V,Financial
2012-11,33.202,V,Financial
2012-12,34.31,V,Financial
2013-01,36.484,V,Financial
2013-02,36.292,V,Financial
2013-03,37.118,V,Financial
2013-04,38.189,V,Financial
2013-05,41.327,V,Financial
2013-06,41.754,V,Financial
2013-07,43.619,V,Financial
2013-08,41.142,V,Financial
2013-09,43.451,V,Financial
2013-10,45.159,V,Financial
2013-11,46.298,V,Financial
2013-12,48.78,V,Financial
2014-01,51.581,V,Financial
2014-02,51.663,V,Financial
2014-03,51.499,V,Financial
2014-04,47.87,V,Financial
2014-05,48.839,V,Financial
2014-06,49.095,V,Financial
2014-07,50.569,V,Financial
2014-08,49.626,V,Financial
2014-09,49.97,V,Financial
2014-10,49.412,V,Financial
2014-11,58.601,V,Financial
2014-12,61.189,V,Financial
2015-01,60.008,V,Financial
2015-02,62.779,V,Financial
2015-03,62.675,V,Financial
2015-04,61.87,V,Financial
2015-05,64.183,V,Financial
2015-06,64.392,V,Financial
2015-07,66.685,V,Financial
2015-08,68.55,V,Financial
2015-09,65.726,V,Financial
2015-10,70.62,V,Financial
2015-11,74.253,V,Financial
2015-12,73.709,V,Financial
2016-01,68.624,V,Financial
2016-02,67.505,V,Financial
2016-03,69.068,V,Financial
2016-04,74.343,V,Financial
2016-05,73.567,V,Financial
2016-06,73.726,V,Financial
2016-07,73.196,V,Financial
2016-08,75.768,V,Financial
2016-09,77.901,V,Financial
2016-10,78.01,V,Financial
2016-11,76.261,V,Financial
2016-12,74.1,V,Financial
2017-01,77.702,V,Financial
2017-02,82.042,V,Financial
2017-03,84.685,V,Financial
2017-04,85.495,V,Financial
2017-05,88.39,V,Financial
2017-06,90.41,V,Financial
2017-07,92.472,V,Financial
2017-08,97.342,V,Financial
2017-09,99.789,V,Financial
2017-10,102.742,V,Financial
2017-11,106.306,V,Financial
2017-12,107.138,V,Financial
2018-01,115.84,V,Financial
2018-02,115.208,V,Financial
2018-03,116.283,V,Financial
2018-04,116.693,V,Financial
2018-05,124.518,V,Financial
2018-06,128.253,V,Financial
2018-07,132.28,V,Financial
2018-08,135.864,V,Financial
2018-09,141.28,V,Financial
2018-10,134.856,V,Financial
2018-11,133.758,V,Financial
2018-12,128.573,V,Financial
2019-01,131.116,V,Financial
2019-02,138.105,V,Financial
2019-03,146.573,V,Financial
2019-04,153.905,V,Financial
2019-05,156.124,V,Financial
2019-06,163.549,V,Financial
2019-07,173.046,V,Financial
2019-08,171.356,V,Financial
2019-09,171.078,V,Financial
2019-10,169.718,V,Financial
2019-11,174.17,V,Financial
2019-12,178.848,V,Financial
2020-01,192.397,V,Financial
2020-02,195.062,V,Financial
2020-03,161.696,V,Financial
2020-04,162.303,V,Financial
2020-05,179.986,V,Financial
2020-06,188.632,V,Financial
2020-07,189.26,V,Financial
2020-08,195.739,V,Financial
2020-09,197.059,V,Financial
2020-10,192.262,V,Financial
2020-11,200.015,V,Financial
2020-12,204.802,V,Financial
2021-01,200.402,V,Financial
2021-02,202.806,V,Financial
2021-03,210.634,V,Financial
2021-04,219.628,V,Financial
2021-05,221.885,V,Financial
2021-06,227.175,V,Financial
2021-07,237.668,V,Financial
2021-08,229.19,V,Financial
2021-09,220.236,V,Financial
2021-10,221.286,V,Financial
2021-11,202.63,V,Financial
2021-12,206.283,V,Financial
2022-01,210.157,V,Financial
2022-02,220.935,V,Financial
2022-03,206.076,V,Financial
2022-04,211.565,V,Financial
2022-05,199.402,V,Financial
2022-06,198.078,V,Financial
2022-07,204.464,V,Financial
2022-08,206.435,V,Financial
2022-09,189.099,V,Financial
2022-10,186.395,V,Financial
2022-11,203.474,V,Financial
2022-12,206.395,V,Financial
2023-01,218.647,V,Financial
2023-02,223.357,V,Financial
2023-03,217.913,V,Financial
2023-04,227.892,V,Financial
2023-05,226.444,V,Financial
2023-06,225.196,V,Financial
2023-07,237.165,V,Financial
2023-08,238.803,V,Financial
2023-09,238.865,V,Financial
2023-10,232.654,V,Financial
2023-11,246.585,V,Financial
2023-12,256.473,V,Financial
2024-01,265.356,V,Financial
2024-02,277.849,V,Financial
2024-03,281.717,V,Financial
2024-04,273.195,V,Financial
2024-05,274.195,V,Financial
2024-06,272.307,V,Financial
2024-07,264.433,V,Financial
2024-08,265.11,V,Financial
2024-09,281.902,V,Financial
2024-10,280.972,V,Financial
