date,average,ticker,industry
1980-03,0.41,WELL,Real Estate
1980-04,0.403,WELL,Real Estate
1980-05,0.466,WELL,Real Estate
1980-06,0.504,WELL,Real Estate
1980-07,0.526,WELL,Real Estate
1980-08,0.515,WELL,Real Estate
1980-09,0.489,WELL,Real Estate
1980-10,0.493,WELL,Real Estate
1980-11,0.49,WELL,Real Estate
1980-12,0.472,WELL,Real Estate
1981-01,0.484,WELL,Real Estate
1981-02,0.482,WELL,Real Estate
1981-03,0.483,WELL,Real Estate
1981-04,0.517,WELL,Real Estate
1981-05,0.5,WELL,Real Estate
1981-06,0.508,WELL,Real Estate
1981-07,0.519,WELL,Real Estate
1981-08,0.503,WELL,Real Estate
1981-09,0.475,WELL,Real Estate
1981-10,0.457,WELL,Real Estate
1981-11,0.478,WELL,Real Estate
1981-12,0.483,WELL,Real Estate
1982-01,0.488,WELL,Real Estate
1982-02,0.472,WELL,Real Estate
1982-03,0.476,WELL,Real Estate
1982-04,0.477,WELL,Real Estate
1982-05,0.484,WELL,Real Estate
1982-06,0.469,WELL,Real Estate
1982-07,0.477,WELL,Real Estate
1982-08,0.478,WELL,Real Estate
1982-09,0.511,WELL,Real Estate
1982-10,0.533,WELL,Real Estate
1982-11,0.556,WELL,Real Estate
1982-12,0.559,WELL,Real Estate
1983-01,0.58,WELL,Real Estate
1983-02,0.632,WELL,Real Estate
1983-03,0.652,WELL,Real Estate
1983-04,0.661,WELL,Real Estate
1983-05,0.707,WELL,Real Estate
1983-06,0.708,WELL,Real Estate
1983-07,0.679,WELL,Real Estate
1983-08,0.678,WELL,Real Estate
1983-09,0.678,WELL,Real Estate
1983-10,0.698,WELL,Real Estate
1983-11,0.684,WELL,Real Estate
1983-12,0.675,WELL,Real Estate
1984-01,0.688,WELL,Real Estate
1984-02,0.675,WELL,Real Estate
1984-03,0.664,WELL,Real Estate
1984-04,0.646,WELL,Real Estate
1984-05,0.643,WELL,Real Estate
1984-06,0.65,WELL,Real Estate
1984-07,0.671,WELL,Real Estate
1984-08,0.72,WELL,Real Estate
1984-09,0.782,WELL,Real Estate
1984-10,0.79,WELL,Real Estate
1984-11,0.796,WELL,Real Estate
1984-12,0.834,WELL,Real Estate
1985-01,0.85,WELL,Real Estate
1985-02,0.865,WELL,Real Estate
1985-03,0.878,WELL,Real Estate
1985-04,0.902,WELL,Real Estate
1985-05,0.897,WELL,Real Estate
1985-06,0.981,WELL,Real Estate
1985-07,1.03,WELL,Real Estate
1985-08,1.065,WELL,Real Estate
1985-09,1.037,WELL,Real Estate
1985-10,1.008,WELL,Real Estate
1985-11,0.937,WELL,Real Estate
1985-12,0.903,WELL,Real Estate
1986-01,0.913,WELL,Real Estate
1986-02,0.884,WELL,Real Estate
1986-03,1.029,WELL,Real Estate
1986-04,1.092,WELL,Real Estate
1986-05,1.077,WELL,Real Estate
1986-06,1.036,WELL,Real Estate
1986-07,1.096,WELL,Real Estate
1986-08,1.137,WELL,Real Estate
1986-09,1.127,WELL,Real Estate
1986-10,1.103,WELL,Real Estate
1986-11,1.054,WELL,Real Estate
1986-12,1.03,WELL,Real Estate
1987-01,1.081,WELL,Real Estate
1987-02,1.101,WELL,Real Estate
1987-03,1.121,WELL,Real Estate
1987-04,1.149,WELL,Real Estate
1987-05,1.136,WELL,Real Estate
1987-06,1.129,WELL,Real Estate
1987-07,1.191,WELL,Real Estate
1987-08,1.159,WELL,Real Estate
1987-09,1.124,WELL,Real Estate
1987-10,1.096,WELL,Real Estate
1987-11,1.107,WELL,Real Estate
1987-12,1.077,WELL,Real Estate
1988-01,1.146,WELL,Real Estate
1988-02,1.197,WELL,Real Estate
1988-03,1.262,WELL,Real Estate
1988-04,1.3,WELL,Real Estate
1988-05,1.291,WELL,Real Estate
1988-06,1.219,WELL,Real Estate
1988-07,1.245,WELL,Real Estate
1988-08,1.188,WELL,Real Estate
1988-09,1.171,WELL,Real Estate
1988-10,1.096,WELL,Real Estate
1988-11,0.921,WELL,Real Estate
1988-12,0.909,WELL,Real Estate
1989-01,0.943,WELL,Real Estate
1989-02,0.971,WELL,Real Estate
1989-03,1.063,WELL,Real Estate
1989-04,1.094,WELL,Real Estate
1989-05,1.145,WELL,Real Estate
1989-06,1.21,WELL,Real Estate
1989-07,1.258,WELL,Real Estate
1989-08,1.252,WELL,Real Estate
1989-09,1.254,WELL,Real Estate
1989-10,1.25,WELL,Real Estate
1989-11,1.248,WELL,Real Estate
1989-12,1.281,WELL,Real Estate
1990-01,1.323,WELL,Real Estate
1990-02,1.303,WELL,Real Estate
1990-03,1.29,WELL,Real Estate
1990-04,1.258,WELL,Real Estate
1990-05,1.23,WELL,Real Estate
1990-06,1.23,WELL,Real Estate
1990-07,1.254,WELL,Real Estate
1990-08,1.191,WELL,Real Estate
1990-09,1.186,WELL,Real Estate
1990-10,1.187,WELL,Real Estate
1990-11,1.246,WELL,Real Estate
1990-12,1.333,WELL,Real Estate
1991-01,1.365,WELL,Real Estate
1991-02,1.515,WELL,Real Estate
1991-03,1.542,WELL,Real Estate
1991-04,1.746,WELL,Real Estate
1991-05,1.775,WELL,Real Estate
1991-06,1.761,WELL,Real Estate
1991-07,1.804,WELL,Real Estate
1991-08,1.833,WELL,Real Estate
1991-09,1.871,WELL,Real Estate
1991-10,1.877,WELL,Real Estate
1991-11,1.953,WELL,Real Estate
1991-12,2.009,WELL,Real Estate
1992-01,2.384,WELL,Real Estate
1992-02,2.416,WELL,Real Estate
1992-03,2.349,WELL,Real Estate
1992-04,2.25,WELL,Real Estate
1992-05,2.291,WELL,Real Estate
1992-06,2.312,WELL,Real Estate
1992-07,2.426,WELL,Real Estate
1992-08,2.388,WELL,Real Estate
1992-09,2.32,WELL,Real Estate
1992-10,2.346,WELL,Real Estate
1992-11,2.517,WELL,Real Estate
1992-12,2.605,WELL,Real Estate
1993-01,2.654,WELL,Real Estate
1993-02,2.821,WELL,Real Estate
1993-03,2.924,WELL,Real Estate
1993-04,2.972,WELL,Real Estate
1993-05,3.099,WELL,Real Estate
1993-06,2.974,WELL,Real Estate
1993-07,3.027,WELL,Real Estate
1993-08,3.106,WELL,Real Estate
1993-09,3.238,WELL,Real Estate
1993-10,3.279,WELL,Real Estate
1993-11,3.196,WELL,Real Estate
1993-12,3.047,WELL,Real Estate
1994-01,3.183,WELL,Real Estate
1994-02,3.285,WELL,Real Estate
1994-03,3.363,WELL,Real Estate
1994-04,3.332,WELL,Real Estate
1994-05,3.328,WELL,Real Estate
