date,average,ticker,industry
1972-08,0.011,WMT,Consumer Staples
1972-09,0.011,WMT,Consumer Staples
1972-10,0.011,WMT,Consumer Staples
1972-11,0.012,WMT,Consumer Staples
1972-12,0.012,WMT,Consumer Staples
1973-01,0.012,WMT,Consumer Staples
1973-02,0.011,WMT,Consumer Staples
1973-03,0.009,WMT,Consumer Staples
1973-04,0.008,WMT,Consumer Staples
1973-05,0.008,WMT,Consumer Staples
1973-06,0.006,WMT,Consumer Staples
1973-07,0.007,WMT,Consumer Staples
1973-08,0.007,WMT,Consumer Staples
1973-09,0.008,WMT,Consumer Staples
1973-10,0.008,WMT,Consumer Staples
1973-11,0.007,WMT,Consumer Staples
1973-12,0.005,WMT,Consumer Staples
1974-01,0.006,WMT,Consumer Staples
1974-02,0.006,WMT,Consumer Staples
1974-03,0.006,WMT,Consumer Staples
1974-04,0.006,WMT,Consumer Staples
1974-05,0.006,WMT,Consumer Staples
1974-06,0.007,WMT,Consumer Staples
1974-07,0.007,WMT,Consumer Staples
1974-08,0.006,WMT,Consumer Staples
1974-09,0.005,WMT,Consumer Staples
1974-10,0.004,WMT,Consumer Staples
1974-11,0.004,WMT,Consumer Staples
1974-12,0.003,WMT,Consumer Staples
1975-01,0.005,WMT,Consumer Staples
1975-02,0.005,WMT,Consumer Staples
1975-03,0.007,WMT,Consumer Staples
1975-04,0.007,WMT,Consumer Staples
1975-05,0.007,WMT,Consumer Staples
1975-06,0.008,WMT,Consumer Staples
1975-07,0.009,WMT,Consumer Staples
1975-08,0.008,WMT,Consumer Staples
1975-09,0.009,WMT,Consumer Staples
1975-10,0.01,WMT,Consumer Staples
1975-11,0.011,WMT,Consumer Staples
1975-12,0.01,WMT,Consumer Staples
1976-01,0.01,WMT,Consumer Staples
1976-02,0.01,WMT,Consumer Staples
1976-03,0.011,WMT,Consumer Staples
1976-04,0.011,WMT,Consumer Staples
1976-05,0.01,WMT,Consumer Staples
1976-06,0.01,WMT,Consumer Staples
1976-07,0.009,WMT,Consumer Staples
1976-08,0.01,WMT,Consumer Staples
1976-09,0.011,WMT,Consumer Staples
1976-10,0.011,WMT,Consumer Staples
1976-11,0.011,WMT,Consumer Staples
1976-12,0.011,WMT,Consumer Staples
1977-01,0.01,WMT,Consumer Staples
1977-02,0.01,WMT,Consumer Staples
1977-03,0.01,WMT,Consumer Staples
1977-04,0.009,WMT,Consumer Staples
1977-05,0.009,WMT,Consumer Staples
1977-06,0.01,WMT,Consumer Staples
1977-07,0.011,WMT,Consumer Staples
1977-08,0.011,WMT,Consumer Staples
1977-09,0.011,WMT,Consumer Staples
1977-10,0.012,WMT,Consumer Staples
1977-11,0.013,WMT,Consumer Staples
1977-12,0.015,WMT,Consumer Staples
1978-01,0.013,WMT,Consumer Staples
1978-02,0.014,WMT,Consumer Staples
1978-03,0.014,WMT,Consumer Staples
1978-04,0.015,WMT,Consumer Staples
1978-05,0.017,WMT,Consumer Staples
1978-06,0.017,WMT,Consumer Staples
1978-07,0.017,WMT,Consumer Staples
1978-08,0.019,WMT,Consumer Staples
1978-09,0.02,WMT,Consumer Staples
1978-10,0.019,WMT,Consumer Staples
1978-11,0.016,WMT,Consumer Staples
1978-12,0.017,WMT,Consumer Staples
1979-01,0.018,WMT,Consumer Staples
1979-02,0.017,WMT,Consumer Staples
1979-03,0.018,WMT,Consumer Staples
1979-04,0.019,WMT,Consumer Staples
1979-05,0.019,WMT,Consumer Staples
1979-06,0.019,WMT,Consumer Staples
1979-07,0.019,WMT,Consumer Staples
1979-08,0.022,WMT,Consumer Staples
1979-09,0.024,WMT,Consumer Staples
1979-10,0.022,WMT,Consumer Staples
1979-11,0.023,WMT,Consumer Staples
1979-12,0.026,WMT,Consumer Staples
1980-01,0.025,WMT,Consumer Staples
1980-02,0.025,WMT,Consumer Staples
1980-03,0.022,WMT,Consumer Staples
1980-04,0.023,WMT,Consumer Staples
1980-05,0.025,WMT,Consumer Staples
1980-06,0.028,WMT,Consumer Staples
1980-07,0.031,WMT,Consumer Staples
1980-08,0.035,WMT,Consumer Staples
1980-09,0.038,WMT,Consumer Staples
1980-10,0.039,WMT,Consumer Staples
1980-11,0.04,WMT,Consumer Staples
1980-12,0.041,WMT,Consumer Staples
1981-01,0.048,WMT,Consumer Staples
1981-02,0.047,WMT,Consumer Staples
1981-03,0.051,WMT,Consumer Staples
1981-04,0.056,WMT,Consumer Staples
1981-05,0.057,WMT,Consumer Staples
1981-06,0.057,WMT,Consumer Staples
1981-07,0.054,WMT,Consumer Staples
1981-08,0.057,WMT,Consumer Staples
1981-09,0.053,WMT,Consumer Staples
1981-10,0.06,WMT,Consumer Staples
1981-11,0.065,WMT,Consumer Staples
1981-12,0.065,WMT,Consumer Staples
1982-01,0.061,WMT,Consumer Staples
1982-02,0.065,WMT,Consumer Staples
1982-03,0.064,WMT,Consumer Staples
1982-04,0.075,WMT,Consumer Staples
1982-05,0.077,WMT,Consumer Staples
1982-06,0.077,WMT,Consumer Staples
1982-07,0.082,WMT,Consumer Staples
1982-08,0.086,WMT,Consumer Staples
1982-09,0.105,WMT,Consumer Staples
1982-10,0.119,WMT,Consumer Staples
1982-11,0.134,WMT,Consumer Staples
1982-12,0.153,WMT,Consumer Staples
1983-01,0.142,WMT,Consumer Staples
1983-02,0.147,WMT,Consumer Staples
1983-03,0.168,WMT,Consumer Staples
1983-04,0.185,WMT,Consumer Staples
1983-05,0.212,WMT,Consumer Staples
1983-06,0.242,WMT,Consumer Staples
1983-07,0.261,WMT,Consumer Staples
1983-08,0.25,WMT,Consumer Staples
1983-09,0.242,WMT,Consumer Staples
1983-10,0.257,WMT,Consumer Staples
1983-11,0.26,WMT,Consumer Staples
1983-12,0.242,WMT,Consumer Staples
1984-01,0.227,WMT,Consumer Staples
1984-02,0.2,WMT,Consumer Staples
1984-03,0.209,WMT,Consumer Staples
1984-04,0.209,WMT,Consumer Staples
1984-05,0.22,WMT,Consumer Staples
1984-06,0.241,WMT,Consumer Staples
1984-07,0.252,WMT,Consumer Staples
1984-08,0.269,WMT,Consumer Staples
1984-09,0.273,WMT,Consumer Staples
1984-10,0.26,WMT,Consumer Staples
1984-11,0.256,WMT,Consumer Staples
1984-12,0.245,WMT,Consumer Staples
1985-01,0.263,WMT,Consumer Staples
1985-02,0.284,WMT,Consumer Staples
1985-03,0.279,WMT,Consumer Staples
1985-04,0.288,WMT,Consumer Staples
1985-05,0.307,WMT,Consumer Staples
1985-06,0.336,WMT,Consumer Staples
1985-07,0.317,WMT,Consumer Staples
1985-08,0.313,WMT,Consumer Staples
1985-09,0.31,WMT,Consumer Staples
1985-10,0.327,WMT,Consumer Staples
1985-11,0.352,WMT,Consumer Staples
1985-12,0.391,WMT,Consumer Staples
1986-01,0.383,WMT,Consumer Staples
1986-02,0.401,WMT,Consumer Staples
1986-03,0.473,WMT,Consumer Staples
1986-04,0.506,WMT,Consumer Staples
1986-05,0.541,WMT,Consumer Staples
1986-06,0.616,WMT,Consumer Staples
1986-07,0.602,WMT,Consumer Staples
1986-08,0.575,WMT,Consumer Staples
1986-09,0.537,WMT,Consumer Staples
1986-10,0.552,WMT,Consumer Staples
1986-11,0.572,WMT,Consumer Staples
1986-12,0.592,WMT,Consumer Staples
1987-01,0.609,WMT,Consumer Staples
1987-02,0.659,WMT,Consumer Staples
1987-03,0.725,WMT,Consumer Staples
1987-04,0.712,WMT,Consumer Staples
1987-05,0.705,WMT,Consumer Staples
1987-06,0.81,WMT,Consumer Staples
1987-07,0.894,WMT,Consumer Staples
1987-08,1.016,WMT,Consumer Staples
1987-09,0.954,WMT,Consumer Staples
1987-10,0.793,WMT,Consumer Staples
1987-11,0.683,WMT,Consumer Staples
1987-12,0.615,WMT,Consumer Staples
1988-01,0.673,WMT,Consumer Staples
1988-02,0.681,WMT,Consumer Staples
1988-03,0.741,WMT,Consumer Staples
1988-04,0.713,WMT,Consumer Staples
1988-05,0.681,WMT,Consumer Staples
1988-06,0.74,WMT,Consumer Staples
1988-07,0.81,WMT,Consumer Staples
1988-08,0.784,WMT,Consumer Staples
1988-09,0.797,WMT,Consumer Staples
1988-10,0.819,WMT,Consumer Staples
1988-11,0.764,WMT,Consumer Staples
1988-12,0.782,WMT,Consumer Staples
1989-01,0.803,WMT,Consumer Staples
1989-02,0.846,WMT,Consumer Staples
1989-03,0.825,WMT,Consumer Staples
1989-04,0.879,WMT,Consumer Staples
1989-05,0.936,WMT,Consumer Staples
1989-06,0.998,WMT,Consumer Staples
1989-07,1.029,WMT,Consumer Staples
1989-08,1.054,WMT,Consumer Staples
1989-09,1.023,WMT,Consumer Staples
