date,average,ticker,industry
1962-01,0.094,XOM,Energy
1962-02,0.102,XOM,Energy
1962-03,0.102,XOM,Energy
1962-04,0.101,XOM,Energy
1962-05,0.1,XOM,Energy
1962-06,0.094,XOM,Energy
1962-07,0.097,XOM,Energy
1962-08,0.099,XOM,Energy
1962-09,0.1,XOM,Energy
1962-10,0.099,XOM,Energy
1962-11,0.106,XOM,Energy
1962-12,0.113,XOM,Energy
1963-01,0.115,XOM,Energy
1963-02,0.117,XOM,Energy
1963-03,0.122,XOM,Energy
1963-04,0.129,XOM,Energy
1963-05,0.131,XOM,Energy
1963-06,0.134,XOM,Energy
1963-07,0.137,XOM,Energy
1963-08,0.141,XOM,Energy
1963-09,0.142,XOM,Energy
1963-10,0.141,XOM,Energy
1963-11,0.14,XOM,Energy
1963-12,0.149,XOM,Energy
1964-01,0.157,XOM,Energy
1964-02,0.166,XOM,Energy
1964-03,0.169,XOM,Energy
1964-04,0.175,XOM,Energy
1964-05,0.18,XOM,Energy
1964-06,0.176,XOM,Energy
1964-07,0.182,XOM,Energy
1964-08,0.177,XOM,Energy
1964-09,0.178,XOM,Energy
1964-10,0.182,XOM,Energy
1964-11,0.188,XOM,Energy
1964-12,0.185,XOM,Energy
1965-01,0.187,XOM,Energy
1965-02,0.175,XOM,Energy
1965-03,0.167,XOM,Energy
1965-04,0.166,XOM,Energy
1965-05,0.167,XOM,Energy
1965-06,0.165,XOM,Energy
1965-07,0.164,XOM,Energy
1965-08,0.162,XOM,Energy
1965-09,0.166,XOM,Energy
1965-10,0.171,XOM,Energy
1965-11,0.179,XOM,Energy
1965-12,0.175,XOM,Energy
1966-01,0.179,XOM,Energy
1966-02,0.173,XOM,Energy
1966-03,0.165,XOM,Energy
1966-04,0.17,XOM,Energy
1966-05,0.163,XOM,Energy
1966-06,0.155,XOM,Energy
1966-07,0.156,XOM,Energy
1966-08,0.147,XOM,Energy
1966-09,0.144,XOM,Energy
1966-10,0.149,XOM,Energy
1966-11,0.153,XOM,Energy
1966-12,0.145,XOM,Energy
1967-01,0.146,XOM,Energy
1967-02,0.143,XOM,Energy
1967-03,0.143,XOM,Energy
1967-04,0.143,XOM,Energy
1967-05,0.146,XOM,Energy
1967-06,0.143,XOM,Energy
1967-07,0.144,XOM,Energy
1967-08,0.147,XOM,Energy
1967-09,0.152,XOM,Energy
1967-10,0.154,XOM,Energy
1967-11,0.153,XOM,Energy
1967-12,0.153,XOM,Energy
1968-01,0.162,XOM,Energy
1968-02,0.162,XOM,Energy
1968-03,0.162,XOM,Energy
1968-04,0.167,XOM,Energy
1968-05,0.166,XOM,Energy
1968-06,0.162,XOM,Energy
1968-07,0.179,XOM,Energy
1968-08,0.187,XOM,Energy
1968-09,0.188,XOM,Energy
1968-10,0.192,XOM,Energy
1968-11,0.201,XOM,Energy
1968-12,0.201,XOM,Energy
1969-01,0.191,XOM,Energy
1969-02,0.198,XOM,Energy
1969-03,0.196,XOM,Energy
1969-04,0.202,XOM,Energy
1969-05,0.209,XOM,Energy
1969-06,0.202,XOM,Energy
1969-07,0.183,XOM,Energy
1969-08,0.181,XOM,Energy
1969-09,0.179,XOM,Energy
1969-10,0.174,XOM,Energy
1969-11,0.166,XOM,Energy
1969-12,0.16,XOM,Energy
1970-01,0.158,XOM,Energy
1970-02,0.14,XOM,Energy
1970-03,0.142,XOM,Energy
1970-04,0.143,XOM,Energy
1970-05,0.139,XOM,Energy
1970-06,0.146,XOM,Energy
1970-07,0.152,XOM,Energy
1970-08,0.17,XOM,Energy
1970-09,0.174,XOM,Energy
1970-10,0.183,XOM,Energy
1970-11,0.187,XOM,Energy
1970-12,0.194,XOM,Energy
1971-01,0.189,XOM,Energy
1971-02,0.199,XOM,Energy
1971-03,0.212,XOM,Energy
1971-04,0.221,XOM,Energy
1971-05,0.215,XOM,Energy
1971-06,0.212,XOM,Energy
1971-07,0.216,XOM,Energy
1971-08,0.204,XOM,Energy
1971-09,0.2,XOM,Energy
1971-10,0.2,XOM,Energy
1971-11,0.197,XOM,Energy
1971-12,0.206,XOM,Energy
1972-01,0.215,XOM,Energy
1972-02,0.22,XOM,Energy
1972-03,0.212,XOM,Energy
1972-04,0.204,XOM,Energy
1972-05,0.211,XOM,Energy
1972-06,0.215,XOM,Energy
1972-07,0.22,XOM,Energy
1972-08,0.231,XOM,Energy
1972-09,0.237,XOM,Energy
1972-10,0.246,XOM,Energy
1972-11,0.26,XOM,Energy
1972-12,0.261,XOM,Energy
1973-01,0.274,XOM,Energy
1973-02,0.274,XOM,Energy
1973-03,0.276,XOM,Energy
1973-04,0.297,XOM,Energy
1973-05,0.291,XOM,Energy
1973-06,0.293,XOM,Energy
1973-07,0.291,XOM,Energy
