date,average,industry
1973-02,0.295,Communication_Services
1973-03,0.264,Communication_Services
1973-04,0.266,Communication_Services
1973-05,0.258,Communication_Services
1973-06,0.249,Communication_Services
1973-07,0.261,Communication_Services
1973-08,0.266,Communication_Services
1973-09,0.267,Communication_Services
1973-10,0.245,Communication_Services
1973-11,0.191,Communication_Services
1973-12,0.158,Communication_Services
1974-01,0.144,Communication_Services
1974-02,0.15,Communication_Services
1974-03,0.164,Communication_Services
1974-04,0.16,Communication_Services
1974-05,0.154,Communication_Services
1974-06,0.114,Communication_Services
1974-07,0.1,Communication_Services
1974-08,0.089,Communication_Services
1974-09,0.087,Communication_Services
1974-10,0.076,Communication_Services
1974-11,0.075,Communication_Services
1974-12,0.078,Communication_Services
1975-01,0.082,Communication_Services
1975-02,0.117,Communication_Services
1975-03,0.143,Communication_Services
1975-04,0.152,Communication_Services
1975-05,0.163,Communication_Services
1975-06,0.177,Communication_Services
1975-07,0.178,Communication_Services
1975-08,0.16,Communication_Services
1975-09,0.136,Communication_Services
1975-10,0.139,Communication_Services
1975-11,0.152,Communication_Services
1975-12,0.143,Communication_Services
1976-01,0.151,Communication_Services
1976-02,0.164,Communication_Services
1976-03,0.173,Communication_Services
1976-04,0.166,Communication_Services
1976-05,0.178,Communication_Services
1976-06,0.179,Communication_Services
1976-07,0.18,Communication_Services
1976-08,0.175,Communication_Services
1976-09,0.171,Communication_Services
1976-10,0.162,Communication_Services
1976-11,0.148,Communication_Services
1976-12,0.171,Communication_Services
1977-01,0.162,Communication_Services
1977-02,0.169,Communication_Services
1977-03,0.186,Communication_Services
1977-04,0.181,Communication_Services
1977-05,0.172,Communication_Services
1977-06,0.169,Communication_Services
1977-07,0.163,Communication_Services
1977-08,0.159,Communication_Services
1977-09,0.159,Communication_Services
1977-10,0.151,Communication_Services
1977-11,0.144,Communication_Services
1977-12,0.132,Communication_Services
1978-01,0.138,Communication_Services
1978-02,0.143,Communication_Services
1978-03,0.14,Communication_Services
1978-04,0.153,Communication_Services
1978-05,0.147,Communication_Services
1978-06,0.149,Communication_Services
1978-07,0.152,Communication_Services
1978-08,0.15,Communication_Services
1978-09,0.147,Communication_Services
1978-10,0.143,Communication_Services
1978-11,0.144,Communication_Services
1978-12,0.145,Communication_Services
1979-01,0.163,Communication_Services
