date,average,industry
1962-01,0.059,Consumer_Discretionary
1962-02,0.06,Consumer_Discretionary
1962-03,0.059,Consumer_Discretionary
1962-04,0.057,Consumer_Discretionary
1962-05,0.051,Consumer_Discretionary
1962-06,0.045,Consumer_Discretionary
1962-07,0.044,Consumer_Discretionary
1962-08,0.047,Consumer_Discretionary
1962-09,0.045,Consumer_Discretionary
1962-10,0.039,Consumer_Discretionary
1962-11,0.045,Consumer_Discretionary
1962-12,0.046,Consumer_Discretionary
1963-01,0.052,Consumer_Discretionary
1963-02,0.053,Consumer_Discretionary
1963-03,0.055,Consumer_Discretionary
1963-04,0.055,Consumer_Discretionary
1963-05,0.058,Consumer_Discretionary
1963-06,0.06,Consumer_Discretionary
1963-07,0.063,Consumer_Discretionary
1963-08,0.07,Consumer_Discretionary
1963-09,0.071,Consumer_Discretionary
1963-10,0.072,Consumer_Discretionary
1963-11,0.069,Consumer_Discretionary
1963-12,0.065,Consumer_Discretionary
1964-01,0.065,Consumer_Discretionary
1964-02,0.067,Consumer_Discretionary
1964-03,0.07,Consumer_Discretionary
1964-04,0.076,Consumer_Discretionary
1964-05,0.074,Consumer_Discretionary
1964-06,0.067,Consumer_Discretionary
1964-07,0.07,Consumer_Discretionary
1964-08,0.066,Consumer_Discretionary
1964-09,0.075,Consumer_Discretionary
1964-10,0.079,Consumer_Discretionary
1964-11,0.078,Consumer_Discretionary
1964-12,0.075,Consumer_Discretionary
1965-01,0.079,Consumer_Discretionary
1965-02,0.086,Consumer_Discretionary
1965-03,0.093,Consumer_Discretionary
1965-04,0.091,Consumer_Discretionary
1965-05,0.094,Consumer_Discretionary
1965-06,0.085,Consumer_Discretionary
1965-07,0.083,Consumer_Discretionary
1965-08,0.084,Consumer_Discretionary
1965-09,0.082,Consumer_Discretionary
1965-10,0.085,Consumer_Discretionary
1965-11,0.09,Consumer_Discretionary
1965-12,0.095,Consumer_Discretionary
1966-01,0.099,Consumer_Discretionary
1966-02,0.097,Consumer_Discretionary
1966-03,0.089,Consumer_Discretionary
1966-04,0.093,Consumer_Discretionary
1966-05,0.088,Consumer_Discretionary
1966-06,0.089,Consumer_Discretionary
1966-07,0.1,Consumer_Discretionary
1966-08,0.088,Consumer_Discretionary
1966-09,0.078,Consumer_Discretionary
1966-10,0.075,Consumer_Discretionary
1966-11,0.088,Consumer_Discretionary
1966-12,0.108,Consumer_Discretionary
1967-01,0.128,Consumer_Discretionary
1967-02,0.134,Consumer_Discretionary
1967-03,0.146,Consumer_Discretionary
1967-04,0.158,Consumer_Discretionary
1967-05,0.173,Consumer_Discretionary
1967-06,0.18,Consumer_Discretionary
1967-07,0.182,Consumer_Discretionary
1967-08,0.18,Consumer_Discretionary
1967-09,0.187,Consumer_Discretionary
1967-10,0.21,Consumer_Discretionary
1967-11,0.22,Consumer_Discretionary
1967-12,0.254,Consumer_Discretionary
1968-01,0.244,Consumer_Discretionary
1968-02,0.228,Consumer_Discretionary
1968-03,0.208,Consumer_Discretionary
1968-04,0.248,Consumer_Discretionary
1968-05,0.256,Consumer_Discretionary
