date,average,industry
1962-01,0.14,Consumer_Staples
1962-02,0.136,Consumer_Staples
1962-03,0.138,Consumer_Staples
1962-04,0.139,Consumer_Staples
1962-05,0.129,Consumer_Staples
1962-06,0.109,Consumer_Staples
1962-07,0.112,Consumer_Staples
1962-08,0.118,Consumer_Staples
1962-09,0.112,Consumer_Staples
1962-10,0.106,Consumer_Staples
1962-11,0.116,Consumer_Staples
1962-12,0.124,Consumer_Staples
1963-01,0.125,Consumer_Staples
1963-02,0.126,Consumer_Staples
1963-03,0.126,Consumer_Staples
1963-04,0.133,Consumer_Staples
1963-05,0.134,Consumer_Staples
1963-06,0.13,Consumer_Staples
1963-07,0.132,Consumer_Staples
1963-08,0.136,Consumer_Staples
1963-09,0.139,Consumer_Staples
1963-10,0.14,Consumer_Staples
1963-11,0.14,Consumer_Staples
1963-12,0.143,Consumer_Staples
1964-01,0.146,Consumer_Staples
1964-02,0.148,Consumer_Staples
1964-03,0.153,Consumer_Staples
1964-04,0.153,Consumer_Staples
1964-05,0.152,Consumer_Staples
1964-06,0.152,Consumer_Staples
1964-07,0.158,Consumer_Staples
1964-08,0.158,Consumer_Staples
1964-09,0.156,Consumer_Staples
1964-10,0.158,Consumer_Staples
1964-11,0.154,Consumer_Staples
1964-12,0.154,Consumer_Staples
1965-01,0.156,Consumer_Staples
1965-02,0.152,Consumer_Staples
1965-03,0.148,Consumer_Staples
1965-04,0.147,Consumer_Staples
1965-05,0.153,Consumer_Staples
1965-06,0.148,Consumer_Staples
1965-07,0.148,Consumer_Staples
1965-08,0.148,Consumer_Staples
1965-09,0.147,Consumer_Staples
1965-10,0.146,Consumer_Staples
1965-11,0.148,Consumer_Staples
1965-12,0.149,Consumer_Staples
1966-01,0.148,Consumer_Staples
1966-02,0.146,Consumer_Staples
1966-03,0.138,Consumer_Staples
1966-04,0.14,Consumer_Staples
1966-05,0.136,Consumer_Staples
1966-06,0.14,Consumer_Staples
1966-07,0.14,Consumer_Staples
1966-08,0.144,Consumer_Staples
1966-09,0.15,Consumer_Staples
1966-10,0.156,Consumer_Staples
1966-11,0.16,Consumer_Staples
1966-12,0.162,Consumer_Staples
1967-01,0.166,Consumer_Staples
1967-02,0.176,Consumer_Staples
1967-03,0.18,Consumer_Staples
1967-04,0.19,Consumer_Staples
1967-05,0.198,Consumer_Staples
1967-06,0.203,Consumer_Staples
1967-07,0.212,Consumer_Staples
1967-08,0.219,Consumer_Staples
1967-09,0.216,Consumer_Staples
1967-10,0.207,Consumer_Staples
1967-11,0.204,Consumer_Staples
1967-12,0.217,Consumer_Staples
1968-01,0.212,Consumer_Staples
1968-02,0.205,Consumer_Staples
1968-03,0.208,Consumer_Staples
1968-04,0.224,Consumer_Staples
1968-05,0.236,Consumer_Staples
1968-06,0.236,Consumer_Staples
1968-07,0.233,Consumer_Staples
1968-08,0.228,Consumer_Staples
1968-09,0.229,Consumer_Staples
1968-10,0.224,Consumer_Staples
1968-11,0.227,Consumer_Staples
1968-12,0.231,Consumer_Staples
1969-01,0.221,Consumer_Staples
1969-02,0.214,Consumer_Staples
1969-03,0.216,Consumer_Staples
1969-04,0.22,Consumer_Staples
1969-05,0.233,Consumer_Staples
1969-06,0.228,Consumer_Staples
1969-07,0.229,Consumer_Staples
1969-08,0.234,Consumer_Staples
1969-09,0.246,Consumer_Staples
1969-10,0.26,Consumer_Staples
1969-11,0.276,Consumer_Staples
1969-12,0.27,Consumer_Staples
1970-01,0.282,Consumer_Staples
1970-02,0.28,Consumer_Staples
1970-03,0.274,Consumer_Staples
1970-04,0.266,Consumer_Staples
1970-05,0.235,Consumer_Staples
1970-06,0.246,Consumer_Staples
1970-07,0.257,Consumer_Staples
1970-08,0.256,Consumer_Staples
1970-09,0.264,Consumer_Staples
1970-10,0.274,Consumer_Staples
1970-11,0.29,Consumer_Staples
1970-12,0.3,Consumer_Staples
1971-01,0.296,Consumer_Staples
1971-02,0.301,Consumer_Staples
1971-03,0.316,Consumer_Staples
1971-04,0.324,Consumer_Staples
1971-05,0.323,Consumer_Staples
1971-06,0.339,Consumer_Staples
1971-07,0.357,Consumer_Staples
1971-08,0.36,Consumer_Staples
1971-09,0.378,Consumer_Staples
1971-10,0.376,Consumer_Staples
1971-11,0.384,Consumer_Staples
1971-12,0.406,Consumer_Staples
1972-01,0.412,Consumer_Staples
1972-02,0.446,Consumer_Staples
1972-03,0.454,Consumer_Staples
1972-04,0.471,Consumer_Staples
1972-05,0.489,Consumer_Staples
1972-06,0.462,Consumer_Staples
1972-07,0.467,Consumer_Staples
1972-08,0.362,Consumer_Staples
1972-09,0.352,Consumer_Staples
1972-10,0.356,Consumer_Staples
1972-11,0.382,Consumer_Staples
1972-12,0.386,Consumer_Staples
