date,average,industry
1962-01,0.155,Energy
1962-02,0.168,Energy
1962-03,0.168,Energy
1962-04,0.167,Energy
1962-05,0.165,Energy
1962-06,0.153,Energy
1962-07,0.158,Energy
1962-08,0.164,Energy
1962-09,0.168,Energy
1962-10,0.164,Energy
1962-11,0.172,Energy
1962-12,0.186,Energy
1963-01,0.193,Energy
1963-02,0.195,Energy
1963-03,0.201,Energy
1963-04,0.21,Energy
1963-05,0.207,Energy
1963-06,0.208,Energy
1963-07,0.21,Energy
1963-08,0.216,Energy
1963-09,0.218,Energy
1963-10,0.212,Energy
1963-11,0.205,Energy
1963-12,0.207,Energy
1964-01,0.215,Energy
1964-02,0.221,Energy
1964-03,0.221,Energy
1964-04,0.229,Energy
1964-05,0.235,Energy
1964-06,0.234,Energy
1964-07,0.244,Energy
1964-08,0.241,Energy
1964-09,0.242,Energy
1964-10,0.247,Energy
1964-11,0.263,Energy
1964-12,0.258,Energy
1965-01,0.27,Energy
1965-02,0.261,Energy
1965-03,0.253,Energy
1965-04,0.254,Energy
1965-05,0.257,Energy
1965-06,0.253,Energy
1965-07,0.26,Energy
1965-08,0.269,Energy
1965-09,0.279,Energy
1965-10,0.284,Energy
1965-11,0.292,Energy
1965-12,0.293,Energy
1966-01,0.3,Energy
1966-02,0.294,Energy
1966-03,0.275,Energy
1966-04,0.282,Energy
1966-05,0.266,Energy
1966-06,0.257,Energy
1966-07,0.255,Energy
1966-08,0.244,Energy
1966-09,0.24,Energy
1966-10,0.251,Energy
1966-11,0.257,Energy
1966-12,0.257,Energy
1967-01,0.249,Energy
1967-02,0.251,Energy
1967-03,0.244,Energy
1967-04,0.244,Energy
1967-05,0.251,Energy
1967-06,0.239,Energy
1967-07,0.243,Energy
1967-08,0.249,Energy
1967-09,0.255,Energy
1967-10,0.263,Energy
1967-11,0.259,Energy
1967-12,0.269,Energy
1968-01,0.27,Energy
1968-02,0.268,Energy
1968-03,0.263,Energy
1968-04,0.271,Energy
1968-05,0.27,Energy
