date,average,industry
1972-06,0.652,Financial
1972-07,0.696,Financial
1972-08,0.74,Financial
1972-09,0.727,Financial
1972-10,0.744,Financial
1972-11,0.772,Financial
1972-12,0.782,Financial
1973-01,0.83,Financial
1973-02,1.027,Financial
1973-03,1.033,Financial
1973-04,0.969,Financial
1973-05,0.965,Financial
1973-06,0.953,Financial
1973-07,1.002,Financial
1973-08,1.022,Financial
1973-09,1.048,Financial
1973-10,1.076,Financial
1973-11,0.991,Financial
1973-12,0.891,Financial
1974-01,0.885,Financial
1974-02,0.847,Financial
1974-03,0.887,Financial
1974-04,0.813,Financial
1974-05,0.718,Financial
1974-06,0.665,Financial
1974-07,0.498,Financial
1974-08,0.418,Financial
1974-09,0.318,Financial
1974-10,0.324,Financial
1974-11,0.358,Financial
1974-12,0.323,Financial
1975-01,0.37,Financial
1975-02,0.458,Financial
1975-03,0.463,Financial
1975-04,0.476,Financial
1975-05,0.509,Financial
1975-06,0.525,Financial
1975-07,0.505,Financial
1975-08,0.442,Financial
1975-09,0.42,Financial
1975-10,0.436,Financial
1975-11,0.443,Financial
1975-12,0.435,Financial
1976-01,0.484,Financial
1976-02,0.503,Financial
1976-03,0.484,Financial
1976-04,0.468,Financial
1976-05,0.456,Financial
1976-06,0.466,Financial
1976-07,0.497,Financial
1976-08,0.498,Financial
1976-09,0.506,Financial
1976-10,0.482,Financial
1976-11,0.49,Financial
1976-12,0.513,Financial
1977-01,2.118,Financial
1977-02,2.092,Financial
1977-03,2.122,Financial
1977-04,2.143,Financial
1977-05,2.16,Financial
1977-06,2.147,Financial
1977-07,2.207,Financial
1977-08,2.15,Financial
1977-09,2.134,Financial
1977-10,2.057,Financial
1977-11,2.038,Financial
1977-12,2.078,Financial
1978-01,1.993,Financial
1978-02,1.97,Financial
1978-03,1.92,Financial
1978-04,2.092,Financial
1978-05,2.192,Financial
1978-06,2.24,Financial
1978-07,2.257,Financial
1978-08,2.322,Financial
1978-09,2.203,Financial
1978-10,2.073,Financial
1978-11,1.975,Financial
1978-12,1.939,Financial
1979-01,1.984,Financial
1979-02,1.935,Financial
1979-03,1.981,Financial
1979-04,2.038,Financial
1979-05,2.052,Financial
1979-06,2.093,Financial
1979-07,2.163,Financial
1979-08,2.183,Financial
1979-09,2.155,Financial
1979-10,1.987,Financial
1979-11,1.925,Financial
1979-12,1.936,Financial
1980-01,1.978,Financial
1980-02,1.817,Financial
1980-03,1.517,Financial
1980-04,1.569,Financial
1980-05,1.674,Financial
1980-06,1.751,Financial
1980-07,1.765,Financial
1980-08,1.771,Financial
1980-09,1.782,Financial
1980-10,1.74,Financial
1980-11,1.66,Financial
1980-12,1.628,Financial
1981-01,1.763,Financial
