date,average,industry
1962-01,0.061,Health
1962-02,0.066,Health
1962-03,0.068,Health
1962-04,0.064,Health
1962-05,0.06,Health
1962-06,0.049,Health
1962-07,0.051,Health
1962-08,0.049,Health
1962-09,0.048,Health
1962-10,0.047,Health
1962-11,0.052,Health
1962-12,0.055,Health
1963-01,0.057,Health
1963-02,0.06,Health
1963-03,0.059,Health
1963-04,0.06,Health
1963-05,0.062,Health
1963-06,0.064,Health
1963-07,0.064,Health
1963-08,0.069,Health
1963-09,0.071,Health
1963-10,0.074,Health
1963-11,0.075,Health
1963-12,0.076,Health
1964-01,0.08,Health
1964-02,0.083,Health
1964-03,0.084,Health
1964-04,0.08,Health
1964-05,0.078,Health
1964-06,0.076,Health
1964-07,0.082,Health
1964-08,0.082,Health
1964-09,0.085,Health
1964-10,0.088,Health
1964-11,0.094,Health
1964-12,0.094,Health
1965-01,0.101,Health
1965-02,0.103,Health
1965-03,0.106,Health
1965-04,0.11,Health
1965-05,0.114,Health
1965-06,0.109,Health
1965-07,0.112,Health
1965-08,0.12,Health
1965-09,0.13,Health
1965-10,0.131,Health
1965-11,0.136,Health
1965-12,0.144,Health
1966-01,0.15,Health
1966-02,0.155,Health
1966-03,0.15,Health
1966-04,0.158,Health
1966-05,0.15,Health
1966-06,0.156,Health
1966-07,0.156,Health
1966-08,0.146,Health
1966-09,0.137,Health
1966-10,0.138,Health
1966-11,0.154,Health
1966-12,0.158,Health
1967-01,0.156,Health
1967-02,0.162,Health
1967-03,0.172,Health
1967-04,0.18,Health
1967-05,0.182,Health
1967-06,0.183,Health
1967-07,0.182,Health
1967-08,0.19,Health
1967-09,0.202,Health
1967-10,0.202,Health
1967-11,0.194,Health
1967-12,0.207,Health
1968-01,0.192,Health
1968-02,0.184,Health
1968-03,0.18,Health
1968-04,0.2,Health
1968-05,0.204,Health
1968-06,0.21,Health
1968-07,0.211,Health
1968-08,0.208,Health
1968-09,0.205,Health
1968-10,0.206,Health
1968-11,0.21,Health
1968-12,0.225,Health
1969-01,0.226,Health
1969-02,0.226,Health
1969-03,0.229,Health
1969-04,0.24,Health
1969-05,0.248,Health
1969-06,0.246,Health
1969-07,0.243,Health
1969-08,0.26,Health
1969-09,0.274,Health
1969-10,0.292,Health
1969-11,0.3,Health
1969-12,0.315,Health
1970-01,0.328,Health
1970-02,0.316,Health
1970-03,0.302,Health
1970-04,0.284,Health
1970-05,0.258,Health
1970-06,0.267,Health
1970-07,0.272,Health
1970-08,0.256,Health
1970-09,0.279,Health
1970-10,0.292,Health
1970-11,0.303,Health
1970-12,0.308,Health
1971-01,0.332,Health
1971-02,0.351,Health
1971-03,0.375,Health
1971-04,0.39,Health
1971-05,0.426,Health
1971-06,0.434,Health
1971-07,0.447,Health
1971-08,0.44,Health
1971-09,0.444,Health
1971-10,0.442,Health
1971-11,0.446,Health
1971-12,0.484,Health
1972-01,0.489,Health
1972-02,0.518,Health
1972-03,0.545,Health
1972-04,0.572,Health
1972-05,0.58,Health
1972-06,0.453,Health
1972-07,0.471,Health
1972-08,0.48,Health
1972-09,0.47,Health
1972-10,0.475,Health
1972-11,0.489,Health
1972-12,0.497,Health
1973-01,0.51,Health
1973-02,0.497,Health
1973-03,0.502,Health
1973-04,0.489,Health
1973-05,0.402,Health
1973-06,0.408,Health
1973-07,0.411,Health
1973-08,0.408,Health
1973-09,0.412,Health
1973-10,0.423,Health
1973-11,0.419,Health
1973-12,0.39,Health
1974-01,0.371,Health
1974-02,0.358,Health
1974-03,0.385,Health
1974-04,0.375,Health
1974-05,0.38,Health
1974-06,0.388,Health
1974-07,0.34,Health
1974-08,0.287,Health
1974-09,0.266,Health
1974-10,0.278,Health
1974-11,0.297,Health
1974-12,0.283,Health
1975-01,0.274,Health
1975-02,0.316,Health
1975-03,0.336,Health
1975-04,0.327,Health
1975-05,0.348,Health
1975-06,0.352,Health
1975-07,0.34,Health
1975-08,0.305,Health
1975-09,0.295,Health
1975-10,0.316,Health
1975-11,0.331,Health
1975-12,0.315,Health
1976-01,0.31,Health
1976-02,0.318,Health
1976-03,0.31,Health
1976-04,0.319,Health
1976-05,0.313,Health
1976-06,0.3,Health
1976-07,0.311,Health
1976-08,0.304,Health
1976-09,0.324,Health
1976-10,0.313,Health
1976-11,0.291,Health
1976-12,0.276,Health
1977-01,0.271,Health
1977-02,0.254,Health
1977-03,0.263,Health
1977-04,0.248,Health
1977-05,0.244,Health
1977-06,0.258,Health
1977-07,0.258,Health
1977-08,0.262,Health
1977-09,0.265,Health
1977-10,0.259,Health
1977-11,0.257,Health
1977-12,0.26,Health
1978-01,0.254,Health
1978-02,0.252,Health
1978-03,0.248,Health
1978-04,0.256,Health
1978-05,0.277,Health
1978-06,0.294,Health
1978-07,0.3,Health
1978-08,0.32,Health
1978-09,0.325,Health
1978-10,0.305,Health
1978-11,0.295,Health
1978-12,0.307,Health
1979-01,0.318,Health
1979-02,0.3,Health
1979-03,0.302,Health
1979-04,0.306,Health
1979-05,0.302,Health
1979-06,0.311,Health
1979-07,0.316,Health
1979-08,0.336,Health
1979-09,0.338,Health
1979-10,0.326,Health
1979-11,0.341,Health
1979-12,0.372,Health
1980-01,0.372,Health
1980-02,0.353,Health
1980-03,0.33,Health
1980-04,0.351,Health
1980-05,0.369,Health
1980-06,0.387,Health
1980-07,0.397,Health
1980-08,0.414,Health
1980-09,0.427,Health
1980-10,0.426,Health
1980-11,0.449,Health
1980-12,0.45,Health
1981-01,0.468,Health
1981-02,0.45,Health
1981-03,0.476,Health
1981-04,0.503,Health
1981-05,0.503,Health
1981-06,0.52,Health
1981-07,0.472,Health
1981-08,0.456,Health
1981-09,0.443,Health
1981-10,0.467,Health
1981-11,0.482,Health
1981-12,0.5,Health
1982-01,0.492,Health
1982-02,0.507,Health
1982-03,0.474,Health
1982-04,0.508,Health
1982-05,0.526,Health
1982-06,0.515,Health
1982-07,0.518,Health
1982-08,0.518,Health
1982-09,0.58,Health
1982-10,0.58,Health
1982-11,0.606,Health
1982-12,0.641,Health
1983-01,0.648,Health
1983-02,0.62,Health
1983-03,0.639,Health
1983-04,0.633,Health
1983-05,0.665,Health
1983-06,0.576,Health
1983-07,0.578,Health
1983-08,0.531,Health
1983-09,0.532,Health
1983-10,0.561,Health
1983-11,0.534,Health
1983-12,0.502,Health
1984-01,0.504,Health
1984-02,0.476,Health
1984-03,0.462,Health
1984-04,0.459,Health
1984-05,0.445,Health
1984-06,0.429,Health
1984-07,0.402,Health
1984-08,0.429,Health
1984-09,0.434,Health
1984-10,0.376,Health
1984-11,0.397,Health
1984-12,0.407,Health
1985-01,0.424,Health
1985-02,0.455,Health
1985-03,0.468,Health
1985-04,0.48,Health
1985-05,0.516,Health
1985-06,0.546,Health
1985-07,0.559,Health
1985-08,0.551,Health
1985-09,0.54,Health
1985-10,0.546,Health
1985-11,0.595,Health
1985-12,0.633,Health
1986-01,0.641,Health
1986-02,0.679,Health
1986-03,0.735,Health
1986-04,0.831,Health
1986-05,0.872,Health
1986-06,0.922,Health
1986-07,0.927,Health
1986-08,0.968,Health
1986-09,0.878,Health
1986-10,0.9,Health
1986-11,0.93,Health
1986-12,0.951,Health
1987-01,1.025,Health
1987-02,1.126,Health
1987-03,1.236,Health
1987-04,1.203,Health
1987-05,1.182,Health
1987-06,1.257,Health
1987-07,1.29,Health
1987-08,1.394,Health
1987-09,1.38,Health
1987-10,1.208,Health
1987-11,1.12,Health
1987-12,1.087,Health
1988-01,1.099,Health
1988-02,1.135,Health
1988-03,1.176,Health
1988-04,1.132,Health
1988-05,1.057,Health
1988-06,1.135,Health
1988-07,1.116,Health
1988-08,1.143,Health
1988-09,1.193,Health
1988-10,1.222,Health
1988-11,1.186,Health
1988-12,1.21,Health
1989-01,1.254,Health
1989-02,1.311,Health
1989-03,1.331,Health
1989-04,1.392,Health
1989-05,1.453,Health
1989-06,1.48,Health
1989-07,1.532,Health
1989-08,1.587,Health
1989-09,1.594,Health
1989-10,1.68,Health
1989-11,1.724,Health
1989-12,1.742,Health
1990-01,1.704,Health
1990-02,1.633,Health
1990-03,1.641,Health
1990-04,1.7,Health
1990-05,1.834,Health
1990-06,1.976,Health
1990-07,2.138,Health
1990-08,2.04,Health
1990-09,2.011,Health
1990-10,2.028,Health
1990-11,2.14,Health
1990-12,2.288,Health
1991-01,2.316,Health
1991-02,2.738,Health
1991-03,3.131,Health
1991-04,3.336,Health
1991-05,3.377,Health
1991-06,3.257,Health
1991-07,3.429,Health
1991-08,3.659,Health
1991-09,3.784,Health
1991-10,3.924,Health
1991-11,4.094,Health
1991-12,4.491,Health
1992-01,4.201,Health
1992-02,3.985,Health
1992-03,3.821,Health
1992-04,3.644,Health
1992-05,3.669,Health
1992-06,3.666,Health
1992-07,3.872,Health
1992-08,3.962,Health
1992-09,3.988,Health
1992-10,3.845,Health
1992-11,4.09,Health
1992-12,4.169,Health
1993-01,3.879,Health
1993-02,3.423,Health
1993-03,3.079,Health
1993-04,3.017,Health
1993-05,3.089,Health
1993-06,3.005,Health
1993-07,2.848,Health
1993-08,2.766,Health
1993-09,2.876,Health
1993-10,3.043,Health
1993-11,3.203,Health
1993-12,3.312,Health
1994-01,3.428,Health
1994-02,3.257,Health
1994-03,3.133,Health
1994-04,3.022,Health
1994-05,3.258,Health
1994-06,3.325,Health
1994-07,3.317,Health
1994-08,3.644,Health
1994-09,3.84,Health
1994-10,3.982,Health
1994-11,3.991,Health
1994-12,4.015,Health
1995-01,4.098,Health
1995-02,4.328,Health
1995-03,4.532,Health
1995-04,4.621,Health
1995-05,4.701,Health
1995-06,5.023,Health
1995-07,5.219,Health
1995-08,5.476,Health
1995-09,5.875,Health
1995-10,6.298,Health
1995-11,6.498,Health
