date,average,industry
1962-01,0.577,Industrials
1962-02,0.587,Industrials
1962-03,0.575,Industrials
1962-04,0.473,Industrials
1962-05,0.442,Industrials
1962-06,0.388,Industrials
1962-07,0.389,Industrials
1962-08,0.403,Industrials
1962-09,0.404,Industrials
1962-10,0.392,Industrials
1962-11,0.434,Industrials
1962-12,0.448,Industrials
1963-01,0.468,Industrials
1963-02,0.465,Industrials
1963-03,0.456,Industrials
1963-04,0.482,Industrials
1963-05,0.503,Industrials
1963-06,0.504,Industrials
1963-07,0.496,Industrials
1963-08,0.512,Industrials
1963-09,0.521,Industrials
1963-10,0.524,Industrials
1963-11,0.536,Industrials
1963-12,0.556,Industrials
1964-01,0.569,Industrials
1964-02,0.572,Industrials
1964-03,0.596,Industrials
1964-04,0.599,Industrials
1964-05,0.582,Industrials
1964-06,0.585,Industrials
1964-07,0.612,Industrials
1964-08,0.6,Industrials
1964-09,0.628,Industrials
1964-10,0.638,Industrials
1964-11,0.659,Industrials
1964-12,0.662,Industrials
1965-01,0.68,Industrials
1965-02,0.704,Industrials
1965-03,0.711,Industrials
1965-04,0.726,Industrials
1965-05,0.738,Industrials
1965-06,0.685,Industrials
1965-07,0.678,Industrials
1965-08,0.7,Industrials
1965-09,0.746,Industrials
1965-10,0.781,Industrials
1965-11,0.814,Industrials
1965-12,0.84,Industrials
1966-01,0.858,Industrials
1966-02,0.847,Industrials
1966-03,0.809,Industrials
1966-04,0.836,Industrials
1966-05,0.779,Industrials
1966-06,0.789,Industrials
1966-07,0.763,Industrials
1966-08,0.708,Industrials
1966-09,0.688,Industrials
1966-10,0.66,Industrials
1966-11,0.725,Industrials
1966-12,0.723,Industrials
1967-01,0.748,Industrials
1967-02,0.776,Industrials
1967-03,0.824,Industrials
1967-04,0.844,Industrials
1967-05,0.875,Industrials
1967-06,0.86,Industrials
1967-07,0.88,Industrials
1967-08,0.92,Industrials
1967-09,0.927,Industrials
1967-10,0.886,Industrials
1967-11,0.853,Industrials
1967-12,0.869,Industrials
1968-01,0.843,Industrials
1968-02,0.782,Industrials
1968-03,0.766,Industrials
1968-04,0.81,Industrials
1968-05,0.829,Industrials
1968-06,0.824,Industrials
1968-07,0.793,Industrials
1968-08,0.781,Industrials
1968-09,0.808,Industrials
1968-10,0.835,Industrials
1968-11,0.85,Industrials
1968-12,0.853,Industrials
1969-01,0.827,Industrials
1969-02,0.818,Industrials
1969-03,0.811,Industrials
1969-04,0.826,Industrials
1969-05,0.871,Industrials
1969-06,0.823,Industrials
1969-07,0.769,Industrials
1969-08,0.758,Industrials
1969-09,0.744,Industrials
1969-10,0.76,Industrials
1969-11,0.76,Industrials
1969-12,0.704,Industrials
1970-01,0.682,Industrials
1970-02,0.644,Industrials
1970-03,0.675,Industrials
1970-04,0.659,Industrials
1970-05,0.571,Industrials
1970-06,0.558,Industrials
1970-07,0.544,Industrials
1970-08,0.566,Industrials
1970-09,0.603,Industrials
1970-10,0.61,Industrials
