date,average,industry
1972-06,1.083,Materials
1972-07,1.063,Materials
1972-08,1.127,Materials
1972-09,1.13,Materials
1972-10,1.122,Materials
1972-11,1.214,Materials
1972-12,1.217,Materials
1973-01,1.224,Materials
1973-02,1.226,Materials
1973-03,1.234,Materials
1973-04,1.246,Materials
1973-05,1.24,Materials
1973-06,1.249,Materials
1973-07,1.284,Materials
1973-08,1.313,Materials
1973-09,1.389,Materials
1973-10,1.556,Materials
1973-11,1.322,Materials
1973-12,1.322,Materials
1974-01,1.346,Materials
1974-02,1.349,Materials
1974-03,1.503,Materials
1974-04,1.513,Materials
1974-05,1.557,Materials
1974-06,1.644,Materials
1974-07,1.589,Materials
1974-08,1.524,Materials
1974-09,1.385,Materials
1974-10,1.47,Materials
1974-11,1.538,Materials
1974-12,1.32,Materials
1975-01,1.415,Materials
1975-02,1.626,Materials
1975-03,1.831,Materials
1975-04,1.971,Materials
1975-05,2.214,Materials
1975-06,2.168,Materials
1975-07,2.214,Materials
1975-08,2.217,Materials
1975-09,2.248,Materials
1975-10,2.268,Materials
1975-11,2.305,Materials
1975-12,2.281,Materials
1976-01,2.588,Materials
1976-02,2.762,Materials
1976-03,2.757,Materials
1976-04,2.774,Materials
1976-05,2.731,Materials
1976-06,2.502,Materials
1976-07,2.401,Materials
1976-08,2.293,Materials
1976-09,2.348,Materials
1976-10,2.126,Materials
1976-11,2.048,Materials
1976-12,2.108,Materials
1977-01,2.084,Materials
1977-02,1.928,Materials
1977-03,1.964,Materials
1977-04,1.947,Materials
1977-05,1.884,Materials
1977-06,1.82,Materials
1977-07,1.691,Materials
1977-08,1.631,Materials
1977-09,1.63,Materials
1977-10,1.539,Materials
1977-11,1.487,Materials
1977-12,1.42,Materials
1978-01,1.366,Materials
1978-02,1.282,Materials
1978-03,1.258,Materials
1978-04,1.351,Materials
1978-05,1.413,Materials
1978-06,1.406,Materials
1978-07,1.339,Materials
1978-08,1.493,Materials
1978-09,1.573,Materials
1978-10,1.564,Materials
1978-11,1.463,Materials
1978-12,1.439,Materials
1979-01,1.514,Materials
1979-02,1.461,Materials
1979-03,1.545,Materials
1979-04,1.563,Materials
1979-05,1.453,Materials
1979-06,1.521,Materials
1979-07,1.518,Materials
1979-08,1.706,Materials
1979-09,1.836,Materials
1979-10,1.769,Materials
1979-11,1.775,Materials
1979-12,1.892,Materials
1980-01,1.991,Materials
1980-02,2.129,Materials
1980-03,2.12,Materials
1980-04,1.991,Materials
1980-05,2.029,Materials
1980-06,2.271,Materials
1980-07,2.476,Materials
1980-08,2.613,Materials
1980-09,2.91,Materials
1980-10,2.883,Materials
1980-11,2.811,Materials
1980-12,2.686,Materials
1981-01,2.574,Materials
1981-02,2.564,Materials
1981-03,2.899,Materials
1981-04,3.24,Materials
1981-05,3.251,Materials
1981-06,3.138,Materials
1981-07,3.285,Materials
1981-08,3.378,Materials
1981-09,2.824,Materials
1981-10,2.742,Materials
1981-11,2.424,Materials
1981-12,2.343,Materials
1982-01,2.033,Materials
1982-02,1.916,Materials
1982-03,1.752,Materials
1982-04,1.933,Materials
1982-05,1.878,Materials
1982-06,1.684,Materials
1982-07,1.759,Materials
1982-08,1.932,Materials
1982-09,2.209,Materials
1982-10,2.233,Materials
1982-11,2.306,Materials
1982-12,2.548,Materials
1983-01,2.87,Materials
1983-02,2.864,Materials
1983-03,2.695,Materials
1983-04,2.847,Materials
1983-05,3.003,Materials
1983-06,2.994,Materials
1983-07,2.992,Materials
1983-08,3.076,Materials
1983-09,3.048,Materials
1983-10,2.802,Materials
1983-11,2.788,Materials
1983-12,2.888,Materials
1984-01,2.748,Materials
1984-02,2.712,Materials
1984-03,2.859,Materials
1984-04,2.813,Materials
1984-05,2.622,Materials
1984-06,2.287,Materials
1984-07,2.076,Materials
1984-08,2.28,Materials
1984-09,2.246,Materials
1984-10,2.21,Materials
1984-11,2.368,Materials
1984-12,2.182,Materials
1985-01,2.35,Materials
1985-02,2.103,Materials
1985-03,2.063,Materials
1985-04,2.158,Materials
1985-05,2.246,Materials
1985-06,2.233,Materials
1985-07,2.303,Materials
1985-08,2.363,Materials
1985-09,2.321,Materials
1985-10,2.388,Materials
1985-11,2.453,Materials
1985-12,2.564,Materials
1986-01,2.706,Materials
1986-02,2.741,Materials
1986-03,2.893,Materials
1986-04,2.845,Materials
1986-05,2.912,Materials
1986-06,3.083,Materials
1986-07,2.872,Materials
1986-08,3.063,Materials
1986-09,3.352,Materials
1986-10,3.446,Materials
1986-11,3.498,Materials
1986-12,3.562,Materials
1987-01,3.969,Materials
1987-02,4.487,Materials
1987-03,5.09,Materials
1987-04,5.466,Materials
1987-05,5.743,Materials
1987-06,5.577,Materials
1987-07,6.297,Materials
1987-08,7.9,Materials
1987-09,9.059,Materials
1987-10,7.231,Materials
1987-11,5.632,Materials
1987-12,5.917,Materials
1988-01,5.716,Materials
1988-02,5.572,Materials
1988-03,5.942,Materials
1988-04,6.016,Materials
1988-05,5.965,Materials
1988-06,6.857,Materials
1988-07,6.679,Materials
1988-08,6.198,Materials
1988-09,5.951,Materials
1988-10,6.124,Materials
1988-11,5.912,Materials
1988-12,5.768,Materials
1989-01,6.115,Materials
1989-02,6.98,Materials
1989-03,6.781,Materials
1989-04,6.569,Materials
1989-05,6.419,Materials
1989-06,6.392,Materials
1989-07,6.79,Materials
1989-08,7.136,Materials
1989-09,7.083,Materials
1989-10,7.063,Materials
1989-11,7.606,Materials
1989-12,8.17,Materials
1990-01,8.583,Materials
1990-02,8.751,Materials
1990-03,8.593,Materials
1990-04,7.885,Materials
1990-05,8.006,Materials
1990-06,6.776,Materials
1990-07,7.108,Materials
1990-08,7.297,Materials
1990-09,6.495,Materials
1990-10,5.927,Materials
1990-11,5.918,Materials
1990-12,6.001,Materials
1991-01,6.26,Materials
1991-02,6.297,Materials
1991-03,6.444,Materials
1991-04,6.279,Materials
1991-05,6.277,Materials
1991-06,6.823,Materials
1991-07,7.108,Materials
1991-08,6.782,Materials
1991-09,6.645,Materials
1991-10,7.061,Materials
1991-11,7.054,Materials
1991-12,7.178,Materials
1992-01,7.72,Materials
1992-02,7.931,Materials
1992-03,7.442,Materials
1992-04,7.283,Materials
1992-05,7.696,Materials
1992-06,7.652,Materials
1992-07,7.896,Materials
1992-08,7.645,Materials
1992-09,7.91,Materials
1992-10,7.631,Materials
1992-11,7.153,Materials
1992-12,7.342,Materials
1993-01,7.171,Materials
1993-02,7.507,Materials
1993-03,7.701,Materials
1993-04,8.077,Materials
1993-05,8.755,Materials
1993-06,8.861,Materials
1993-07,9.503,Materials
1993-08,9.405,Materials
1993-09,8.85,Materials
1993-10,9.388,Materials
1993-11,9.862,Materials
1993-12,10.096,Materials
1994-01,10.491,Materials
1994-02,10.05,Materials
1994-03,10.027,Materials
1994-04,9.512,Materials
1994-05,9.707,Materials
1994-06,9.831,Materials
1994-07,9.776,Materials
1994-08,9.902,Materials
1994-09,10.834,Materials
1994-10,10.658,Materials
1994-11,9.804,Materials
1994-12,9.267,Materials
1995-01,9.297,Materials
1995-02,9.196,Materials
1995-03,9.958,Materials
1995-04,10.612,Materials
1995-05,10.471,Materials
1995-06,10.821,Materials
1995-07,10.684,Materials
1995-08,10.703,Materials
1995-09,10.688,Materials
