date,average,industry
1972-06,0.734,Tech
1972-07,0.762,Tech
1972-08,0.791,Tech
1972-09,0.747,Tech
1972-10,0.76,Tech
1972-11,0.735,Tech
1972-12,0.763,Tech
1973-01,0.816,Tech
1973-02,0.804,Tech
1973-03,0.771,Tech
1973-04,0.726,Tech
1973-05,0.831,Tech
1973-06,0.825,Tech
1973-07,0.854,Tech
1973-08,0.933,Tech
1973-09,1.022,Tech
1973-10,1.16,Tech
1973-11,1.042,Tech
1973-12,0.902,Tech
1974-01,0.934,Tech
1974-02,0.902,Tech
1974-03,0.942,Tech
1974-04,0.87,Tech
1974-05,0.984,Tech
1974-06,0.862,Tech
1974-07,0.789,Tech
1974-08,0.701,Tech
1974-09,0.612,Tech
1974-10,0.579,Tech
1974-11,0.671,Tech
1974-12,0.606,Tech
1975-01,0.6,Tech
1975-02,0.721,Tech
1975-03,0.826,Tech
1975-04,0.904,Tech
1975-05,0.965,Tech
1975-06,0.977,Tech
1975-07,0.985,Tech
1975-08,0.847,Tech
1975-09,0.824,Tech
1975-10,0.909,Tech
1975-11,0.883,Tech
1975-12,0.851,Tech
1976-01,0.982,Tech
1976-02,1.097,Tech
1976-03,1.084,Tech
1976-04,1.119,Tech
1976-05,1.093,Tech
1976-06,1.102,Tech
1976-07,1.117,Tech
1976-08,1.039,Tech
1976-09,1.048,Tech
1976-10,0.987,Tech
1976-11,0.93,Tech
1976-12,0.933,Tech
1977-01,0.867,Tech
1977-02,0.771,Tech
1977-03,0.785,Tech
1977-04,0.767,Tech
1977-05,0.775,Tech
1977-06,0.827,Tech
1977-07,0.847,Tech
1977-08,0.831,Tech
1977-09,0.771,Tech
1977-10,0.732,Tech
1977-11,0.722,Tech
1977-12,0.676,Tech
1978-01,0.669,Tech
1978-02,0.632,Tech
1978-03,0.602,Tech
1978-04,0.667,Tech
1978-05,0.735,Tech
1978-06,0.765,Tech
1978-07,0.782,Tech
1978-08,0.845,Tech
1978-09,0.83,Tech
1978-10,0.811,Tech
1978-11,0.766,Tech
1978-12,0.768,Tech
1979-01,0.826,Tech
1979-02,0.777,Tech
1979-03,0.786,Tech
1979-04,0.816,Tech
1979-05,0.798,Tech
1979-06,0.866,Tech
1979-07,0.839,Tech
1979-08,0.916,Tech
1979-09,0.935,Tech
1979-10,0.912,Tech
1979-11,0.883,Tech
1979-12,0.875,Tech
1980-01,0.935,Tech
1980-02,0.998,Tech
1980-03,0.522,Tech
1980-04,0.5,Tech
1980-05,0.516,Tech
1980-06,0.559,Tech
1980-07,0.607,Tech
1980-08,0.716,Tech
1980-09,0.782,Tech
1980-10,0.808,Tech
1980-11,0.826,Tech
1980-12,0.534,Tech
1981-01,0.501,Tech
1981-02,0.481,Tech
1981-03,0.476,Tech
1981-04,0.501,Tech
1981-05,0.481,Tech
1981-06,0.453,Tech
1981-07,0.409,Tech
1981-08,0.394,Tech
1981-09,0.358,Tech
1981-10,0.35,Tech
1981-11,0.342,Tech
1981-12,0.342,Tech
1982-01,0.328,Tech
1982-02,0.343,Tech
1982-03,0.341,Tech
1982-04,0.376,Tech
1982-05,0.379,Tech
1982-06,0.359,Tech
1982-07,0.388,Tech
1982-08,0.373,Tech
1982-09,0.428,Tech
1982-10,0.474,Tech
1982-11,0.551,Tech
1982-12,0.587,Tech
1983-01,0.633,Tech
1983-02,0.72,Tech
1983-03,0.706,Tech
1983-04,0.69,Tech
1983-05,0.701,Tech
1983-06,0.655,Tech
1983-07,0.631,Tech
1983-08,0.574,Tech
1983-09,0.612,Tech
1983-10,0.586,Tech
1983-11,0.645,Tech
1983-12,0.668,Tech
1984-01,0.674,Tech
1984-02,0.612,Tech
1984-03,0.64,Tech
1984-04,0.64,Tech
1984-05,0.663,Tech
1984-06,0.614,Tech
1984-07,0.571,Tech
1984-08,0.668,Tech
1984-09,0.635,Tech
1984-10,0.597,Tech
1984-11,0.574,Tech
1984-12,0.556,Tech
1985-01,0.599,Tech
1985-02,0.58,Tech
1985-03,0.524,Tech
1985-04,0.507,Tech
1985-05,0.46,Tech
1985-06,0.459,Tech
1985-07,0.493,Tech
1985-08,0.48,Tech
1985-09,0.459,Tech
1985-10,0.45,Tech
1985-11,0.487,Tech
1985-12,0.522,Tech
1986-01,0.529,Tech
1986-02,0.589,Tech
1986-03,0.377,Tech
1986-04,0.397,Tech
1986-05,0.416,Tech
1986-06,0.387,Tech
1986-07,0.341,Tech
1986-08,0.321,Tech
1986-09,0.332,Tech
1986-10,0.329,Tech
1986-11,0.358,Tech
1986-12,0.378,Tech
1987-01,0.437,Tech
1987-02,0.538,Tech
1987-03,0.628,Tech
1987-04,0.743,Tech
1987-05,0.778,Tech
1987-06,0.702,Tech
1987-07,0.698,Tech
1987-08,0.777,Tech
1987-09,0.821,Tech
1987-10,0.712,Tech
1987-11,0.527,Tech
1987-12,0.583,Tech
1988-01,0.603,Tech
1988-02,0.588,Tech
1988-03,0.66,Tech
1988-04,0.647,Tech
1988-05,0.628,Tech
1988-06,0.691,Tech
1988-07,0.696,Tech
1988-08,0.629,Tech
1988-09,0.63,Tech
1988-10,0.637,Tech
1988-11,0.593,Tech
1988-12,0.629,Tech
1989-01,0.667,Tech
1989-02,0.659,Tech
1989-03,0.618,Tech
1989-04,0.666,Tech
1989-05,0.736,Tech
1989-06,0.751,Tech
1989-07,0.692,Tech
1989-08,0.704,Tech
1989-09,0.687,Tech
1989-10,0.658,Tech
1989-11,0.652,Tech
1989-12,0.668,Tech
1990-01,0.709,Tech
1990-02,0.757,Tech
1990-03,0.918,Tech
1990-04,0.894,Tech
1990-05,0.989,Tech
1990-06,0.955,Tech
1990-07,0.94,Tech
1990-08,0.733,Tech
1990-09,0.652,Tech
1990-10,0.602,Tech
1990-11,0.689,Tech
1990-12,0.787,Tech
1991-01,0.872,Tech
1991-02,1.061,Tech
1991-03,1.127,Tech
1991-04,1.237,Tech
1991-05,1.108,Tech
1991-06,1.08,Tech
1991-07,1.043,Tech
1991-08,1.138,Tech
1991-09,1.058,Tech
1991-10,1.126,Tech
1991-11,1.134,Tech
1991-12,1.176,Tech
1992-01,1.402,Tech
1992-02,1.405,Tech
1992-03,1.317,Tech
1992-04,1.152,Tech
1992-05,1.194,Tech
1992-06,1.174,Tech
1992-07,1.166,Tech
1992-08,1.114,Tech
1992-09,1.146,Tech
1992-10,1.175,Tech
1992-11,1.29,Tech
1992-12,1.287,Tech
1993-01,1.494,Tech
1993-02,1.53,Tech
1993-03,1.607,Tech
1993-04,1.56,Tech
1993-05,1.819,Tech
1993-06,1.912,Tech
1993-07,1.774,Tech
1993-08,1.781,Tech
1993-09,1.711,Tech
1993-10,1.717,Tech
1993-11,1.665,Tech
1993-12,1.711,Tech
1994-01,1.889,Tech
1994-02,1.972,Tech
1994-03,2.053,Tech
1994-04,1.867,Tech
1994-05,1.931,Tech
1994-06,2.013,Tech
1994-07,2.056,Tech
1994-08,2.179,Tech
1994-09,2.2,Tech
1994-10,2.224,Tech
1994-11,2.286,Tech
1994-12,2.194,Tech
1995-01,2.216,Tech
1995-02,2.338,Tech
1995-03,2.684,Tech
1995-04,3.042,Tech
1995-05,3.426,Tech
1995-06,3.701,Tech
1995-07,4.06,Tech
1995-08,3.967,Tech
1995-09,3.838,Tech
1995-10,3.78,Tech
1995-11,3.921,Tech
1995-12,3.792,Tech
1996-01,3.14,Tech
1996-02,3.274,Tech
1996-03,3.146,Tech
1996-04,3.38,Tech
1996-05,3.656,Tech
1996-06,3.613,Tech
1996-07,3.459,Tech
1996-08,3.657,Tech
1996-09,3.901,Tech
1996-10,4.211,Tech
1996-11,4.594,Tech
1996-12,4.966,Tech
1997-01,5.197,Tech
1997-02,5.488,Tech
1997-03,5.307,Tech
1997-04,5.51,Tech
1997-05,6.235,Tech
1997-06,6.05,Tech
1997-07,6.657,Tech
1997-08,7.36,Tech
1997-09,7.51,Tech
1997-10,7.272,Tech
1997-11,6.663,Tech
1997-12,6.014,Tech
1998-01,6.105,Tech
1998-02,7.092,Tech
1998-03,6.999,Tech
1998-04,7.347,Tech
1998-05,7.222,Tech
1998-06,6.894,Tech
1998-07,7.818,Tech
1998-08,7.457,Tech
1998-09,7.334,Tech
1998-10,7.452,Tech
1998-11,8.904,Tech
1998-12,10.287,Tech
1999-01,10.092,Tech
1999-02,10.156,Tech
1999-03,10.106,Tech
1999-04,10.623,Tech
1999-05,10.382,Tech
1999-06,11.094,Tech
1999-07,12.724,Tech
1999-08,13.154,Tech
1999-09,14.619,Tech
1999-10,14.397,Tech
1999-11,16.106,Tech
1999-12,17.644,Tech
2000-01,538.746,Tech
2000-02,494.284,Tech
2000-03,566.036,Tech
2000-04,597.048,Tech
2000-05,589.551,Tech
2000-06,657.343,Tech
2000-07,661.149,Tech
2000-08,573.247,Tech
2000-09,432.91,Tech
2000-10,313.166,Tech
2000-11,318.382,Tech
2000-12,316.933,Tech
2001-01,379.145,Tech
2001-02,378.3,Tech
2001-03,365.311,Tech
2001-04,383.987,Tech
2001-05,419.269,Tech
2001-06,381.061,Tech
2001-07,336.361,Tech
2001-08,362.06,Tech
2001-09,310.96,Tech
2001-10,302.953,Tech
2001-11,384.387,Tech
2001-12,482.981,Tech
2002-01,570.036,Tech
2002-02,610.706,Tech
2002-03,645.228,Tech
2002-04,719.411,Tech
2002-05,665.837,Tech
2002-06,634.125,Tech
2002-07,628.992,Tech
2002-08,599.705,Tech
2002-09,597.47,Tech
2002-10,574.981,Tech
2002-11,665.324,Tech
2002-12,653.717,Tech
2003-01,587.152,Tech
2003-02,526.64,Tech
2003-03,541.416,Tech
2003-04,541.257,Tech
2003-05,575.833,Tech
2003-06,640.411,Tech
2003-07,736.84,Tech
2003-08,781.588,Tech
2003-09,789.133,Tech
