date,average,industry
1980-03,0.278,Real_Estate
1980-04,0.277,Real_Estate
1980-05,0.322,Real_Estate
1980-06,0.339,Real_Estate
1980-07,0.358,Real_Estate
1980-08,0.354,Real_Estate
1980-09,0.342,Real_Estate
1980-10,0.336,Real_Estate
1980-11,0.998,Real_Estate
1980-12,0.892,Real_Estate
1981-01,0.944,Real_Estate
1981-02,0.942,Real_Estate
1981-03,0.906,Real_Estate
1981-04,0.964,Real_Estate
1981-05,0.857,Real_Estate
1981-06,0.844,Real_Estate
1981-07,0.832,Real_Estate
1981-08,0.854,Real_Estate
1981-09,0.801,Real_Estate
1981-10,0.854,Real_Estate
1981-11,0.845,Real_Estate
1981-12,0.848,Real_Estate
1982-01,0.865,Real_Estate
1982-02,0.855,Real_Estate
1982-03,0.844,Real_Estate
1982-04,0.893,Real_Estate
1982-05,0.897,Real_Estate
1982-06,0.894,Real_Estate
1982-07,0.909,Real_Estate
1982-08,0.906,Real_Estate
1982-09,1.005,Real_Estate
1982-10,1.04,Real_Estate
1982-11,1.026,Real_Estate
1982-12,1.059,Real_Estate
1983-01,1.143,Real_Estate
1983-02,1.162,Real_Estate
1983-03,1.14,Real_Estate
1983-04,1.173,Real_Estate
1983-05,1.29,Real_Estate
1983-06,1.346,Real_Estate
1983-07,1.244,Real_Estate
1983-08,1.19,Real_Estate
1983-09,1.206,Real_Estate
1983-10,1.249,Real_Estate
1983-11,1.235,Real_Estate
1983-12,1.23,Real_Estate
1984-01,1.253,Real_Estate
1984-02,1.217,Real_Estate
1984-03,1.244,Real_Estate
1984-04,1.242,Real_Estate
1984-05,1.199,Real_Estate
1984-06,1.17,Real_Estate
1984-07,1.183,Real_Estate
1984-08,1.264,Real_Estate
1984-09,1.295,Real_Estate
1984-10,1.32,Real_Estate
1984-11,1.341,Real_Estate
1984-12,1.347,Real_Estate
1985-01,1.379,Real_Estate
1985-02,1.442,Real_Estate
1985-03,1.552,Real_Estate
1985-04,1.585,Real_Estate
1985-05,1.525,Real_Estate
1985-06,1.606,Real_Estate
1985-07,1.622,Real_Estate
1985-08,1.574,Real_Estate
1985-09,1.578,Real_Estate
1985-10,1.586,Real_Estate
1985-11,1.582,Real_Estate
1985-12,1.517,Real_Estate
1986-01,1.534,Real_Estate
1986-02,1.524,Real_Estate
1986-03,1.599,Real_Estate
1986-04,1.685,Real_Estate
1986-05,1.534,Real_Estate
1986-06,1.374,Real_Estate
1986-07,1.426,Real_Estate
1986-08,1.466,Real_Estate
1986-09,1.495,Real_Estate
1986-10,1.502,Real_Estate
1986-11,1.469,Real_Estate
1986-12,1.42,Real_Estate
1987-01,1.434,Real_Estate
1987-02,1.454,Real_Estate
1987-03,1.494,Real_Estate
1987-04,1.485,Real_Estate
1987-05,1.459,Real_Estate
1987-06,1.435,Real_Estate
1987-07,1.46,Real_Estate
1987-08,1.464,Real_Estate
1987-09,1.405,Real_Estate
1987-10,1.281,Real_Estate
1987-11,1.259,Real_Estate
1987-12,1.21,Real_Estate
1988-01,1.323,Real_Estate
1988-02,1.375,Real_Estate
1988-03,1.384,Real_Estate
1988-04,1.377,Real_Estate
1988-05,1.377,Real_Estate
1988-06,1.35,Real_Estate
1988-07,1.386,Real_Estate
1988-08,1.389,Real_Estate
1988-09,1.391,Real_Estate
1988-10,1.342,Real_Estate
1988-11,1.273,Real_Estate
1988-12,1.322,Real_Estate
1989-01,1.393,Real_Estate
1989-02,1.452,Real_Estate
1989-03,1.53,Real_Estate
1989-04,1.547,Real_Estate
1989-05,1.596,Real_Estate
1989-06,1.629,Real_Estate
1989-07,1.641,Real_Estate
1989-08,1.65,Real_Estate
1989-09,1.673,Real_Estate
1989-10,1.671,Real_Estate
1989-11,1.621,Real_Estate
1989-12,1.547,Real_Estate
1990-01,1.529,Real_Estate
1990-02,1.46,Real_Estate
1990-03,1.293,Real_Estate
1990-04,1.295,Real_Estate
1990-05,1.294,Real_Estate
1990-06,1.296,Real_Estate
1990-07,1.3,Real_Estate
1990-08,1.227,Real_Estate
1990-09,1.206,Real_Estate
1990-10,1.188,Real_Estate
1990-11,1.229,Real_Estate
1990-12,1.263,Real_Estate
1991-01,1.271,Real_Estate
1991-02,1.41,Real_Estate
1991-03,1.458,Real_Estate
1991-04,1.599,Real_Estate
1991-05,1.663,Real_Estate
1991-06,1.667,Real_Estate
1991-07,1.66,Real_Estate
1991-08,1.694,Real_Estate
1991-09,1.729,Real_Estate
1991-10,1.725,Real_Estate
1991-11,1.763,Real_Estate
1991-12,1.769,Real_Estate
1992-01,1.976,Real_Estate
1992-02,2.123,Real_Estate
1992-03,2.092,Real_Estate
1992-04,2.044,Real_Estate
1992-05,2.072,Real_Estate
1992-06,2.062,Real_Estate
1992-07,2.089,Real_Estate
1992-08,2.161,Real_Estate
1992-09,2.167,Real_Estate
1992-10,2.224,Real_Estate
1992-11,2.295,Real_Estate
1992-12,2.342,Real_Estate
1993-01,2.445,Real_Estate
1993-02,2.666,Real_Estate
1993-03,2.89,Real_Estate
1993-04,3.066,Real_Estate
1993-05,3.102,Real_Estate
1993-06,3.101,Real_Estate
1993-07,3.253,Real_Estate
1993-08,3.188,Real_Estate
1993-09,3.379,Real_Estate
1993-10,3.552,Real_Estate
1993-11,3.474,Real_Estate
1993-12,3.543,Real_Estate
1994-01,3.568,Real_Estate
1994-02,3.692,Real_Estate
1994-03,4.402,Real_Estate
1994-04,4.273,Real_Estate
1994-05,4.435,Real_Estate
1994-06,4.553,Real_Estate
1994-07,4.48,Real_Estate
1994-08,4.42,Real_Estate
1994-09,4.392,Real_Estate
1994-10,4.277,Real_Estate
1994-11,4.004,Real_Estate
1994-12,4.092,Real_Estate
1995-01,4.231,Real_Estate
1995-02,4.214,Real_Estate
1995-03,4.328,Real_Estate
1995-04,4.256,Real_Estate
1995-05,4.326,Real_Estate
1995-06,4.448,Real_Estate
1995-07,4.507,Real_Estate
1995-08,4.525,Real_Estate
1995-09,4.696,Real_Estate
1995-10,4.689,Real_Estate
1995-11,4.591,Real_Estate
1995-12,4.869,Real_Estate
1996-01,4.991,Real_Estate
1996-02,5.12,Real_Estate
1996-03,5.266,Real_Estate
1996-04,5.204,Real_Estate
1996-05,5.326,Real_Estate
1996-06,5.414,Real_Estate
1996-07,5.471,Real_Estate
1996-08,5.722,Real_Estate
1996-09,5.886,Real_Estate
1996-10,6.109,Real_Estate
1996-11,6.558,Real_Estate
1996-12,7.079,Real_Estate
1997-01,7.346,Real_Estate
1997-02,7.482,Real_Estate
1997-03,7.807,Real_Estate
1997-04,7.556,Real_Estate
1997-05,7.588,Real_Estate
1997-06,7.911,Real_Estate
1997-07,8.259,Real_Estate
1997-08,8.185,Real_Estate
1997-09,8.446,Real_Estate
1997-10,8.866,Real_Estate
1997-11,8.551,Real_Estate
1997-12,8.738,Real_Estate
1998-01,9.022,Real_Estate
1998-02,9.497,Real_Estate
1998-03,9.262,Real_Estate
1998-04,9.852,Real_Estate
1998-05,9.616,Real_Estate
1998-06,9.516,Real_Estate
1998-07,9.961,Real_Estate
1998-08,8.921,Real_Estate
1998-09,8.529,Real_Estate
1998-10,8.402,Real_Estate
1998-11,8.972,Real_Estate
1998-12,9.709,Real_Estate
1999-01,10.204,Real_Estate
1999-02,9.738,Real_Estate
1999-03,9.384,Real_Estate
1999-04,9.675,Real_Estate
1999-05,10.214,Real_Estate
1999-06,10.148,Real_Estate
1999-07,10.135,Real_Estate
1999-08,9.494,Real_Estate
1999-09,9.518,Real_Estate
1999-10,8.828,Real_Estate
1999-11,9.428,Real_Estate
1999-12,10.246,Real_Estate
2000-01,11.552,Real_Estate
2000-02,12.118,Real_Estate
2000-03,13.21,Real_Estate
2000-04,12.859,Real_Estate
2000-05,12.541,Real_Estate
2000-06,12.949,Real_Estate
2000-07,13.7,Real_Estate
2000-08,13.797,Real_Estate
2000-09,12.662,Real_Estate
2000-10,12.152,Real_Estate
2000-11,12.393,Real_Estate
2000-12,12.592,Real_Estate
2001-01,12.98,Real_Estate
2001-02,12.51,Real_Estate
2001-03,11.347,Real_Estate
2001-04,11.107,Real_Estate
2001-05,11.719,Real_Estate
2001-06,11.445,Real_Estate
2001-07,11.188,Real_Estate
2001-08,11.257,Real_Estate
2001-09,10.563,Real_Estate
2001-10,10.87,Real_Estate
2001-11,10.66,Real_Estate
2001-12,10.783,Real_Estate
2002-01,10.724,Real_Estate
2002-02,10.463,Real_Estate
2002-03,11.134,Real_Estate
2002-04,11.271,Real_Estate
2002-05,10.919,Real_Estate
2002-06,10.992,Real_Estate
2002-07,10.403,Real_Estate
2002-08,10.242,Real_Estate
2002-09,10.232,Real_Estate
2002-10,9.425,Real_Estate
2002-11,9.8,Real_Estate
2002-12,10.034,Real_Estate
2003-01,10.039,Real_Estate
2003-02,9.963,Real_Estate
2003-03,10.287,Real_Estate
2003-04,10.952,Real_Estate
2003-05,11.705,Real_Estate
2003-06,12.129,Real_Estate
2003-07,12.643,Real_Estate
2003-08,13.135,Real_Estate
2003-09,13.556,Real_Estate
2003-10,14.145,Real_Estate
2003-11,14.666,Real_Estate
2003-12,15.033,Real_Estate
2004-01,15.42,Real_Estate
2004-02,16.128,Real_Estate
2004-03,16.681,Real_Estate
2004-04,15.755,Real_Estate
2004-05,15.333,Real_Estate
2004-06,16.611,Real_Estate
2004-07,17.034,Real_Estate
2004-08,17.464,Real_Estate
2004-09,18.011,Real_Estate
2004-10,17.465,Real_Estate
2004-11,18.556,Real_Estate
2004-12,19.5,Real_Estate
2005-01,18.816,Real_Estate
2005-02,18.927,Real_Estate
2005-03,18.919,Real_Estate
2005-04,18.974,Real_Estate
2005-05,20.286,Real_Estate
2005-06,21.533,Real_Estate
2005-07,23.047,Real_Estate
2005-08,23.078,Real_Estate
2005-09,23.612,Real_Estate
2005-10,22.855,Real_Estate
2005-11,24.317,Real_Estate
2005-12,25.176,Real_Estate
2006-01,26.422,Real_Estate
2006-02,27.555,Real_Estate
2006-03,28.594,Real_Estate
2006-04,28.346,Real_Estate
2006-05,27.991,Real_Estate
2006-06,27.97,Real_Estate
2006-07,29.518,Real_Estate
2006-08,30.821,Real_Estate
2006-09,32.235,Real_Estate
2006-10,33.443,Real_Estate
2006-11,34.088,Real_Estate
2006-12,35.054,Real_Estate
2007-01,36.62,Real_Estate
2007-02,38.582,Real_Estate
2007-03,35.691,Real_Estate
2007-04,36.235,Real_Estate
2007-05,35.032,Real_Estate
2007-06,34.23,Real_Estate
2007-07,33.156,Real_Estate
2007-08,31.823,Real_Estate
2007-09,33.206,Real_Estate
2007-10,35.111,Real_Estate
2007-11,32.654,Real_Estate
2007-12,31.834,Real_Estate
2008-01,29.579,Real_Estate
2008-02,30.417,Real_Estate
2008-03,31.061,Real_Estate
2008-04,33.826,Real_Estate
2008-05,34.707,Real_Estate
2008-06,33.285,Real_Estate
2008-07,31.758,Real_Estate
2008-08,33.772,Real_Estate
2008-09,33.276,Real_Estate
2008-10,25.674,Real_Estate
2008-11,20.631,Real_Estate
2008-12,21.368,Real_Estate
2009-01,20.754,Real_Estate
2009-02,18.194,Real_Estate
2009-03,17.108,Real_Estate
2009-04,20.38,Real_Estate
2009-05,21.119,Real_Estate
2009-06,21.552,Real_Estate
2009-07,21.809,Real_Estate
2009-08,25.051,Real_Estate
2009-09,26.632,Real_Estate
2009-10,27.163,Real_Estate
2009-11,28.391,Real_Estate
2009-12,30.32,Real_Estate
2010-01,30.282,Real_Estate
2010-02,29.708,Real_Estate
2010-03,32.774,Real_Estate
2010-04,34.487,Real_Estate
2010-05,34.5,Real_Estate
2010-06,34.606,Real_Estate
2010-07,35.044,Real_Estate
2010-08,36.62,Real_Estate
2010-09,38.25,Real_Estate
2010-10,38.76,Real_Estate
2010-11,38.618,Real_Estate
2010-12,38.705,Real_Estate
2011-01,39.533,Real_Estate
2011-02,41.581,Real_Estate
2011-03,41.231,Real_Estate
2011-04,42.744,Real_Estate
2011-05,44.414,Real_Estate
2011-06,43.926,Real_Estate
2011-07,45.806,Real_Estate
2011-08,42.796,Real_Estate
2011-09,43.135,Real_Estate
2011-10,42.787,Real_Estate
2011-11,44.489,Real_Estate
2011-12,45.645,Real_Estate
2012-01,47.718,Real_Estate
2012-02,49.7,Real_Estate
2012-03,50.334,Real_Estate
2012-04,51.752,Real_Estate
2012-05,52.213,Real_Estate
2012-06,51.884,Real_Estate
2012-07,54.899,Real_Estate
2012-08,54.475,Real_Estate
2012-09,54.285,Real_Estate
2012-10,53.09,Real_Estate
2012-11,52.892,Real_Estate
2012-12,54.307,Real_Estate
2013-01,56.672,Real_Estate
2013-02,55.809,Real_Estate
2013-03,55.837,Real_Estate
2013-04,58.906,Real_Estate
2013-05,60.358,Real_Estate
2013-06,56.217,Real_Estate
2013-07,57.907,Real_Estate
2013-08,54.544,Real_Estate
2013-09,55.466,Real_Estate
2013-10,57.252,Real_Estate
2013-11,55.528,Real_Estate
2013-12,54.478,Real_Estate
2014-01,55.791,Real_Estate
2014-02,58.197,Real_Estate
2014-03,59.319,Real_Estate
2014-04,60.87,Real_Estate
2014-05,63.22,Real_Estate
2014-06,63.664,Real_Estate
2014-07,65.092,Real_Estate
2014-08,66.758,Real_Estate
2014-09,65.74,Real_Estate
2014-10,66.785,Real_Estate
2014-11,70.806,Real_Estate
2014-12,72.095,Real_Estate
2015-01,76.744,Real_Estate
2015-02,76.262,Real_Estate
2015-03,75.017,Real_Estate
2015-04,74.815,Real_Estate
2015-05,73.006,Real_Estate
2015-06,71.534,Real_Estate
2015-07,73.35,Real_Estate
2015-08,74.965,Real_Estate
2015-09,72.198,Real_Estate
2015-10,78.501,Real_Estate
2015-11,78.993,Real_Estate
2015-12,80.568,Real_Estate
2016-01,79.809,Real_Estate
2016-02,77.563,Real_Estate
2016-03,84.109,Real_Estate
2016-04,86.265,Real_Estate
2016-05,86.259,Real_Estate
2016-06,86.796,Real_Estate
2016-07,91.552,Real_Estate
2016-08,88.596,Real_Estate
2016-09,86.797,Real_Estate
2016-10,83.361,Real_Estate
2016-11,80.325,Real_Estate
2016-12,82.55,Real_Estate
2017-01,84.81,Real_Estate
2017-02,85.607,Real_Estate
2017-03,86.464,Real_Estate
2017-04,88.86,Real_Estate
2017-05,88.386,Real_Estate
2017-06,90.093,Real_Estate
2017-07,89.568,Real_Estate
2017-08,90.502,Real_Estate
2017-09,91.632,Real_Estate
2017-10,91.412,Real_Estate
2017-11,93.162,Real_Estate
2017-12,91.968,Real_Estate
2018-01,88.956,Real_Estate
2018-02,84.906,Real_Estate
2018-03,86.459,Real_Estate
2018-04,86.531,Real_Estate
2018-05,88.071,Real_Estate
2018-06,91.48,Real_Estate
