date,average,ticker,industry
1992-06,0.268,SBUX,Consumer Discretionary
1992-07,0.308,SBUX,Consumer Discretionary
1992-08,0.308,SBUX,Consumer Discretionary
1992-09,0.361,SBUX,Consumer Discretionary
1992-10,0.364,SBUX,Consumer Discretionary
1992-11,0.398,SBUX,Consumer Discretionary
1992-12,0.429,SBUX,Consumer Discretionary
1993-01,0.468,SBUX,Consumer Discretionary
1993-02,0.434,SBUX,Consumer Discretionary
1993-03,0.458,SBUX,Consumer Discretionary
1993-04,0.462,SBUX,Consumer Discretionary
1993-05,0.54,SBUX,Consumer Discretionary
1993-06,0.573,SBUX,Consumer Discretionary
1993-07,0.601,SBUX,Consumer Discretionary
1993-08,0.573,SBUX,Consumer Discretionary
1993-09,0.601,SBUX,Consumer Discretionary
1993-10,0.644,SBUX,Consumer Discretionary
1993-11,0.593,SBUX,Consumer Discretionary
1993-12,0.545,SBUX,Consumer Discretionary
1994-01,0.55,SBUX,Consumer Discretionary
1994-02,0.553,SBUX,Consumer Discretionary
1994-03,0.568,SBUX,Consumer Discretionary
1994-04,0.631,SBUX,Consumer Discretionary
1994-05,0.674,SBUX,Consumer Discretionary
1994-06,0.694,SBUX,Consumer Discretionary
1994-07,0.65,SBUX,Consumer Discretionary
1994-08,0.682,SBUX,Consumer Discretionary
1994-09,0.627,SBUX,Consumer Discretionary
1994-10,0.592,SBUX,Consumer Discretionary
1994-11,0.669,SBUX,Consumer Discretionary
1994-12,0.637,SBUX,Consumer Discretionary
1995-01,0.597,SBUX,Consumer Discretionary
1995-02,0.601,SBUX,Consumer Discretionary
1995-03,0.583,SBUX,Consumer Discretionary
1995-04,0.592,SBUX,Consumer Discretionary
1995-05,0.683,SBUX,Consumer Discretionary
1995-06,0.821,SBUX,Consumer Discretionary
1995-07,0.915,SBUX,Consumer Discretionary
1995-08,0.939,SBUX,Consumer Discretionary
1995-09,1.011,SBUX,Consumer Discretionary
1995-10,0.893,SBUX,Consumer Discretionary
1995-11,1.009,SBUX,Consumer Discretionary
1995-12,1.024,SBUX,Consumer Discretionary
1996-01,0.818,SBUX,Consumer Discretionary
1996-02,0.813,SBUX,Consumer Discretionary
1996-03,1.022,SBUX,Consumer Discretionary
1996-04,1.256,SBUX,Consumer Discretionary
1996-05,1.337,SBUX,Consumer Discretionary
1996-06,1.285,SBUX,Consumer Discretionary
1996-07,1.249,SBUX,Consumer Discretionary
1996-08,1.427,SBUX,Consumer Discretionary
1996-09,1.637,SBUX,Consumer Discretionary
1996-10,1.764,SBUX,Consumer Discretionary
1996-11,1.658,SBUX,Consumer Discretionary
1996-12,1.555,SBUX,Consumer Discretionary
1997-01,1.524,SBUX,Consumer Discretionary
1997-02,1.698,SBUX,Consumer Discretionary
1997-03,1.509,SBUX,Consumer Discretionary
1997-04,1.401,SBUX,Consumer Discretionary
1997-05,1.46,SBUX,Consumer Discretionary
1997-06,1.681,SBUX,Consumer Discretionary
1997-07,1.798,SBUX,Consumer Discretionary
1997-08,1.941,SBUX,Consumer Discretionary
1997-09,2.027,SBUX,Consumer Discretionary
1997-10,1.79,SBUX,Consumer Discretionary
1997-11,1.631,SBUX,Consumer Discretionary
1997-12,1.874,SBUX,Consumer Discretionary
1998-01,1.697,SBUX,Consumer Discretionary
1998-02,1.83,SBUX,Consumer Discretionary
1998-03,1.99,SBUX,Consumer Discretionary
1998-04,2.191,SBUX,Consumer Discretionary
1998-05,2.282,SBUX,Consumer Discretionary
1998-06,2.408,SBUX,Consumer Discretionary
1998-07,2.582,SBUX,Consumer Discretionary
1998-08,1.892,SBUX,Consumer Discretionary
1998-09,1.588,SBUX,Consumer Discretionary
1998-10,1.785,SBUX,Consumer Discretionary
1998-11,2.201,SBUX,Consumer Discretionary
1998-12,2.461,SBUX,Consumer Discretionary
1999-01,2.508,SBUX,Consumer Discretionary
1999-02,2.403,SBUX,Consumer Discretionary
1999-03,2.813,SBUX,Consumer Discretionary
1999-04,3.149,SBUX,Consumer Discretionary
1999-05,3.555,SBUX,Consumer Discretionary
1999-06,3.495,SBUX,Consumer Discretionary
1999-07,2.437,SBUX,Consumer Discretionary
1999-08,2.071,SBUX,Consumer Discretionary
1999-09,2.186,SBUX,Consumer Discretionary
1999-10,2.272,SBUX,Consumer Discretionary
1999-11,2.687,SBUX,Consumer Discretionary
