date,average,ticker,industry
1972-06,0.146,WFC,Financial
1972-07,0.166,WFC,Financial
1972-08,0.184,WFC,Financial
1972-09,0.187,WFC,Financial
1972-10,0.188,WFC,Financial
1972-11,0.196,WFC,Financial
1972-12,0.198,WFC,Financial
1973-01,0.214,WFC,Financial
1973-02,0.19,WFC,Financial
1973-03,0.191,WFC,Financial
1973-04,0.195,WFC,Financial
1973-05,0.191,WFC,Financial
1973-06,0.196,WFC,Financial
1973-07,0.201,WFC,Financial
1973-08,0.201,WFC,Financial
1973-09,0.209,WFC,Financial
1973-10,0.221,WFC,Financial
1973-11,0.221,WFC,Financial
1973-12,0.208,WFC,Financial
1974-01,0.222,WFC,Financial
1974-02,0.227,WFC,Financial
1974-03,0.224,WFC,Financial
1974-04,0.204,WFC,Financial
1974-05,0.17,WFC,Financial
1974-06,0.149,WFC,Financial
1974-07,0.119,WFC,Financial
1974-08,0.109,WFC,Financial
1974-09,0.097,WFC,Financial
1974-10,0.106,WFC,Financial
1974-11,0.13,WFC,Financial
1974-12,0.119,WFC,Financial
1975-01,0.136,WFC,Financial
1975-02,0.141,WFC,Financial
1975-03,0.138,WFC,Financial
1975-04,0.142,WFC,Financial
1975-05,0.148,WFC,Financial
1975-06,0.163,WFC,Financial
1975-07,0.164,WFC,Financial
1975-08,0.144,WFC,Financial
1975-09,0.145,WFC,Financial
1975-10,0.15,WFC,Financial
1975-11,0.171,WFC,Financial
1975-12,0.164,WFC,Financial
1976-01,0.176,WFC,Financial
1976-02,0.176,WFC,Financial
1976-03,0.177,WFC,Financial
1976-04,0.194,WFC,Financial
1976-05,0.198,WFC,Financial
1976-06,0.2,WFC,Financial
1976-07,0.206,WFC,Financial
1976-08,0.205,WFC,Financial
1976-09,0.201,WFC,Financial
1976-10,0.193,WFC,Financial
1976-11,0.19,WFC,Financial
1976-12,0.209,WFC,Financial
1977-01,0.215,WFC,Financial
1977-02,0.203,WFC,Financial
1977-03,0.207,WFC,Financial
1977-04,0.202,WFC,Financial
1977-05,0.203,WFC,Financial
1977-06,0.195,WFC,Financial
1977-07,0.195,WFC,Financial
1977-08,0.197,WFC,Financial
1977-09,0.188,WFC,Financial
1977-10,0.192,WFC,Financial
1977-11,0.195,WFC,Financial
1977-12,0.193,WFC,Financial
1978-01,0.18,WFC,Financial
1978-02,0.184,WFC,Financial
1978-03,0.182,WFC,Financial
1978-04,0.195,WFC,Financial
1978-05,0.217,WFC,Financial
1978-06,0.213,WFC,Financial
1978-07,0.204,WFC,Financial
1978-08,0.221,WFC,Financial
1978-09,0.232,WFC,Financial
1978-10,0.218,WFC,Financial
1978-11,0.213,WFC,Financial
1978-12,0.212,WFC,Financial
1979-01,0.228,WFC,Financial
1979-02,0.209,WFC,Financial
1979-03,0.203,WFC,Financial
1979-04,0.21,WFC,Financial
1979-05,0.212,WFC,Financial
1979-06,0.221,WFC,Financial
1979-07,0.233,WFC,Financial
1979-08,0.253,WFC,Financial
1979-09,0.245,WFC,Financial
1979-10,0.224,WFC,Financial
1979-11,0.229,WFC,Financial
1979-12,0.227,WFC,Financial
1980-01,0.224,WFC,Financial
1980-02,0.211,WFC,Financial
