date,average,ticker,industry
2013-01,22.153,ABBV,Health
2013-02,23.101,ABBV,Health
2013-03,23.921,ABBV,Health
2013-04,26.941,ABBV,Health
2013-05,28.414,ABBV,Health
2013-06,27.039,ABBV,Health
2013-07,27.819,ABBV,Health
2013-08,27.817,ABBV,Health
2013-09,28.752,ABBV,Health
2013-10,30.18,ABBV,Health
2013-11,30.937,ABBV,Health
2013-12,33.327,ABBV,Health
2014-01,32.011,ABBV,Health
2014-02,32.29,ABBV,Health
2014-03,33.457,ABBV,Health
2014-04,32.423,ABBV,Health
2014-05,34.434,ABBV,Health
2014-06,35.537,ABBV,Health
2014-07,35.87,ABBV,Health
2014-08,35.523,ABBV,Health
2014-09,37.842,ABBV,Health
2014-10,37.835,ABBV,Health
2014-11,42.96,ABBV,Health
2014-12,44.509,ABBV,Health
2015-01,42.46,ABBV,Health
2015-02,39.253,ABBV,Health
2015-03,38.974,ABBV,Health
2015-04,41.626,ABBV,Health
2015-05,43.989,ABBV,Health
2015-06,45.735,ABBV,Health
2015-07,46.931,ABBV,Health
2015-08,45.419,ABBV,Health
2015-09,39.531,ABBV,Health
2015-10,37.152,ABBV,Health
2015-11,41.885,ABBV,Health
2015-12,39.062,ABBV,Health
2016-01,38.752,ABBV,Health
2016-02,37.549,ABBV,Health
2016-03,38.908,ABBV,Health
2016-04,41.558,ABBV,Health
2016-05,42.963,ABBV,Health
2016-06,42.671,ABBV,Health
2016-07,44.834,ABBV,Health
2016-08,46.499,ABBV,Health
2016-09,44.899,ABBV,Health
2016-10,43.365,ABBV,Health
2016-11,42.695,ABBV,Health
2016-12,43.684,ABBV,Health
2017-01,44.2,ABBV,Health
2017-02,43.851,ABBV,Health
2017-03,46.638,ABBV,Health
2017-04,46.663,ABBV,Health
2017-05,47.87,ABBV,Health
2017-06,50.999,ABBV,Health
2017-07,52.693,ABBV,Health
2017-08,52.222,ABBV,Health
2017-09,62.169,ABBV,Health
2017-10,67.318,ABBV,Health
2017-11,69.401,ABBV,Health
2017-12,71.14,ABBV,Health
2018-01,77.833,ABBV,Health
2018-02,85.102,ABBV,Health
2018-03,81.258,ABBV,Health
2018-04,69.336,ABBV,Health
2018-05,76.857,ABBV,Health
2018-06,72.538,ABBV,Health
2018-07,70.592,ABBV,Health
2018-08,73.012,ABBV,Health
2018-09,70.957,ABBV,Health
2018-10,67.4,ABBV,Health
2018-11,66.698,ABBV,Health
2018-12,67.052,ABBV,Health
2019-01,65.959,ABBV,Health
2019-02,61.742,ABBV,Health
2019-03,61.598,ABBV,Health
2019-04,62.922,ABBV,Health
2019-05,61.734,ABBV,Health
2019-06,59.613,ABBV,Health
2019-07,55.156,ABBV,Health
